"iso3","Gdeg_out"
"ARM",4
"AFG",4
"ALB",1
"DZA",0
"ATG",0
"ARG",135
"AUS",37
"AUT",47
"BHS",0
"BHR",7
"BRB",7
"BGD",10
"BMU",0
"BTN",0
"BOL",9
"BWA",6
"BRA",97
"ARB",1
"BLZ",7
"SLB",0
"BRN",1
"BGR",38
"MMR",0
"BDI",4
"CMR",9
"CAN",44
"CPV",1
"CAF",0
"LKA",7
"TCD",0
"CHL",27
"CHN",29
"COL",29
"COM",0
"COG",0
"COK",0
"CRI",10
"CUB",0
"CYP",5
"AZE",7
"BEN",4
"DNK",29
"DMA",3
"DOM",0
"BLR",5
"ECU",7
"EGY",33
"SLV",7
"GNQ",0
"EST",4
"FRO",0
"FJI",7
"FIN",3
"FRA",116
"PYF",0
"DJI",0
"GEO",10
"GAB",0
"GMB",1
"DEU",75
"BIH",18
"GHA",16
"KIR",0
"GRC",40
"GRL",0
"GRD",2
"GTM",16
"GIN",1
"GUY",4
"HTI",0
"HND",13
"HKG",11
"HUN",60
"HRV",29
"ISL",0
"IND",90
"IDN",20
"IRN",10
"IRQ",0
"IRL",8
"ISR",12
"ITA",118
"CIV",17
"KAZ",7
"JAM",14
"JPN",12
"JOR",16
"KGZ",2
"KEN",26
"KHM",5
"PRK",0
"KOR",30
"KWT",7
"LVA",15
"LAO",0
"LBN",49
"LSO",0
"LBR",0
"LBY",0
"LTU",21
"MAC",0
"MDG",4
"MWI",8
"MYS",47
"MDV",0
"MLI",4
"MLT",0
"MRT",0
"MUS",4
"MEX",62
"MNG",0
"MAR",19
"MOZ",0
"MDA",31
"NAM",3
"NPL",1
"NLD",85
"ANT",0
"NCL",1
"MKD",8
"VUT",0
"NZL",29
"NIC",5
"NER",2
"NGA",19
"NOR",6
"PAK",36
"PAN",6
"CZE",29
"PNG",0
"PRY",44
"PER",33
"PHL",20
"POL",59
"PRT",31
"GNB",0
"TLS",0
"ERI",0
"QAT",5
"ZWE",10
"ROU",69
"RWA",6
"RUS",62
"KNA",0
"LCA",2
"VCT",1
"STP",0
"SAU",16
"SEN",7
"SYC",1
"SLE",1
"SVN",28
"SVK",31
"SGP",29
"SOM",0
"ZAF",76
"ESP",97
"SUR",3
"TJK",0
"SWZ",6
"SWE",19
"CHE",21
"SYR",5
"TKM",0
"TWN",16
"TZA",17
"THA",55
"TGO",7
"TON",0
"TTO",10
"OMN",14
"TUN",7
"TUR",110
"ARE",65
"UGA",15
"TUV",0
"GBR",67
"UKR",103
"USA",150
"BFA",10
"URY",7
"UZB",0
"VEN",4
"VNM",0
"ETH",9
"YEM",4
"COD",2
"ZMB",25
"BEL",84
"LUX",5
"SRB",42
"MNE",2
"SDN",0
"SSD",0
"PSE",0
