"iso3","Gstrength_out"
"ARM",16503333.3333333
"AFG",327110000
"ALB",43906666.6666667
"DZA",0
"ATG",0
"ARG",77261057590000
"AUS",212300983333.333
"AUT",1560337133333.33
"BHS",0
"BHR",29466666.6666667
"BRB",3117976666.66667
"BGD",979460000
"BMU",0
"BTN",0
"BOL",151485190000
"BWA",28372876666.6667
"BRA",95250737333333.3
"ARB",419423333.333333
"BLZ",39434803333.3333
"SLB",0
"BRN",592133333.333333
"BGR",4257106260000
"MMR",0
"BDI",68970000
"CMR",1483916666.66667
"CAN",5184002010000
"CPV",12100000
"CAF",0
"LKA",82253333.3333333
"TCD",0
"CHL",79961053333.3333
"CHN",155100566666.667
"COL",51587700000
"COM",0
"COG",0
"COK",0
"CRI",6086296666.66667
"CUB",0
"CYP",836893333.333333
"AZE",9441560000
"BEN",86003333.3333333
"DNK",258853140000
"DMA",354733333.333333
"DOM",0
"BLR",1059916666.66667
"ECU",583263333.333333
"EGY",125176436666.667
"SLV",204029313333.333
"GNQ",0
"EST",897826666.666667
"FRO",0
"FJI",40906666.6666667
"FIN",29053333.3333333
"FRA",21051927296666.7
"PYF",0
"DJI",0
"GEO",29158816666.6667
"GAB",0
"GMB",2946666.66666667
"DEU",1956748556666.67
"BIH",144792813333.333
"GHA",10283140000
"KIR",0
"GRC",70976913333.3333
"GRL",0
"GRD",47113333.3333333
"GTM",68484176666.6667
"GIN",2946666.66666667
"GUY",2.8e+07
"HTI",0
"HND",63568100000
"HKG",9361513333.33333
"HUN",12614226373333.3
"HRV",1774923913333.33
"ISL",0
"IND",2603930973333.33
"IDN",322303113333.333
"IRN",35704603333.3333
"IRQ",0
"IRL",29025480000
"ISR",58989393333.3333
"ITA",687110213333.333
"CIV",114193960000
"KAZ",106052926666.667
"JAM",1382193333.33333
"JPN",29094093333.3333
"JOR",102919450000
"KGZ",147150000
"KEN",23256323333.3333
"KHM",80130853333.3333
"PRK",0
"KOR",234310186666.667
"KWT",7292203333.33333
"LVA",176573023333.333
"LAO",0
"LBN",5462846666.66667
"LSO",0
"LBR",0
"LBY",0
"LTU",213520816666.667
"MAC",0
"MDG",9997563333.33334
"MWI",13291450000
"MYS",260452363333.333
"MDV",0
"MLI",19200290000
"MLT",0
"MRT",0
"MUS",402420000
"MEX",5424876570000
"MNG",0
"MAR",101435713333.333
"MOZ",0
"MDA",930322136666.667
"NAM",45690000
"NPL",19010000
"NLD",2262256953333.33
"ANT",0
"NCL",16940000
"MKD",7482663333.33333
"VUT",0
"NZL",33273576666.6667
"NIC",5573773333.33333
"NER",124600000
"NGA",11946173333.3333
"NOR",208083333.333333
"PAK",178271160000
"PAN",197690000
"CZE",1052247500000
"PNG",0
"PRY",8700209276666.67
"PER",33609490000
"PHL",2233510000
"POL",3425515813333.33
"PRT",209362920000
"GNB",0
"TLS",0
"ERI",0
"QAT",193193333.333333
"ZWE",4080280000
"ROU",14693477203333.3
"RWA",13434203333.3333
"RUS",17047078140000
"KNA",0
"LCA",19613333.3333333
"VCT",8.9e+07
"STP",0
"SAU",249727946666.667
"SEN",296693333.333333
"SYC",54586666.6666667
"SLE",186666.666666667
"SVN",1054085880000
"SVK",1883220153333.33
"SGP",126934396666.667
"SOM",0
"ZAF",5540000020000
"ESP",1036460933333.33
"SUR",514843333.333333
"TJK",0
"SWZ",1837860000
"SWE",10706646666.6667
"CHE",1609030000
"SYR",44433333.3333333
"TKM",0
"TWN",29410476666.6667
"TZA",177625900000
"THA",1536708556666.67
"TGO",1364690000
"TON",0
"TTO",1378003333.33333
"OMN",164369846666.667
"TUN",164436426666.667
"TUR",1287269336666.67
"ARE",464968006666.667
"UGA",1287591436666.67
"TUV",0
"GBR",596378930000
"UKR",66253989510000
"USA",187570574306667
"BFA",162719340000
"URY",532700000
"UZB",0
"VEN",204263333.333333
"VNM",0
"ETH",38765476666.6667
"YEM",10190306666.6667
"COD",87813333.3333333
"ZMB",1897442970000
"BEL",1405225456666.67
"LUX",25456416666.6667
"SRB",7010909213333.33
"MNE",37323333.3333333
"SDN",0
"SSD",0
"PSE",0
