"iso3","Gstrength_total"
"ARM",53299463333.3333
"AFG",7.5267e+10
"ALB",220136760000
"DZA",14721068260000
"ATG",765040000
"ARG",77431046980000
"AUS",280449623333.333
"AUT",5530139333333.33
"BHS",15148686666.6667
"BHR",58456663333.3333
"BRB",120322666666.667
"BGD",3413453813333.33
"BMU",560560000
"BTN",1112790000
"BOL",370889993333.333
"BWA",768938293333.333
"BRA",100832656196667
"ARB",12030940000
"BLZ",45522860000
"SLB",887586666.666667
"BRN",123508010000
"BGR",4701056943333.33
"MMR",33171396666.6667
"BDI",91380390000
"CMR",189486866666.667
"CAN",9287894156666.67
"CPV",105348850000
"CAF",2744930000
"LKA",312457463333.333
"TCD",29253333.3333333
"CHL",5272946883333.33
"CHN",12332573140000
"COL",16410142293333.3
"COM",1198793333.33333
"COG",43267850000
"COK",75910000
"CRI",3002734726666.67
"CUB",3198866666666.67
"CYP",796049643333.333
"AZE",457161843333.333
"BEN",12414340000
"DNK",871796233333.333
"DMA",892403333.333333
"DOM",4639927096666.67
"BLR",167024400000
"ECU",333172606666.667
"EGY",30941511500000
"SLV",2498613973333.33
"GNQ",233670000
"EST",51774273333.3333
"FRO",97766666.6666667
"FJI",16372420000
"FIN",439177696666.667
"FRA",23334213100000
"PYF",10217150000
"DJI",7010033333.33333
"GEO",378933793333.333
"GAB",23556706666.6667
"GMB",3660710000
"DEU",11646838690000
"BIH",1016843830000
"GHA",225271770000
"KIR",22850000
"GRC",2392737553333.33
"GRL",54623333.3333333
"GRD",13468773333.3333
"GTM",3673831700000
"GIN",24413040000
"GUY",121066420000
"HTI",87487003333.3333
"HND",2118889086666.67
"HKG",380060513333.333
"HUN",13085488893333.3
"HRV",2049799216666.67
"ISL",67943750000
"IND",3039759990000
"IDN",6354304450000
"IRN",23536287890000
"IRQ",1204294746666.67
"IRL",4734580046666.67
"ISR",5250883386666.67
"ITA",17830817293333.3
"CIV",221792270000
"KAZ",145232956666.667
"JAM",1044240826666.67
"JPN",53984171830000
"JOR",3121283686666.67
"KGZ",6908873333.33333
"KEN",2296403800000
"KHM",135743760000
"PRK",57975323333.3333
"KOR",33903031543333.3
"KWT",856912516666.667
"LVA",454179976666.667
"LAO",7792736666.66667
"LBN",2927445850000
"LSO",726495933333.333
"LBR",7714576666.66667
"LBY",2880043070000
"LTU",571634370000
"MAC",6865520000
"MDG",45016470000
"MWI",411718606666.667
"MYS",13639452936666.7
"MDV",2615833333.33333
"MLI",26510973333.3333
"MLT",140017323333.333
"MRT",19995300000
"MUS",382037500000
"MEX",55216491940000
"MNG",17216620000
"MAR",7789168773333.33
"MOZ",678209716666.667
"MDA",957443466666.667
"NAM",657237643333.333
"NPL",1165789143333.33
"NLD",21832720390000
"ANT",0
"NCL",9532113333.33333
"MKD",245356126666.667
"VUT",130556666.666667
"NZL",360889896666.667
"NIC",1160809920000
"NER",214713276666.667
"NGA",1141483593333.33
"NOR",283362970000
"PAK",264806946666.667
"PAN",1699566340000
"CZE",1557289643333.33
"PNG",11662010000
"PRY",8741915283333.33
"PER",10166035360000
"PHL",2293497470000
"POL",4655810500000
"PRT",6440648530000
"GNB",330503333.333333
"TLS",421400000
"ERI",791613333.333333
"QAT",94754200000
"ZWE",2106472443333.33
"ROU",22330422113333.3
"RWA",285665823333.333
"RUS",17214726433333.3
"KNA",376243333.333333
"LCA",9780863333.33333
"VCT",23047260000
"STP",2732426666.66667
"SAU",13066832150000
"SEN",892350273333.333
"SYC",6582493333.33333
"SLE",2389126666.66667
"SVN",1558954160000
"SVK",2246777686666.67
"SGP",526192186666.667
"SOM",51193533333.3333
"ZAF",11373265306666.7
"ESP",26310493203333.3
"SUR",33673643333.3333
"TJK",2752556666.66667
"SWZ",424416813333.333
"SWE",168520436666.667
"CHE",675649860000
"SYR",898610963333.333
"TKM",6952053333.33333
"TWN",15073943456666.7
"TZA",491151470000
"THA",1735600816666.67
"TGO",4540183333.33333
"TON",36663333.3333333
"TTO",352906930000
"OMN",1181567566666.67
"TUN",4384935340000
"TUR",8962106736666.67
"ARE",2857955946666.67
"UGA",1301933480000
"TUV",2420000
"GBR",5355631526666.67
"UKR",66377828303333.4
"USA",192411647250000
"BFA",218397300000
"URY",766942793333.333
"UZB",208251170000
"VEN",5924007530000
"VNM",27825074910000
"ETH",63367286666.6667
"YEM",2156492640000
"COD",205333336666.667
"ZMB",1920712030000
"BEL",7652717280000
"LUX",56616433333.3333
"SRB",7054298713333.33
"MNE",111317106666.667
"SDN",53327456666.6667
"SSD",299495720000
"PSE",3994463333.33333
