"iso3","BGD","COL","GTM","SEN","VNM","ETH"
"ARM",0,0,0,0,0,0
"AFG",0,0,0,136730000,0,0
"ALB",0,0,0,0,0,0
"DZA",0,0,0,0,0,0
"ATG",0,0,0,0,0,0
"ARG",88545506666.6667,46492413333.3333,1759826666.66667,548353920000,13239788333333.3,9304653333.33333
"AUS",3560000,16613333.3333333,0,0,0,0
"AUT",0,0,0,0,0,0
"BHS",0,0,0,0,0,0
"BHR",0,0,0,0,0,0
"BRB",0,0,0,0,0,0
"BGD",0,0,0,0,0,0
"BMU",0,0,0,0,0,0
"BTN",0,0,0,0,0,0
"BOL",0,407026666.666667,0,0,0,0
"BWA",0,0,0,0,0,0
"BRA",2290766253333.33,7106946666.66667,284115600000,30084786666.6667,12288774680000,2.67e+08
"ARB",0,0,0,0,0,0
"BLZ",0,0,23320373333.3333,0,0,0
"SLB",0,0,0,0,0,0
"BRN",0,0,0,0,0,0
"BGR",0,0,0,0,0,0
"MMR",0,0,0,0,0,0
"BDI",0,0,0,0,0,0
"CMR",0,0,0,3560000,0,0
"CAN",0,11786666.6666667,0,0,0,0
"CPV",0,0,0,0,0,0
"CAF",0,0,0,0,0,0
"LKA",0,0,0,0,0,0
"TCD",0,0,0,0,0,0
"CHL",0,18986666.6666667,0,0,0,0
"CHN",0,0,0,0,1350426666.66667,0
"COL",0,0,52213333.3333333,0,0,0
"COM",0,0,0,0,0,0
"COG",0,0,0,0,0,0
"COK",0,0,0,0,0,0
"CRI",0,47190000,328603333.333333,0,0,0
"CUB",0,0,0,0,0,0
"CYP",35360000,0,0,0,0,0
"AZE",0,0,0,47466666.6666667,0,0
"BEN",0,0,0,0,0,0
"DNK",0,0,0,0,0,0
"DMA",0,0,48400000,0,0,0
"DOM",0,0,0,0,0,0
"BLR",0,0,0,0,0,0
"ECU",0,149520000,0,0,0,0
"EGY",0,0,0,0,0,453750000
"SLV",0,15730000,45413663333.3333,0,0,0
"GNQ",0,0,0,0,0,0
"EST",0,0,0,0,0,0
"FRO",0,0,0,0,0,0
"FJI",0,0,0,0,0,0
"FIN",0,0,0,0,0,0
"FRA",186340000,0,3.63e+09,31106023333.3333,2420000,0
"PYF",0,0,0,0,0,0
"DJI",0,0,0,0,0,0
"GEO",0,0,0,0,0,0
"GAB",0,0,0,0,0,0
"GMB",0,0,0,0,0,0
"DEU",53766666.6666667,0,0,0,0,0
"BIH",0,0,0,0,0,0
"GHA",0,0,0,0,0,0
"KIR",0,0,0,0,0,0
"GRC",0,2946666.66666667,0,0,0,0
"GRL",0,0,0,0,0,0
"GRD",0,0,0,0,0,0
"GTM",0,84466666.6666667,0,0,0,0
"GIN",0,0,0,0,0,0
"GUY",0,0,0,0,0,0
"HTI",0,0,0,0,0,0
"HND",0,2624906666.66667,8937060000,0,0,0
"HKG",0,0,0,0,627746666.666667,0
"HUN",0,0,0,127050000,0,0
"HRV",0,0,0,0,0,0
"ISL",0,0,0,0,0,0
"IND",324589450000,0,0,3290896666.66667,86126800000,512640000
"IDN",0,0,0,0,1061836666.66667,0
"IRN",0,0,0,0,0,0
"IRQ",0,0,0,0,0,0
"IRL",0,0,0,0,0,0
"ISR",0,0,0,0,0,0
"ITA",97240000,202070000,9680000,99960000,31460000,72086666.6666667
"CIV",0,0,0,19525413333.3333,0,32040000
"KAZ",0,0,0,0,0,0
"JAM",0,0,0,0,0,0
"JPN",0,0,0,0,62920000,0
"JOR",0,0,0,0,0,0
"KGZ",0,0,0,0,0,0
"KEN",0,0,0,0,0,0
"KHM",72386666.6666667,0,0,0,4247080000,0
"PRK",0,0,0,0,0,0
"KOR",0,0,0,0,628026666.666667,0
"KWT",0,0,0,0,0,0
"LVA",0,0,0,0,0,0
"LAO",0,0,0,0,0,0
"LBN",0,1210000,0,4133333.33333333,0,0
"LSO",0,0,0,0,0,0
"LBR",0,0,0,0,0,0
"LBY",0,0,0,0,0,0
"LTU",0,0,0,0,0,0
"MAC",0,0,0,0,0,0
"MDG",0,0,0,0,0,0
"MWI",0,0,0,0,0,0
"MYS",10680000,0,0,0,2667610000,0
"MDV",0,0,0,0,0,0
"MLI",0,0,0,2382826666.66667,0,0
"MLT",0,0,0,0,0,0
"MRT",0,0,0,0,0,0
"MUS",0,0,0,0,0,0
"MEX",0,14571746666.6667,55259836666.6667,0,0,0
"MNG",0,0,0,0,0,0
"MAR",0,0,0,5933333.33333333,0,0
"MOZ",0,0,0,0,0,0
"MDA",0,0,0,0,0,0
"NAM",0,0,0,0,0,0
"NPL",0,0,0,0,0,0
"NLD",0,0,0,54586666.6666667,142400000,0
"ANT",0,0,0,0,0,0
"NCL",0,0,0,0,0,0
"MKD",0,0,0,0,0,0
"VUT",0,0,0,0,0,0
"NZL",0,0,0,0,132600000,0
