"iso3","Gdeg_in"
"11",36
"12",13
"19",48
"20",4
"41",56
"42",8
"49",9
"50",50
"61",80
"62",34
"63",37
"64",57
"65",17
"69",32
"81",50
"89",11
"91",42
"92",35
"99",14
"101",19
"109",14
"111",23
"121",51
"122",60
"123",59
"124",49
"129",68
"131",77
"132",13
"139",43
"151",11
"159",3
"160",24
"171",78
"172",19
"179",53
"181",12
"182",45
"183",26
"189",46
"190",48
"201",45
"202",18
"209",27
"211",25
"212",38
"219",42
"221",23
"222",5
"223",48
"229",24
"230",28
"241",51
"242",51
"249",39
"251",62
"259",40
"261",59
"262",41
"269",32
"271",52
"279",33
"280",50
"291",35
"292",37
"299",46
"300",23
"311",31
"319",32
"321",34
"329",23
"331",17
"339",7
"341",63
"342",43
"350",20
"361",42
"362",27
"363",64
"364",21
"369",49
"371",46
"372",31
"373",48
"379",50
"380",11
"391",40
"392",53
"393",48
"394",38
"399",45
"401",39
"402",20
"409",33
"411",43
"419",14
"421",59
"422",44
"423",34
"429",67
"441",22
"451",19
"452",28
"459",46
"460",17
"471",29
"472",45
"473",22
"479",36
"481",25
"482",3
"483",7
"484",74
"485",15
"486",62
"487",25
"488",38
"489",56
"491",44
"499",2
"500",15
"511",39
"512",40
"513",36
"519",49
"531",48
"532",8
"539",19
"540",16
"551",48
"559",53
"560",16
