"iso3","Gdeg_total"
"11",45
"12",32
"19",132
"20",17
"41",80
"42",28
"49",10
"50",126
"61",155
"62",41
"63",57
"64",102
"65",48
"69",72
"81",85
"89",49
"91",52
"92",54
"99",24
"101",20
"109",56
"111",38
"121",70
"122",126
"123",78
"124",102
"129",111
"131",150
"132",30
"139",80
"151",63
"159",5
"160",45
"171",190
"172",77
"179",119
"181",23
"182",53
"183",38
"189",108
"190",154
"201",130
"202",60
"209",119
"211",51
"212",69
"219",104
"221",27
"222",10
"223",65
"229",52
"230",70
"241",64
"242",80
"249",61
"251",166
"259",54
"261",132
"262",92
"269",49
"271",111
"279",123
"280",129
"291",95
"292",46
"299",100
"300",28
"311",111
"319",119
"321",36
"329",26
"331",42
"339",29
"341",130
"342",72
"350",26
"361",67
"362",55
"363",130
"364",24
"369",78
"371",76
"372",57
"373",52
"379",132
"380",26
"391",102
"392",66
"393",58
"394",39
"399",112
"401",50
"402",57
"409",72
"411",67
"419",15
"421",134
"422",62
"423",37
"429",134
"441",43
"451",21
"452",62
"459",90
"460",73
"471",32
"472",97
"473",77
"479",68
"481",28
"482",18
"483",8
"484",133
"485",18
"486",100
"487",27
"488",66
"489",144
"491",56
"499",25
"500",16
"511",97
"512",106
"513",50
"519",114
"531",98
"532",12
"539",42
"540",41
"551",122
"559",146
"560",17
