"iso3","Gstrength_out"
"11",1379676400
"12",332069000
"19",11338223800
"20",2139473400
"41",3060001200
"42",303953000
"49",14122200
"50",35608322000
"61",29715412200
"62",795108200
"63",2479464200
"64",6133623800
"65",5290753800
"69",9402981400
"81",5001614800
"89",7207313400
"91",1331020000
"92",765303600
"99",91652000
"101",20692600
"109",3302559000
"111",685320800
"121",960677000
"122",10790231000
"123",832695800
"124",2953679400
"129",3669482800
"131",13714912200
"132",103797400
"139",8602825000
"151",1255823000
"159",252228800
"160",998388400
"171",32237859000
"172",1283335600
"179",11752622200
"181",44352800
"182",275342000
"183",456975600
"189",8032327200
"190",24590482600
"201",566503600
"202",2719031800
"209",27850366600
"211",1114396800
"212",1635950400
"219",4310030200
"221",216325800
"222",9561800
"223",604009400
"229",5986834800
"230",1525847600
"241",3609998400
"242",1584557800
"249",608023600
"251",6251768400
"259",214139400
"261",8109676000
"262",4156596600
"269",994390400
"271",8676854800
"279",12507240400
"280",10217896200
"291",4297341000
"292",166890800
"299",4940766000
"300",74654200
"311",9961301800
"319",29724883000
"321",829901400
"329",58123200
"331",880800200
"339",34033200
"341",24764124200
"342",2155143600
"350",942023400
"361",818569000
"362",1101568600
"363",17088173800
"364",342946800
"369",4559155800
"371",2679613200
"372",864069000
"373",75399000
"379",15727451000
"380",535487000
"391",4936721600
"392",1738088600
"393",313275200
"394",18771600
"399",3559307600
"401",571556800
"402",411811200
"409",3993210000
"411",5931210400
"419",20059600
"421",6494412800
"422",4146482400
"423",261506000
"429",7912785800
"441",683929800
"451",28276200
"452",1084498800
"459",2975806800
"460",4731102200
"471",25402800
"472",3563330400
"473",1785561400
"479",2049179600
"481",171089200
"482",236229600
"483",10866800
"484",10228788400
"485",71897200
"486",7906887200
"487",9213600
"488",2588865400
"489",32993991800
"491",538904200
"499",2237529800
"500",16069400
"511",1503861800
"512",3566772400
"513",441703800
"519",4804687200
"531",6472432000
"532",86395600
"539",4281535200
"540",876713800
"551",5201791000
"559",10207794200
"560",23594400
