"iso3","Gstrength_total"
"11",3121034200
"12",1219377400
"19",17637761600
"20",2625344400
"41",9064666000
"42",567836400
"49",165286000
"50",64419720600
"61",69404231600
"62",3613370400
"63",6201475400
"64",18987088400
"65",7637425200
"69",13616497400
"81",12741648600
"89",8003278000
"91",3839387200
"92",3362157800
"99",515731000
"101",412626400
"109",4356636200
"111",1713557400
"121",4162799600
"122",23023478800
"123",6315290600
"124",5229598400
"129",12097066800
"131",31654456600
"132",488592600
"139",13641389000
"151",2380045000
"159",691869400
"160",2398726800
"171",70442277800
"172",1952283200
"179",19153400800
"181",449128800
"182",3745453600
"183",2177022400
"189",11835623800
"190",44477924600
"201",6343043200
"202",3381432200
"209",34535504600
"211",1868030200
"212",3483736600
"219",6537412800
"221",1244252800
"222",235633400
"223",4464571400
"229",9328407000
"230",3451336800
"241",7964217600
"242",5025138200
"249",2939979600
"251",15272673800
"259",2643326800
"261",15932878000
"262",7498933400
"269",2721945000
"271",18402096800
"279",18070136600
"280",16236108400
"291",6642247200
"292",1894228400
"299",9916694800
"300",1100943400
"311",14320008800
"319",36037470000
"321",3005460400
"329",604690800
"331",1641501400
"339",115411200
"341",44103401400
"342",6863346600
"350",2240802200
"361",3873839000
"362",2236950800
"363",43426266800
"364",1617683200
"369",8417924800
"371",6242741000
"372",3231647800
"373",3216945000
"379",19694981400
"380",1176388000
"391",9427643400
"392",5261457200
"393",4137696800
"394",3114657800
"399",7997912000
"401",3994935600
"402",1317367600
"409",8381034600
"411",12879209400
"419",1124047600
"421",13808565400
"422",8780317200
"423",2896026600
"429",19282353400
"441",1528786400
"451",286180800
"452",2276761400
"459",6543470400
"460",5691495800
"471",2242977400
"472",8655753000
"473",2640821000
"479",3390509800
"481",978036600
"482",338192000
"483",73328600
"484",28783095600
"485",901525800
"486",23274508200
"487",4617935800
"488",8129264600
"489",44476485800
"491",4116361000
"499",2248743800
"500",428836200
"511",3311860000
"512",6557881000
"513",2597843000
"519",10204832000
"531",18275987000
"532",547573600
"539",5936762600
"540",1450655400
"551",11572052000
"559",20384211200
"560",415152200
