"iso3","Gdeg_total"
"ARM",10
"AFG",12
"ALB",20
"DZA",22
"ATG",8
"ARG",46
"AUS",38
"AUT",58
"BHS",9
"BHR",44
"BRB",15
"BGD",41
"BMU",3
"BTN",5
"BOL",10
"BWA",11
"BRA",92
"ARB",11
"BLZ",6
"SLB",5
"BRN",11
"BGR",61
"MMR",8
"BDI",6
"CMR",18
"CAN",83
"CPV",10
"CAF",8
"LKA",56
"TCD",7
"CHL",25
"CHN",121
"COL",21
"COM",7
"COG",19
"COK",2
"CRI",19
"CUB",14
"CYP",36
"AZE",19
"BEN",24
"DNK",61
"DMA",11
"DOM",14
"BLR",13
"ECU",10
"EGY",48
"SLV",16
"GNQ",17
"EST",33
"FRO",3
"FJI",19
"FIN",29
"FRA",138
"PYF",6
"DJI",13
"GEO",21
"GAB",10
"GMB",21
"DEU",123
"BIH",19
"GHA",41
"KIR",6
"GRC",90
"GRL",4
"GRD",9
"GTM",18
"GIN",21
"GUY",52
"HTI",12
"HND",14
"HKG",47
"HUN",41
"HRV",30
"ISL",13
"IND",187
"IDN",27
"IRN",37
"IRQ",30
"IRL",29
"ISR",39
"ITA",177
"CIV",31
"KAZ",23
"JAM",16
"JPN",42
"JOR",37
"KGZ",19
"KEN",24
"KHM",87
"PRK",5
"KOR",60
"KWT",42
"LVA",35
"LAO",3
"LBN",82
"LSO",4
"LBR",13
"LBY",18
"LTU",42
"MAC",12
"MDG",13
"MWI",10
"MYS",37
"MDV",12
"MLI",22
"MLT",21
"MRT",15
"MUS",23
"MEX",21
"MNG",12
"MAR",22
"MOZ",16
"MDA",20
"NAM",17
"NPL",10
"NLD",119
"ANT",0
"NCL",8
"MKD",28
"VUT",10
"NZL",44
"NIC",18
"NER",31
"NGA",33
"NOR",44
"PAK",154
"PAN",26
"CZE",47
"PNG",8
"PRY",48
"PER",20
"PHL",28
"POL",66
"PRT",91
"GNB",12
"TLS",4
"ERI",6
"QAT",33
"ZWE",16
"ROU",49
"RWA",9
"RUS",82
"KNA",7
"LCA",9
"VCT",11
"STP",7
"SAU",59
"SEN",35
"SYC",13
"SLE",18
"SVN",41
"SVK",28
"SGP",71
"SOM",11
"ZAF",65
"ESP",133
"SUR",23
"TJK",5
"SWZ",10
"SWE",64
"CHE",61
"SYR",19
"TKM",10
"TWN",69
"TZA",27
"THA",175
"TGO",23
"TON",4
"TTO",22
"OMN",27
"TUN",13
"TUR",108
"ARE",143
"UGA",20
"TUV",4
"GBR",116
"UKR",48
"USA",205
"BFA",16
"URY",61
"UZB",5
"VEN",23
"VNM",20
"ETH",13
"YEM",13
"COD",17
"ZMB",16
"BEL",104
"LUX",12
"SRB",33
"MNE",13
"SDN",17
"SSD",4
"PSE",9
