"iso3","Gdeg_total"
"ARM",38
"AFG",30
"ALB",50
"DZA",86
"ATG",23
"ARG",120
"AUS",166
"AUT",142
"BHS",26
"BHR",80
"BRB",45
"BGD",104
"BMU",9
"BTN",8
"BOL",45
"BWA",19
"BRA",157
"ARB",28
"BLZ",21
"SLB",16
"BRN",32
"BGR",162
"MMR",32
"BDI",24
"CMR",55
"CAN",219
"CPV",29
"CAF",20
"LKA",102
"TCD",17
"CHL",77
"CHN",230
"COL",98
"COM",30
"COG",39
"COK",9
"CRI",72
"CUB",28
"CYP",75
"AZE",46
"BEN",51
"DNK",194
"DMA",23
"DOM",37
"BLR",66
"ECU",40
"EGY",158
"SLV",42
"GNQ",28
"EST",82
"FRO",9
"FJI",50
"FIN",93
"FRA",238
"PYF",24
"DJI",33
"GEO",52
"GAB",35
"GMB",43
"DEU",249
"BIH",65
"GHA",82
"KIR",17
"GRC",148
"GRL",5
"GRD",17
"GTM",52
"GIN",50
"GUY",39
"HTI",31
"HND",39
"HKG",129
"HUN",109
"HRV",89
"ISL",29
"IND",214
"IDN",164
"IRN",122
"IRQ",57
"IRL",103
"ISR",128
"ITA",260
"CIV",61
"KAZ",69
"JAM",47
"JPN",124
"JOR",91
"KGZ",31
"KEN",68
"KHM",59
"PRK",14
"KOR",175
"KWT",92
"LVA",147
"LAO",9
"LBN",139
"LSO",3
"LBR",36
"LBY",56
"LTU",134
"MAC",32
"MDG",35
"MWI",31
"MYS",200
"MDV",37
"MLI",43
"MLT",82
"MRT",41
"MUS",79
"MEX",108
"MNG",42
"MAR",107
"MOZ",41
"MDA",90
"NAM",30
"NPL",43
"NLD",242
"ANT",0
"NCL",27
"MKD",93
"VUT",23
"NZL",110
"NIC",44
"NER",53
"NGA",84
"NOR",140
"PAK",123
"PAN",67
"CZE",118
"PNG",29
"PRY",44
"PER",89
"PHL",114
"POL",187
"PRT",179
"GNB",16
"TLS",8
"ERI",12
"QAT",86
"ZWE",32
"ROU",150
"RWA",31
"RUS",190
"KNA",14
"LCA",31
"VCT",22
"STP",12
"SAU",151
"SEN",66
"SYC",36
"SLE",40
"SVN",91
"SVK",90
"SGP",149
"SOM",37
"ZAF",136
"ESP",242
"SUR",49
"TJK",16
"SWZ",11
"SWE",144
"CHE",145
"SYR",62
"TKM",20
"TWN",123
"TZA",61
"THA",182
"TGO",52
"TON",8
"TTO",59
"OMN",125
"TUN",113
"TUR",246
"ARE",224
"UGA",54
"TUV",8
"GBR",250
"UKR",180
"USA",262
"BFA",42
"URY",65
"UZB",26
"VEN",44
"VNM",57
"ETH",62
"YEM",55
"COD",44
"ZMB",39
"BEL",240
"LUX",51
"SRB",101
"MNE",36
"SDN",41
"SSD",9
"PSE",35
