"iso3","BGD","COL","GTM","SEN","VNM","ETH"
"ARM",0,0,0,0,0,0
"AFG",0,0,0,0,0,0
"ALB",0,0,0,0,0,0
"DZA",0,0,0,203246666.666667,0,18450000
"ATG",0,0,0,0,0,0
"ARG",1234378273333.33,303753573333.333,7380000,131120606666.667,1584232870000,0
"AUS",961333390000,4120000,0,0,5376762806666.67,2224440000
"AUT",0,0,0,0,39360000,31980000
"BHS",0,0,40370000,0,0,0
"BHR",0,0,0,0,0,0
"BRB",0,0,0,0,0,0
"BGD",0,0,0,35643333.3333333,6150000,2460000
"BMU",0,0,0,0,0,0
"BTN",0,0,0,0,0,0
"BOL",0,0,0,0,0,0
"BWA",0,0,0,0,0,0
"BRA",288367806666.667,147053026666.667,6640000,15990000,814320946666.667,0
"ARB",0,0,0,0,0,0
"BLZ",0,0,0,0,0,0
"SLB",0,0,0,0,0,0
"BRN",0,0,0,0,0,0
"BGR",5.511e+10,0,0,0,538582926666.667,230252920000
"MMR",0,0,0,0,0,0
"BDI",109200000,0,0,0,0,0
"CMR",0,0,0,0,0,0
"CAN",4215045706666.67,3329643480000,9236350000,75049516666.6667,1202163180000,0
"CPV",0,0,0,0,0,0
"CAF",0,0,0,0,0,0
"LKA",0,0,81180000,150060000,513540000,0
"TCD",0,0,0,0,0,0
"CHL",0,2253920000,1782006666.66667,0,0,0
"CHN",212756666.666667,314300000,271830000,4920000,1235743333.33333,22843826666.6667
"COL",0,0,1789650000,0,0,0
"COM",0,0,0,0,0,0
"COG",0,0,0,0,0,0
"COK",0,0,0,0,0,0
"CRI",0,1494946666.66667,52469470000,0,0,0
"CUB",0,0,0,0,0,0
"CYP",447720000,0,0,0,0,0
"AZE",0,0,0,0,0,0
"BEN",0,0,0,18450000,0,0
"DNK",48989126666.6667,348090000,94710000,7380000,55626633333.3333,6150000
"DMA",0,0,0,0,0,0
"DOM",0,0,0,0,0,0
"BLR",0,0,0,0,0,0
"ECU",0,226650000,12300000,0,0,0
"EGY",0,2594690000,0,1218996666.66667,0,64728490000
"SLV",0,0,166928256666.667,0,0,0
"GNQ",0,0,0,0,0,0
"EST",0,0,0,0,0,0
"FRO",0,0,0,0,0,0
"FJI",0,0,0,0,0,0
"FIN",0,0,0,0,63571333333.3333,0
"FRA",380083093333.333,617926666.666667,830000,949409340000,137681543333.333,10765933333.3333
"PYF",0,0,0,0,0,0
"DJI",0,0,0,0,0,0
"GEO",0,0,0,0,0,0
"GAB",0,0,0,0,0,0
"GMB",0,0,0,178876666.666667,0,0
"DEU",2460000,248336666.666667,143140000,93016380000,1661276666.66667,387190763333.333
"BIH",0,0,0,0,46740000,0
"GHA",0,0,0,0,0,0
"KIR",0,0,0,0,0,0
"GRC",0,0,0,0,25690000,96776666.6666667
"GRL",0,0,0,0,0,0
"GRD",0,0,0,0,0,0
"GTM",0,88080000,0,0,0,0
"GIN",0,0,0,0,0,0
"GUY",0,0,0,0,0,0
"HTI",0,0,0,0,0,0
"HND",0,0,37935543333.3333,0,0,0
"HKG",0,0,37923333.3333333,0,1262333333.33333,2426666.66666667
"HUN",0,0,0,0,1223333.33333333,0
"HRV",0,0,0,0,0,0
"ISL",0,0,0,0,0,0
"IND",401086540000,220170000,354240000,10892560000,1441230000,223860000
"IDN",252103333.333333,36900000,0,1230000,73658456666.6667,0
"IRN",0,0,0,548580000,7380000,1153743333.33333
"IRQ",0,0,0,0,0,0
"IRL",9840000,0,0,0,11063333.3333333,0
"ISR",0,4920000,35626666.6666667,0,4920000,0
"ITA",1080280000,12715213333.3333,1423773333.33333,15057146666.6667,8980690000,3489833333.33333
"CIV",0,0,0,5370363333.33333,0,0
"KAZ",0,0,0,0,801600000,0
"JAM",0,0,0,0,0,0
"JPN",0,0,0,0,62560890000,0
"JOR",0,0,0,0,0,0
"KGZ",0,0,0,0,0,0
"KEN",0,0,0,0,0,0
"KHM",0,0,0,0,6150000,0
"PRK",0,0,0,0,0,0
"KOR",111670000,11036666.6666667,49013333.3333333,0,8084456666.66667,0
"KWT",0,0,0,0,0,0
"LVA",0,0,666120000,3743313333.33333,581160000,54643513333.3333
"LAO",0,0,0,0,0,0
"LBN",0,13063333.3333333,0,59986666.6666667,0,0
"LSO",0,0,0,0,0,0
"LBR",0,0,0,0,0,0
"LBY",0,0,0,0,0,0
"LTU",0,0,0,1.837e+10,61154900000,0
"MAC",0,0,0,0,0,0
"MDG",0,0,0,0,0,0
"MWI",0,0,0,0,0,0
"MYS",1849193333.33333,30780000,0,38130000,55397123333.3333,150060000
"MDV",0,0,0,0,0,0
"MLI",0,0,0,4920000,0,0
"MLT",0,0,0,0,0,0
"MRT",0,0,0,0,0,0
"MUS",0,0,0,0,0,0
"MEX",0,21529090000,289350763333.333,0,0,0
"MNG",0,0,0,0,0,0
"MAR",0,0,0,4493806666.66667,0,0
"MOZ",0,0,0,0,0,0
"MDA",2531720000,0,0,0,1551986666.66667,0
"NAM",0,0,0,0,0,0
"NPL",0,0,0,0,0,0
"NLD",19459556666.6667,52890000,6150000,200473333.333333,112643333.333333,73800000
"ANT",0,0,0,0,0,0
"NCL",0,0,0,0,0,0
"MKD",0,0,0,0,0,0
"VUT",0,0,0,0,0,0
"NZL",0,0,0,0,13513333.3333333,0
"NIC",0,34440000,1704780000,0,0,0
"NER",0,0,0,0,0,0
"NGA",0,0,0,0,0,0
"NOR",0,0,0,0,13530000,0
"PAK",6143333.33333333,0,0,9840000,9840000,0
"PAN",0,0,52710000,0,0,0
"CZE",0,0,0,0,4920000,0
"PNG",0,0,0,0,0,0
"PRY",0,0,0,0,12747666666.6667,0
"PER",0,43906676666.6667,3371936666.66667,0,0,0
"PHL",0,0,0,0,9502620000,0
"POL",0,693720000,0,28092243333.3333,254893333.333333,13530000
"PRT",0,136960000,3320000,175473333.333333,8610000,202453333.333333
"GNB",0,0,0,0,0,0
"TLS",0,0,0,0,0,0
"ERI",0,0,0,0,0,0
"QAT",12293333.3333333,0,0,0,7340000,0
"ZWE",0,0,0,0,0,0
"ROU",112998880000,3670000,0,2453333.33333333,1145167626666.67,840079026666.667
"RWA",0,0,0,0,0,0
"RUS",5204817843333.33,0,0,617130686666.667,1126792416666.67,213584093333.333
"KNA",0,0,0,0,0,0
"LCA",0,0,0,0,0,0
"VCT",0,0,0,0,0,0
"STP",0,0,0,0,0,0
"SAU",29360000,4920000,0,54120000,0,873866666.666667
"SEN",0,0,0,0,0,0
"SYC",0,0,0,0,0,0
"SLE",0,0,0,0,0,0
"SVN",0,1113233333.33333,0,0,0,0
"SVK",0,0,0,24266666.6666667,0,0
"SGP",379436666.666667,1230000,0,0,3575703333.33333,0
"SOM",0,0,0,0,0,0
"ZAF",0,0,0,0,0,14340000
"ESP",0,7885846666.66667,633816666.666667,21217443333.3333,863653333.333333,70110000
"SUR",0,0,0,0,0,0
"TJK",0,0,0,0,0,0
"SWZ",0,0,0,0,0,0
"SWE",7380000,0,0,2426666.66666667,0,0
"CHE",0,0,0,0,17220000,0
"SYR",0,0,0,0,0,0
"TKM",0,0,0,0,0,0
"TWN",0,0,0,3670000,2476906666.66667,0
"TZA",0,0,0,0,12246666.6666667,0
"THA",310523333.333333,25690000,0,24070000,20008396666.6667,0
"TGO",0,0,0,22140000,0,0
"TON",0,0,0,0,0,0
"TTO",0,0,0,0,0,0
"OMN",0,0,0,3512190000,0,23370000
"TUN",0,0,0,8154040000,35476666.6666667,47501026666.6667
"TUR",962843333.333333,8472246666.66667,843420000,114640856666.667,1575413333.33333,4682816666.66667
"ARE",640830000,0,14760000,384983333.333333,19580000,811186666.666667
"UGA",0,0,0,0,0,36400000
"TUV",0,0,0,0,0,0
"GBR",49260000,96800000,7380000,41480000,78574030000,27090000
"UKR",5218313383333.33,0,0,188120726666.667,68653136666.6667,488055620000
"USA",539208396666.667,2633615373333.33,1788852373333.33,16707380000,706326303333.333,1183848526666.67
"BFA",0,0,0,242666666.666667,0,0
"URY",0,0,0,0,44802760000,0
"UZB",0,0,0,0,0,0
"VEN",0,0,0,0,0,0
"VNM",0,0,0,0,0,0
"ETH",0,0,0,0,0,0
"YEM",0,0,0,0,0,2245980000
"COD",0,0,0,0,0,0
"ZMB",0,0,0,0,0,0
"BEL",0,26993333.3333333,56580000,160956666.666667,264443333.333333,189690000
"LUX",0,0,0,0,0,0
"SRB",0,0,0,0,0,0
"MNE",0,0,0,0,0,0
"SDN",0,0,0,0,0,0
"SSD",0,0,0,0,0,0
"PSE",0,0,0,0,0,0
