"country_list$iso3","P0"
"ARM",1419183813333.33
"AFG",22382142713333.3
"ALB",1282517693333.33
"DZA",15104231500000
"ATG",0
"ARG",64803451540000
"AUS",126650418580000
"AUT",6918847853333.33
"BHS",0
"BHR",0
"BRB",0
"BGD",6009064140000
"BMU",0
"BTN",77225253333.3333
"BOL",1627821366666.67
"BWA",0
"BRA",25948146040000
"ARB",0
"BLZ",0
"SLB",0
"BRN",0
"BGR",22707987546666.7
"MMR",782456233333.333
"BDI",97465653333.3333
"CMR",49733713333.3333
"CAN",130691425573333
"CPV",0
"CAF",0
"LKA",0
"TCD",67665060000
"CHL",6139184973333.33
"CHN",527950130453333
"COL",115884640000
"COM",0
"COG",0
"COK",0
"CRI",0
"CUB",0
"CYP",161180606666.667
"AZE",7822463700000
"BEN",0
"DNK",17925672006666.7
"DMA",0
"DOM",0
"BLR",11271417840000
"ECU",68713820000
"EGY",35255009280000
"SLV",0
"GNQ",0
"EST",2897996646666.67
"FRO",0
"FJI",0
"FIN",3773987353333.33
"FRA",141729821633333
"PYF",0
"DJI",0
"GEO",630004160000
"GAB",0
"GMB",0
"DEU",95096066953333.3
"BIH",1262278406666.67
"GHA",0
"KIR",0
"GRC",6644936680000
"GRL",0
"GRD",0
"GTM",74276033333.3333
"GIN",0
"GUY",0
"HTI",0
"HND",29962026666.6667
"HKG",0
"HUN",21577109193333.3
"HRV",3356119953333.33
"ISL",0
"IND",412044476286667
"IDN",0
"IRN",65157089626666.7
"IRQ",12975080586666.7
"IRL",2816491740000
"ISR",713774700000
"ITA",31307167133333.3
"CIV",0
"KAZ",88428290240000
"JAM",0
"JPN",3861046680000
"JOR",202042166666.667
"KGZ",3180698700000
"KEN",1206625100000
"KHM",0
"PRK",323171720000
"KOR",262731080000
"KWT",110254513333.333
"LVA",8868388040000
"LAO",0
"LBN",683328373333.333
"LSO",79091200000
"LBR",0
"LBY",1334205306666.67
"LTU",16494218146666.7
"MAC",0
"MDG",103739286666.667
"MWI",45806986666.6667
"MYS",0
"MDV",0
"MLI",294788400000
"MLT",211158140000
"MRT",106410173333.333
"MUS",0
"MEX",14956173753333.3
"MNG",2237126433333.33
"MAR",30088126140000
"MOZ",150328946666.667
"MDA",5139023086666.67
"NAM",210597020000
"NPL",8806968780000
"NLD",4473881013333.33
"ANT",0
"NCL",44803873333.3333
"MKD",1143292020000
"VUT",0
"NZL",1886104680000
"NIC",0
"NER",112231793333.333
"NGA",453782420000
"NOR",1770570740000
"PAK",116763838220000
"PAN",0
"CZE",20189136566666.7
"PNG",0
"PRY",5560134740000
"PER",1154347420000
"PHL",0
"POL",45360642426666.7
"PRT",446795140000
"GNB",0
"TLS",0
"ERI",2.004e+11
"QAT",51048560000
"ZWE",277602986666.667
"ROU",36566527080000
"RWA",105825673333.333
"RUS",336133683293333
"KNA",0
"LCA",0
"VCT",0
"STP",0
"SAU",2707896093333.33
"SEN",0
"SYC",0
"SLE",0
"SVN",784537053333.333
"SVK",8479222373333.33
"SGP",0
"SOM",25336126666.6667
"ZAF",7198565060000
"ESP",28644319846666.7
"SUR",0
"TJK",4102291540000
"SWZ",63434393333.3333
"SWE",12265269353333.3
"CHE",2084883666666.67
"SYR",9.81793e+12
"TKM",8323109660000
"TWN",118081246666.667
"TZA",645598620000
"THA",43378806666.6667
"TGO",0
"TON",0
"TTO",0
"OMN",143346120000
"TUN",5375105420000
"TUR",97864844566666.7
"ARE",0
"UGA",177037813333.333
"TUV",0
"GBR",57183531006666.7
"UKR",109534804566667
"USA",242871651533333
"BFA",0
"URY",4527189640000
"UZB",27183340386666.7
"VEN",100294633333.333
"VNM",0
"ETH",21299859133333.3
"YEM",625844746666.667
"COD",83732686666.6667
"ZMB",953870600000
"BEL",6659785206666.67
"LUX",500775106666.667
"SRB",10532210153333.3
"MNE",113003333333.333
"SDN",2740147133333.33
"SSD",0
"PSE",232671080000
