faf,SHORTNAME
11,Birmingham
12,Mobile
19,Rest of AL
20,Alaska
41,Phoenix
42,Tucson
49,Rest of AZ
50,Arkansas
61,Los Angeles
62,Sacramento
63,San Diego
64,San Francisco
65,Fresno
69,Rest of CA
81,Denver
89,Rest of CO
91,Hartford
92,New York (CT)
99,Rest of CT
101,Philadelphia (DE)
109,Rest of DE
111,Washington (DC)
121,Jacksonville
122,Miami
123,Orlando
124,Tampa
129,Rest of FL
131,Atlanta
132,Savannah
139,Rest of GA
151,Honolulu
159,Rest of HI
160,Idaho
171,Chicago (IL)
172,St. Louis (IL)
179,Rest of IL
181,Chicago (IN)
182,Indianapolis
183,Fort Wayne
189,Rest of IN
190,Iowa
201,Kansas City (KS)
202,Wichita
209,Rest of KS
211,Cincinnati (KY)
212,Louisville
219,Rest of KY
221,Baton Rouge
222,Lake Charles
223,New Orleans
229,Rest of LA
230,Maine
241,Baltimore
242,Washington (MD)
249,Rest of MD
251,Boston (MA)
259,Rest of MA
261,Detroit
262,Grand Rapids
269,Rest of MI
271,Minneapolis
279,Rest of MN
280,Mississippi
291,Kansas City (MO)
292,St. Louis (MO)
299,Rest of MO
300,Montana
311,Omaha
319,Rest of NE
321,Las Vegas
329,Rest of NV
331,Boston (NH)
339,Rest of NH
341,New York (NJ)
342,Philadelphia (NJ)
350,New Mexico
361,Albany
362,Buffalo
363,New York (NY)
364,Rochester
369,Rest of NY
371,Charlotte
372,Greensboro
373,Raleigh
379,Rest of NC
380,North Dakota
391,Cincinnati (OH)
392,Cleveland
393,Columbus
394,Dayton
399,Rest of OH
401,Oklahoma City
402,Tulsa
409,Rest of OK
411,Portland (OR)
419,Rest of OR
421,Philadelphia (PA)
422,Pittsburgh
423,New York (PA)
429,Rest of PA
441,Rhode Island
451,Charleston
452,Greenville
459,Rest of SC
460,South Dakota
471,Memphis
472,Nashville
473,Knoxville
479,Rest of TN
481,Austin
482,Beaumont
483,Corpus Christi
484,Dallas
485,El Paso
486,Houston
487,Laredo
488,San Antonio
489,Rest of TX
491,Salt Lake City
499,Rest of UT
500,Vermont
511,Richmond
512,Norfolk
513,Washington (VA)
519,Rest of VA
531,Seattle
532,Portland (WA)
539,Rest of WA
540,West Virginia
551,Milwaukee
559,Rest of WI
560,Wyoming
