iso3,year_1,year_2,year_3,year_4,year_5
ARM,-0.4,-0.4,-0.4,-0.4,-0.4
AFG,-0.4,-0.4,-0.4,-0.4,-0.4
ALB,-0.4,-0.4,-0.4,-0.4,-0.4
DZA,-0.4,-0.4,-0.4,-0.4,-0.4
ATG,-0.4,-0.4,-0.4,-0.4,-0.4
ARG,-0.4,-0.4,-0.4,-0.4,-0.4
AUS,-0.4,-0.4,-0.4,-0.4,-0.4
AUT,-0.4,-0.4,-0.4,-0.4,-0.4
BHS,-0.4,-0.4,-0.4,-0.4,-0.4
BHR,-0.4,-0.4,-0.4,-0.4,-0.4
BRB,-0.4,-0.4,-0.4,-0.4,-0.4
BGD,-0.4,-0.4,-0.4,-0.4,-0.4
BMU,-0.4,-0.4,-0.4,-0.4,-0.4
BTN,-0.4,-0.4,-0.4,-0.4,-0.4
BOL,-0.4,-0.4,-0.4,-0.4,-0.4
BWA,-0.4,-0.4,-0.4,-0.4,-0.4
BRA,-0.4,-0.4,-0.4,-0.4,-0.4
ARB,-0.4,-0.4,-0.4,-0.4,-0.4
BLZ,-0.4,-0.4,-0.4,-0.4,-0.4
SLB,-0.4,-0.4,-0.4,-0.4,-0.4
BRN,-0.4,-0.4,-0.4,-0.4,-0.4
BGR,-0.4,-0.4,-0.4,-0.4,-0.4
MMR,-0.4,-0.4,-0.4,-0.4,-0.4
BDI,-0.4,-0.4,-0.4,-0.4,-0.4
CMR,-0.4,-0.4,-0.4,-0.4,-0.4
CAN,-0.4,-0.4,-0.4,-0.4,-0.4
CPV,-0.4,-0.4,-0.4,-0.4,-0.4
CAF,-0.4,-0.4,-0.4,-0.4,-0.4
LKA,-0.4,-0.4,-0.4,-0.4,-0.4
TCD,-0.4,-0.4,-0.4,-0.4,-0.4
CHL,-0.4,-0.4,-0.4,-0.4,-0.4
CHN,-0.4,-0.4,-0.4,-0.4,-0.4
COL,-0.4,-0.4,-0.4,-0.4,-0.4
COM,-0.4,-0.4,-0.4,-0.4,-0.4
COG,-0.4,-0.4,-0.4,-0.4,-0.4
COK,-0.4,-0.4,-0.4,-0.4,-0.4
CRI,-0.4,-0.4,-0.4,-0.4,-0.4
CUB,-0.4,-0.4,-0.4,-0.4,-0.4
CYP,-0.4,-0.4,-0.4,-0.4,-0.4
AZE,-0.4,-0.4,-0.4,-0.4,-0.4
BEN,-0.4,-0.4,-0.4,-0.4,-0.4
DNK,-0.4,-0.4,-0.4,-0.4,-0.4
DMA,-0.4,-0.4,-0.4,-0.4,-0.4
DOM,-0.4,-0.4,-0.4,-0.4,-0.4
BLR,-0.4,-0.4,-0.4,-0.4,-0.4
ECU,-0.4,-0.4,-0.4,-0.4,-0.4
EGY,-0.4,-0.4,-0.4,-0.4,-0.4
SLV,-0.4,-0.4,-0.4,-0.4,-0.4
GNQ,-0.4,-0.4,-0.4,-0.4,-0.4
EST,-0.4,-0.4,-0.4,-0.4,-0.4
FRO,-0.4,-0.4,-0.4,-0.4,-0.4
FJI,-0.4,-0.4,-0.4,-0.4,-0.4
FIN,-0.4,-0.4,-0.4,-0.4,-0.4
FRA,-0.4,-0.4,-0.4,-0.4,-0.4
PYF,-0.4,-0.4,-0.4,-0.4,-0.4
DJI,-0.4,-0.4,-0.4,-0.4,-0.4
GEO,-0.4,-0.4,-0.4,-0.4,-0.4
GAB,-0.4,-0.4,-0.4,-0.4,-0.4
GMB,-0.4,-0.4,-0.4,-0.4,-0.4
DEU,-0.4,-0.4,-0.4,-0.4,-0.4
BIH,-0.4,-0.4,-0.4,-0.4,-0.4
GHA,-0.4,-0.4,-0.4,-0.4,-0.4
KIR,-0.4,-0.4,-0.4,-0.4,-0.4
GRC,-0.4,-0.4,-0.4,-0.4,-0.4
GRL,-0.4,-0.4,-0.4,-0.4,-0.4
GRD,-0.4,-0.4,-0.4,-0.4,-0.4
GTM,-0.4,-0.4,-0.4,-0.4,-0.4
GIN,-0.4,-0.4,-0.4,-0.4,-0.4
GUY,-0.4,-0.4,-0.4,-0.4,-0.4
HTI,-0.4,-0.4,-0.4,-0.4,-0.4
HND,-0.4,-0.4,-0.4,-0.4,-0.4
HKG,-0.4,-0.4,-0.4,-0.4,-0.4
HUN,-0.4,-0.4,-0.4,-0.4,-0.4
HRV,-0.4,-0.4,-0.4,-0.4,-0.4
ISL,-0.4,-0.4,-0.4,-0.4,-0.4
IND,-0.4,-0.4,-0.4,-0.4,-0.4
IDN,-0.4,-0.4,-0.4,-0.4,-0.4
IRN,-0.4,-0.4,-0.4,-0.4,-0.4
IRQ,-0.4,-0.4,-0.4,-0.4,-0.4
IRL,-0.4,-0.4,-0.4,-0.4,-0.4
ISR,-0.4,-0.4,-0.4,-0.4,-0.4
