"faf","year_1","year_2","year_3","year_4","year_5"
11,0,0,0,0,0
12,0,0,0,0,0
19,0.00210187932739869,0.00210187932739869,0.00210187932739869,0.00210187932739869,0.00210187932739869
20,0,0,0,0,0
41,0,0,0,0,0
42,0,0,0,0,0
49,0,0,0,0,0
50,0.0833333333333334,0.0833333333333334,0.0833333333333334,0.0833333333333334,0.0833333333333334
61,0.0269871794871795,0.0269871794871795,0.0269871794871795,0.0269871794871795,0.0269871794871795
62,0,0,0,0,0
63,0,0,0,0,0
64,0,0,0,0,0
65,0,0,0,0,0
69,0.0269701086956522,0.0269701086956522,0.0269701086956522,0.0269701086956522,0.0269701086956522
81,0.0280726256983239,0.0280726256983239,0.0280726256983239,0.0280726256983239,0.0280726256983239
89,0,0,0,0,0
91,0,0,0,0,0
92,0,0,0,0,0
99,0,0,0,0,0
101,0,0,0,0,0
109,0.000724637681159379,0.000724637681159379,0.000724637681159379,0.000724637681159379,0.000724637681159379
111,0,0,0,0,0
121,0,0,0,0,0
122,0,0,0,0,0
123,0,0,0,0,0
124,0,0,0,0,0
129,0,0,0,0,0
131,0,0,0,0,0
132,0,0,0,0,0
139,0.00300300300300294,0.00300300300300294,0.00300300300300294,0.00300300300300294,0.00300300300300294
151,0,0,0,0,0
159,0,0,0,0,0
160,0.02,0.02,0.02,0.02,0.02
171,0.0213997985901309,0.0213997985901309,0.0213997985901309,0.0213997985901309,0.0213997985901309
172,0,0,0,0,0
179,0.0213824936047158,0.0213824936047158,0.0213824936047158,0.0213824936047158,0.0213824936047158
181,0,0,0,0,0
182,0.0833333333333334,0.0833333333333334,0.0833333333333334,0.0833333333333334,0.0833333333333334
183,0,0,0,0,0
189,0.0833333333333334,0.0833333333333334,0.0833333333333334,0.0833333333333334,0.0833333333333334
190,0.0739853626081171,0.0739853626081171,0.0739853626081171,0.0739853626081171,0.0739853626081171
201,0,0,0,0,0
202,0,0,0,0,0
209,0.0833333333333334,0.0833333333333334,0.0833333333333334,0.0833333333333334,0.0833333333333334
211,0.070957095709571,0.070957095709571,0.070957095709571,0.070957095709571,0.070957095709571
212,0,0,0,0,0
219,0.0703543469303667,0.0703543469303667,0.0703543469303667,0.0703543469303667,0.0703543469303667
221,0,0,0,0,0
222,0,0,0,0,0
223,0,0,0,0,0
229,0.000165016501650128,0.000165016501650128,0.000165016501650128,0.000165016501650128,0.000165016501650128
230,0,0,0,0,0
241,0,0,0,0,0
242,0,0,0,0,0
249,0,0,0,0,0
251,0,0,0,0,0
259,0,0,0,0,0
261,0,0,0,0,0
262,0,0,0,0,0
269,0.00455486542443062,0.00455486542443062,0.00455486542443062,0.00455486542443062,0.00455486542443062
271,0,0,0,0,0
279,0.026963601532567,0.026963601532567,0.026963601532567,0.026963601532567,0.026963601532567
280,0.00385021097046412,0.00385021097046412,0.00385021097046412,0.00385021097046412,0.00385021097046412
291,0.0833333333333334,0.0833333333333334,0.0833333333333334,0.0833333333333334,0.0833333333333334
292,0,0,0,0,0
299,0.0833333333333334,0.0833333333333334,0.0833333333333334,0.0833333333333334,0.0833333333333334
300,0,0,0,0,0
311,0.00333333333333341,0.00333333333333341,0.00333333333333341,0.00333333333333341,0.00333333333333341
319,0.0833333333333334,0.0833333333333334,0.0833333333333334,0.0833333333333334,0.0833333333333334
321,0,0,0,0,0
329,0,0,0,0,0
331,0,0,0,0,0
339,0,0,0,0,0
341,0,0,0,0,0
342,0,0,0,0,0
350,0.0833333333333334,0.0833333333333334,0.0833333333333334,0.0833333333333334,0.0833333333333334
361,0,0,0,0,0
362,0,0,0,0,0
363,0,0,0,0,0
364,0,0,0,0,0
369,0,0,0,0,0
371,0,0,0,0,0
372,0.02734375,0.02734375,0.02734375,0.02734375,0.02734375
373,0,0,0,0,0
379,0.0273461106794441,0.0273461106794441,0.0273461106794441,0.0273461106794441,0.0273461106794441
380,0,0,0,0,0
391,0,0,0,0,0
392,0,0,0,0,0
393,0,0,0,0,0
394,0,0,0,0,0
399,0.004764801297648,0.004764801297648,0.004764801297648,0.004764801297648,0.004764801297648
401,0,0,0,0,0
402,0,0,0,0,0
409,0.0833333333333334,0.0833333333333334,0.0833333333333334,0.0833333333333334,0.0833333333333334
411,0,0,0,0,0
419,0,0,0,0,0
421,0.012123064384678,0.012123064384678,0.012123064384678,0.012123064384678,0.012123064384678
422,0.0121951219512195,0.0121951219512195,0.0121951219512195,0.0121951219512195,0.0121951219512195
423,0,0,0,0,0
429,0.012111801242236,0.012111801242236,0.012111801242236,0.012111801242236,0.012111801242236
441,0,0,0,0,0
451,0.01,0.01,0.01,0.01,0.01
452,0,0,0,0,0
459,0.00996376811594202,0.00996376811594202,0.00996376811594202,0.00996376811594202,0.00996376811594202
460,0,0,0,0,0
471,0.0393607893607893,0.0393607893607893,0.0393607893607893,0.0393607893607893,0.0393607893607893
472,0,0,0,0,0
473,0,0,0,0,0
479,0.0393772893772893,0.0393772893772893,0.0393772893772893,0.0393772893772893,0.0393772893772893
481,0,0,0,0,0
482,0,0,0,0,0
483,0.021,0.021,0.021,0.021,0.021
484,0.0210105697344677,0.0210105697344677,0.0210105697344677,0.0210105697344677,0.0210105697344677
485,0,0,0,0,0
486,0,0,0,0,0
487,0,0,0,0,0
488,0.00166666666666671,0.00166666666666671,0.00166666666666671,0.00166666666666671,0.00166666666666671
489,0.0212333408628869,0.0212333408628869,0.0212333408628869,0.0212333408628869,0.0212333408628869
491,0,0,0,0,0
499,0.048125,0.048125,0.048125,0.048125,0.048125
500,0,0,0,0,0
511,0,0,0,0,0
512,0,0,0,0,0
513,0,0,0,0,0
519,0.0203616352201258,0.0203616352201258,0.0203616352201258,0.0203616352201258,0.0203616352201258
531,0,0,0,0,0
