"FAO" "iso3" "name"
"1" 2 "AFG" "Afghanistan"
"2" 3 "ALB" "Albania"
"3" 4 "DZA" "Algeria"
"4" 5 "ASM" "American Samoa"
"5" 6 "AND" "Andorra"
"6" 7 "AGO" "Angola"
"7" 258 "AIA" "Anguilla"
"8" 30 "ATA" "Antarctica"
"9" 8 "ATG" "Antigua and Barbuda"
"10" 9 "ARG" "Argentina"
"11" 1 "ARM" "Armenia"
"12" 22 "ABW" "Aruba"
"13" 10 "AUS" "Australia"
"14" 11 "AUT" "Austria"
"15" 52 "AZE" "Azerbaijan"
"16" 12 "BHS" "Bahamas"
"17" 13 "BHR" "Bahrain"
"18" 16 "BGD" "Bangladesh"
"19" 14 "BRB" "Barbados"
"20" 57 "BLR" "Belarus"
"21" 255 "BEL" "Belgium"
"22" 15 "BEL" "Belgium-Luxembourg"
"23" 23 "BLZ" "Belize"
"24" 53 "BEN" "Benin"
"25" 17 "BMU" "Bermuda"
"26" 18 "BTN" "Bhutan"
"27" 19 "BOL" "Bolivia (Plurinational State of)"
"28" 80 "BIH" "Bosnia and Herzegovina"
"29" 20 "BWA" "Botswana"
"30" 31 "BVT" "Bouvet Island"
"31" 21 "BRA" "Brazil"
"32" 24 "IOT" "British Indian Ocean Territory"
"33" 239 "VGB" "British Virgin Islands"
"34" 26 "BRN" "Brunei Darussalam"
"35" 27 "BGR" "Bulgaria"
"36" 233 "BFA" "Burkina Faso"
"37" 29 "BDI" "Burundi"
"38" 115 "KHM" "Cambodia"
"39" 32 "CMR" "Cameroon"
"40" 33 "CAN" "Canada"
"41" 34 "ZZZ" "Canton and Enderbury Islands"
"42" 35 "CPV" "Cape Verde"
"43" 36 "CYM" "Cayman Islands"
"44" 37 "CAF" "Central African Republic"
"45" 39 "TCD" "Chad"
"46" 259 NA "Channel Islands"
"47" 40 "CHL" "Chile"
"48" 351 "CHN" "China"
"49" 42 "CXR" "Christmas Island"
"50" 43 "CCK" "Cocos (Keeling) Islands"
"51" 44 "COL" "Colombia"
"52" 45 "COM" "Comoros"
"53" 46 "COG" "Congo"
"54" 47 "COK" "Cook Islands"
"55" 48 "CRI" "Costa Rica"
"56" 107 "CIV" "Cote d'Ivoire"
"57" 98 "HRV" "Croatia"
"58" 49 "CUB" "Cuba"
"59" 50 "CYP" "Cyprus"
"60" 167 "CZE" "Czech Republic"
"61" 51 "CZE" "Czechoslovakia"
"62" 116 "PRK" "Democratic People's Republic of Korea"
"63" 250 "COD" "Democratic Republic of the Congo"
"64" 54 "DNK" "Denmark"
"65" 72 "DJI" "Djibouti"
"66" 55 "DMA" "Dominica"
