faf,year_1,year_2,year_3,year_4,year_5
11,0,0,0,0,0
12,0,0,0,0,0
19,0,0,0,0,0
20,0,0,0,0,0
41,0,0,0,0,0
42,0,0,0,0,0
49,0,0,0,0,0
50,0,0,0,0,0
61,0,0,0,0,0
62,0,0,0,0,0
63,0,0,0,0,0
64,0,0,0,0,0
65,0,0,0,0,0
69,0,0,0,0,0
81,0,0,0,0,0
89,0,0,0,0,0
91,0,0,0,0,0
92,0,0,0,0,0
99,0,0,0,0,0
101,0,0,0,0,0
109,0,0,0,0,0
111,0,0,0,0,0
121,0,0,0,0,0
122,0,0,0,0,0
123,0,0,0,0,0
124,0,0,0,0,0
129,0,0,0,0,0
131,0,0,0,0,0
132,0,0,0,0,0
139,0,0,0,0,0
151,0,0,0,0,0
159,0,0,0,0,0
160,0,0,0,0,0
171,0,0,0,0,0
172,0,0,0,0,0
179,0,0,0,0,0
181,0,0,0,0,0
182,0,0,0,0,0
183,0,0,0,0,0
189,0,0,0,0,0
190,0,0,0,0,0
201,0,0,0,0,0
202,0,0,0,0,0
209,0,0,0,0,0
211,0,0,0,0,0
212,0,0,0,0,0
219,0,0,0,0,0
221,0,0,0,0,0
222,0,0,0,0,0
223,0,0,0,0,0
229,0,0,0,0,0
230,0,0,0,0,0
241,0,0,0,0,0
242,0,0,0,0,0
249,0,0,0,0,0
251,0,0,0,0,0
259,0,0,0,0,0
261,0,0,0,0,0
262,0,0,0,0,0
269,0,0,0,0,0
271,0,0,0,0,0
279,0,0,0,0,0
280,0,0,0,0,0
291,0,0,0,0,0
292,0,0,0,0,0
299,0,0,0,0,0
300,0,0,0,0,0
311,0,0,0,0,0
319,0,0,0,0,0
321,0,0,0,0,0
329,0,0,0,0,0
331,0,0,0,0,0
339,0,0,0,0,0
341,0,0,0,0,0
342,0,0,0,0,0
350,0,0,0,0,0
361,0,0,0,0,0
362,0,0,0,0,0
363,0,0,0,0,0
364,0,0,0,0,0
369,0,0,0,0,0
371,0,0,0,0,0
372,0,0,0,0,0
373,0,0,0,0,0
379,0,0,0,0,0
380,0,0,0,0,0
391,0,0,0,0,0
392,0,0,0,0,0
393,0,0,0,0,0
394,0,0,0,0,0
399,0,0,0,0,0
401,0,0,0,0,0
402,0,0,0,0,0
409,0,0,0,0,0
411,0,0,0,0,0
419,0,0,0,0,0
421,0,0,0,0,0
422,0,0,0,0,0
423,0,0,0,0,0
429,0,0,0,0,0
441,0,0,0,0,0
451,0,0,0,0,0
452,0,0,0,0,0
459,0,0,0,0,0
460,0,0,0,0,0
471,0,0,0,0,0
472,0,0,0,0,0
473,0,0,0,0,0
479,0,0,0,0,0
481,0,0,0,0,0
482,0,0,0,0,0
483,0,0,0,0,0
484,0,0,0,0,0
485,0,0,0,0,0
486,0,0,0,0,0
487,0,0,0,0,0
488,0,0,0,0,0
489,0,0,0,0,0
491,0,0,0,0,0
499,0,0,0,0,0
500,0,0,0,0,0
511,0,0,0,0,0
512,0,0,0,0,0
513,0,0,0,0,0
519,0,0,0,0,0
531,0,0,0,0,0
532,0,0,0,0,0
539,0,0,0,0,0
540,0,0,0,0,0
551,0,0,0,0,0
559,0,0,0,0,0
560,1,1,1,1,1
