iso3,year_1
ARM,-0.2
AFG,0.0632
ALB,0.0379
DZA,-0.1615
ATG,0.
ARG,-0.0077
AUS,-0.0704
AUT,-0.7375
BHS,0.
BHR,0.
BRB,0.
BGD,0.0598
BMU,0.
BTN,0.
BOL,-0.0473
BWA,0.
BRA,-0.3316
ARB,0.
BLZ,0.
SLB,0.
BRN,0.
BGR,-0.7375
MMR,0.
BDI,0.
CMR,0.
CAN,-0.1061
CPV,0.
CAF,0.
LKA,0.
TCD,0.
CHL,-0.1384
CHN,-0.0005
COL,-0.0588
COM,0.
COG,0.
COK,0.
CRI,0.
CUB,0.
CYP,-0.7375
AZE,0.0065
BEN,0.
DNK,-0.7375
DMA,0.
DOM,0.
BLR,0.0546
ECU,-0.5556
EGY,-0.1024
SLV,0.
GNQ,0.
EST,-0.7375
FRO,0.
FJI,0.
FIN,-0.7375
FRA,-0.7375
PYF,0.
DJI,0.
GEO,-0.043
GAB,0.
GMB,0.
DEU,-0.7375
BIH,-0.0441
GHA,0.
KIR,0.
GRC,-0.7375
GRL,0.
GRD,0.
GTM,1.0
GIN,0.
GUY,0.
HTI,0.
HND,0.
HKG,0.
HUN,-0.7375
HRV,-0.7375
ISL,0.
IND,-0.0139
IDN,0.
IRN,0.0693
IRQ,0.3042
IRL,-0.7375
ISR,0.0659
ITA,-0.7375
CIV,0.
KAZ,-0.0394
JAM,0.
JPN,-0.0681
JOR,-0.1688
KGZ,-0.0734
KEN,0.1185
KHM,0.
PRK,0.
KOR,-0.4516
KWT,0.
LVA,-0.7375
LAO,0.
LBN,0.0471
LSO,-0.6
LBR,0.
LBY,0.
LTU,-0.7375
MAC,0.
MDG,0.
MWI,0.
MYS,0.
MDV,0.
MLI,-0.3636
MLT,-0.7375
MRT,0.
MUS,0.
MEX,-0.0309
MNG,-0.2355
MAR,0.5221
MOZ,0.
MDA,0.3115
NAM,-0.0714
NPL,0.03
NLD,-0.7375
ANT,0.
NCL,0.
MKD,-0.2329
VUT,0.
NZL,-0.0557
NIC,0.
NER,0.
NGA,-0.6098
NOR,0.
PAK,-0.0278
PAN,0.
CZE,-0.7375
PNG,0.
PRY,-0.0161
PER,-0.1597
PHL,0.
POL,-0.7375
PRT,-0.7375
GNB,0.
TLS,0.
ERI,0.
QAT,0.
ZWE,-0.7375
ROU,-0.7375
RWA,0.0714
RUS,-0.0251
KNA,0.
LCA,0.
VCT,0.
STP,0.
SAU,-1.1429
SEN,0.
SYC,0.
SLE,0.
SVN,-0.7375
SVK,-0.7375
SGP,0.
SOM,0.
ZAF,-0.1671
ESP,-0.7375
SUR,0.
TJK,-0.0207
SWZ,0.
SWE,-0.7375
CHE,-0.0295
SYR,0.3363
TKM,0.1129
TWN,0.0526
TZA,0.0927
THA,0.
TGO,0.
TON,0.
TTO,0.
OMN,0.
TUN,-0.0575
TUR,-0.0145
ARE,0.
UGA,-0.0135
TUV,0.
GBR,-0.1007
UKR,0.36
USA,0.0406
BFA,0.
URY,-0.1169
UZB,-0.0176
VEN,0.
VNM,0.
ETH,-0.0482
YEM,-0.0422
COD,0.
ZMB,-0.0909
BEL,-0.7375
LUX,-0.7375
SRB,-0.0482
MNE,0.
SDN,-0.0111
SSD,0.
PSE,0.
