"","year_1","year_2","year_3","year_4","year_5","year_6","year_7","year_8","year_9","year_10","year_11","year_12","year_13","year_14","year_15"
"AFG",-16.717,-16.67,-11.889,-16.028,-14.705,-10.541,-7.747,-13.103,-12.512,-21.885,-9.42,-12.514,-13.817,-3.316,-15.42
"ALB",3.965,-7.536,-3.216,-12.461,3.543,0.271,-1.781,-4.851,-1.036,-1.094,-0.13,-0.004,11.25,1.708,1.665
"DZA",-1.875,-5.344,-4.265,-3.685,-0.614,-11.35,0.613,-3.391,-6.575,-3.852,-10.621,-12.452,-2.928,-1.011,1.055
"ATG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARG",-4.911,-5.224,-7.318,-0.843,-8.05,1.235,0.436,-4.954,-3.096,-5.867,1.23,-19.429,3.463,-13.88,-0.902
"ARM",-12.077,-13.411,-10.589,-7.66,-10.841,-8.639,-7.111,-1.917,-12.379,-4.824,-8.185,-6.45,-5.315,-6.052,-0.784
"ARB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUS",1.141,2.083,-0.095,0.542,12.619,-3.893,-6.579,-6.705,5.009,0.663,-7.749,4.362,1.443,-0.783,-8.217
"AUT",-10.039,-12.679,-8.302,-17.213,-4.677,-7.527,-12.455,-6.878,-16.753,-6.831,-9.02,-7.983,4.539,-3.931,3.143
"AZE",1.852,-11.351,-2.735,-6.404,-0.076,-2.881,-5.077,-4.071,-7.326,-5.789,-4.182,-6.742,-5.151,-3.915,-2.815
"BHS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BHR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BGD",-3.573,6.198,1.333,7.964,1.317,0.023,13.517,1.358,3.063,-4.653,-3.451,-0.103,-8.152,-5.899,5.345
"BRB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BLR",-13.172,-7.997,-11.408,-11.162,-16.904,-9.971,-17.676,-19.464,-14.331,-10.629,-22.496,-16.3,0.671,-10.625,-2.102
"BEL",-4.869,-4.466,-2.199,-5.656,-9.479,-4.509,-6.526,-4.973,-1.13,-10.857,-3.067,-7.203,-4.135,-4.025,2.979
"BLZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BEN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BMU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BTN",-2.564,-4.848,-5.235,-1.447,-7.457,-2.205,-8.236,-10.156,-5.282,-10.602,3.769,-0.534,-7.043,0.891,-10.505
"BOL",-5.34,-5.736,-5.658,-4.938,-9.444,0.051,-3.204,-3.143,-3.718,2.008,-1.627,-3.045,-0.608,0.6,-3.054
"BIH",-0.897,-6.374,-9.198,-8.746,-0.442,0.424,0.087,-4.541,-0.566,-6.617,-6.471,-1.15,9.848,-0.048,4.054
"BWA",6.562,10.338,9.812,21.168,18.664,27.785,4.901,5.997,16.206,20.213,5.629,13.083,4.12,29.054,5.292
"BRA",-2.72,-0.512,-3.305,-7.166,-0.089,-1.803,0.249,-4.05,-0.084,1.494,-2.145,-1.396,0.39,1.044,-4.684
"BRN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BGR",-10.393,-15.794,-18.37,-15.383,-7.829,-13.828,-25.438,-6.512,-25.2,-3.464,-7.572,-10.055,-7.879,-7.233,-0.233
"BFA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BDI",-5.294,-6.247,-4.878,-2.685,-7.305,2.937,-1.535,-0.455,0.992,1.502,-2.475,-6.936,-5.101,-6.117,-9.624
"KHM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAN",-12.799,-23.78,-18.016,-23.348,-18.562,-17.643,-11.432,-4.747,-3.06,-0.433,-4.021,-3.804,-5.11,-5.006,-3.084
"CPV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHL",-2.325,-1.989,1.492,6.348,1.525,0.21,-3.832,-9.946,-1.526,-6.972,5.788,2.247,7.722,-0.513,5.117
"CHN",-10.062,-19.048,-18.395,-10.833,-11.41,-10.387,-10.868,-8.25,-9.367,-9.302,-7.747,-7.227,-6.961,-5.866,-9.71
"COL",-5.036,-0.757,-10.617,-3.07,-9.437,3.853,-2.094,-1.27,-8.415,0.506,-2.827,-7.508,-3.881,2.328,-3.201
"COG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CRI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CIV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HRV",-3.793,-5.317,-9.421,-10.693,-1.666,-2.844,-6.827,-4.797,-7.258,-8.791,-6.75,-3.78,6.872,-3.035,2.699
"CUB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CYP",1.327,1.344,-0.295,1.068,2.538,1.246,0.746,2.004,-1.225,0.927,1.852,2.997,1.151,0.61,-0.767
"CZE",-12.758,-13.94,-7.731,-14.797,-7.149,-5.786,-11.049,-7.537,-15.278,-6.581,-11.987,-9.622,5.92,-4.056,3.345
"COD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DNK",-14.169,-9.948,-6.323,3.246,-20.331,-7.919,-4.901,-19.653,-5.412,-23.916,-19.621,-13.04,-0.328,-7.218,-5.936
"DJI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DMA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ECU",-1.271,7.515,3.537,8.421,-0.122,3.053,0.378,6.71,5.72,7.808,-0.14,-5.399,3.362,8.596,13.76
"EGY",7.165,10.418,6.956,7.721,2.843,11.605,8.802,6.016,7.467,7.911,3.782,5.816,7.557,5.51,2.903
"SLV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EST",-16.802,-20.644,-25.421,-22.776,-21.449,-25.124,-12.862,-19.162,-12.476,-15.077,-15.999,-10.822,-7.631,-6.848,-5.438
"ETH",-5.891,-2.313,0.217,-1.309,-7.301,-3.272,-3.551,-2.995,-4.351,-5.906,-1.546,-9.468,-2.987,-3.995,-0.6
"FRO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FJI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FIN",-13.22,-30.364,-38.212,-24.974,-27.802,-38.905,-9.602,-16.928,-21.945,-28.429,-7.415,-10.722,-5.238,-4.485,-0.874
"FRA",-4.687,-0.964,-6.763,-6.371,-9.915,-1.048,-2.556,-3.644,-3.041,-12.288,-13.326,-5.845,-3.075,-2.864,1.256
"PYF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GAB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GMB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GEO",-12.773,-6.744,-8.026,-7.782,-7.449,-11.239,-7.279,-2.746,-10.778,-4.08,-7.267,-5.865,-3.038,-6.124,1.553
"DEU",-10.488,-11.416,-8.584,-12.737,-12.028,-3.736,-9.807,-10.905,-8.405,-13.6,-18.005,-8.604,6.174,-0.845,1.356
"GHA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GRC",6.257,-5.508,-10.699,-12.034,0.753,-8.776,-7.278,-0.198,-10.084,-1.621,4.731,-3.774,-0.085,-0.398,0.922
"GRL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GRD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GTM",-3.865,-8.467,-0.424,-1.757,-0.798,-2.197,-5.977,-6.256,2.262,5.351,-2.106,-7.712,-0.994,4.968,-6.923
"GIN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GUY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
