"iso3","P0"
"ARM",63082013333.3333
"AFG",951182160000
"ALB",1353717293333.33
"DZA",10816466666.6667
"ATG",270560000
"ARG",146062638360000
"AUS",1629875720000
"AUT",7000968893333.33
"BHS",2191773333.33333
"BHR",0
"BRB",707333333.333333
"BGD",9188319653333.33
"BMU",0
"BTN",308297186666.667
"BOL",3569261466666.67
"BWA",33129360000
"BRA",293560027920000
"ARB",0
"BLZ",2.5276e+11
"SLB",0
"BRN",23706666.6666667
"BGR",8885104026666.67
"MMR",6512932186666.67
"BDI",750932160000
"CMR",7683079266666.67
"CAN",49557214373333.3
"CPV",16996626666.6667
"CAF",311867866666.667
"LKA",791136426666.667
"TCD",1411878200000
"CHL",4558681320000
"CHN",934775987813333
"COL",4860552253333.33
"COM",23180346666.6667
"COG",43528120000
"COK",0
"CRI",28876346666.6667
"CUB",1354411493333.33
"CYP",0
"AZE",799516666666.667
"BEN",4885538706666.67
"DNK",160674666666.667
"DMA",674026666.666667
"DOM",142078413333.333
"BLR",1967184800000
"ECU",5222210280000
"EGY",28673970160000
"SLV",3030402933333.33
"GNQ",0
"EST",0
"FRO",0
"FJI",3442520000
"FIN",0
"FRA",47788624960000
"PYF",0
"DJI",67640000
"GEO",677349333333.333
"GAB",159205573333.333
"GMB",104426666666.667
"DEU",14878901333333.3
"BIH",3173211946666.67
"GHA",6437349826666.67
"KIR",0
"GRC",5953877240000
"GRL",0
"GRD",1264986666.66667
"GTM",6769659213333.33
"GIN",2887286466666.67
"GUY",1.424e+10
"HTI",903120973333.333
"HND",2290810160000
"HKG",0
"HUN",26507396533333.3
"HRV",7051682693333.33
"ISL",0
"IND",88252245733333.3
"IDN",85906704093333.3
"IRN",3598834853333.33
"IRQ",744250040000
"IRL",0
"ISR",351966066666.667
"ITA",23688114213333.3
"CIV",3689384560000
"KAZ",2707519306666.67
"JAM",8606586666.66667
"JPN",125246866666.667
"JOR",110857213333.333
"KGZ",2306926280000
"KEN",1.2282e+13
"KHM",2151426666666.67
"PRK",7930254813333.33
"KOR",266419720000
"KWT",15974906666.6667
"LVA",0
"LAO",5056546866666.67
"LBN",13068760000
"LSO",305546493333.333
"LBR",14161840000
"LBY",12461186666.6667
"LTU",236866973333.333
"MAC",0
"MDG",1100259533333.33
"MWI",10217092013333.3
"MYS",237200426666.667
"MDV",526880000
"MLI",10306942853333.3
"MLT",0
"MRT",31536853333.3333
"MUS",1796320000
"MEX",96286348600000
"MNG",0
"MAR",410816880000
"MOZ",4394271760000
"MDA",5036108053333.33
"NAM",202349213333.333
"NPL",7923289080000
"NLD",382659653333.333
"ANT",0
"NCL",29305920000
"MKD",483062773333.333
"VUT",3161280000
"NZL",754726920000
"NIC",1317698400000
"NER",132614746666.667
"NGA",39028506133333.3
"NOR",85306666.6666667
"PAK",20537424026666.7
"PAN",411217973333.333
"CZE",2226873746666.67
"PNG",179912666666.667
"PRY",18148999853333.3
"PER",5892892853333.33
"PHL",26880944120000
"POL",13704323493333.3
"PRT",2709517186666.67
"GNB",22546666666.6667
"TLS",376346586666.667
"ERI",7.12e+10
"QAT",3050173333.33333
"ZWE",3191264813333.33
"ROU",40466677853333.3
"RWA",1308684480000
"RUS",49440075533333.3
"KNA",0
"LCA",0
"VCT",3287066666.66667
"STP",2571506666.66667
"SAU",50892573333.3333
"SEN",1107290533333.33
"SYC",0
"SLE",68341320000
"SVN",1135758666666.67
"SVK",4401647826666.67
"SGP",0
"SOM",300226666666.667
"ZAF",41216753706666.7
"ESP",14726021880000
"SUR",304973333.333333
"TJK",744134933333.333
"SWZ",236146666666.667
"SWE",0
"CHE",498807866666.667
"SYR",421092226666.667
"TKM",179186666666.667
"TWN",611555786666.667
"TZA",22260755946666.7
"THA",16735199813333.3
"TGO",2938478586666.67
"TON",0
"TTO",14079906666.6667
"OMN",35235693333.3333
"TUN",0
"TUR",22190666666666.7
"ARE",31833520000
"UGA",9407231173333.33
"TUV",0
"GBR",0
"UKR",90310006880000
"USA",1341475743600000
"BFA",5465274026666.67
"URY",1705735600000
"UZB",1567464440000
"VEN",5061630546666.67
"VNM",18560851506666.7
"ETH",32688399413333.3
"YEM",137942880000
"COD",7495648826666.67
"ZMB",10796082106666.7
"BEL",2001118720000
"LUX",2922760000
"SRB",20012089240000
"MNE",9562160000
"SDN",136466666666.667
"SSD",4.0228e+11
"PSE",5028426666.66667
