,11,12,19,20,41,42,49,50,61,62,63,64,65,69,81,89,91,92,99,101,109,111,121,122,123,124,129,131,132,139,151,159,160,171,172,179,181,182,183,189,190,201,202,209,211,212,219,221,222,223,229,230,241,242,249,251,259,261,262,269,271,279,280,291,292,299,300,311,319,321,329,331,339,341,342,350,361,362,363,364,369,371,372,373,379,380,391,392,393,394,399,401,402,409,411,419,421,422,423,429,441,451,452,459,460,471,472,473,479,481,482,483,484,485,486,487,488,489,491,499,500,511,512,513,519,531,532,539,540,551,559,560
11,233887200,21811400,409012200,NA,NA,NA,NA,379645200,NA,NA,NA,NA,NA,NA,NA,NA,161986200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18559000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85704600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36803800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32266800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,2002600,236561800,8156800,NA,NA,NA,NA,1997000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,746000,556200,587600,32250400,NA,NA,4062200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,302600,1858000,3916400,NA,15645600,1893200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9946000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4074200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2416000,NA,1502600,NA,3593800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,110696800,NA,1865478200,NA,72339600,NA,NA,303220000,837244200,NA,36937200,96660600,121158200,NA,71951800,NA,NA,8422600,NA,NA,68990600,4412800,192543600,73700000,229195600,54843600,112863800,658714200,7789200,137022800,NA,NA,13600,568195400,NA,264647200,NA,65101800,20520600,115200,110916400,51238200,NA,NA,70026800,12312400,36791600,NA,NA,3730400,70741000,111211800,104341600,100752400,44997800,11591600,NA,67718200,12230400,NA,43368400,NA,513017400,11936400,35379800,106707600,NA,7926800,4998400,NA,NA,NA,NA,209311000,13307200,3915600,NA,NA,28191400,NA,11250000,228239400,17883600,14391000,207954600,NA,387841000,57437400,NA,34320800,NA,24626800,20600,NA,10338000,NA,45084000,40784800,45336400,130760000,NA,5144600,8663400,184686200,NA,4387800,57458000,30409600,91633200,NA,NA,NA,677096600,NA,255203600,NA,252482400,270856800,67314000,NA,NA,23968200,211363200,NA,8096400,NA,NA,NA,27159200,19624400,116968000,NA
20,NA,NA,NA,383536000,NA,NA,NA,NA,3592400,NA,NA,16402000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,811600,NA,NA,3641000,NA,NA,NA,NA,127200,NA,NA,1683600,203400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,287211000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1788800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1439079000,NA,960200,NA,437200,NA,NA
41,NA,NA,NA,NA,944941000,77027400,82345000,NA,456174600,NA,101372200,92715800,69977600,NA,1859000,NA,NA,NA,NA,NA,NA,NA,NA,NA,74684800,NA,5095200,90904400,NA,NA,NA,NA,NA,196523200,NA,NA,NA,NA,NA,NA,NA,NA,52457800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87675800,NA,NA,NA,NA,NA,NA,NA,NA,6546600,NA,NA,NA,NA,NA,NA,NA,5941600,NA,NA,NA,NA,57222400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54963600,NA,NA,NA,NA,NA,NA,NA,13952800,20806800,424597200,NA,3149200,NA,24025200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,115042000,NA
42,NA,NA,NA,NA,34684800,152805200,22304000,2179000,11207800,NA,5037600,9353400,NA,NA,13107200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4510600,4130600,NA,NA,NA,NA,17439600,NA,5652800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3926000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2523800,NA,NA,4407400,227200,960200,NA,NA,730800,4380400,NA,NA,NA,NA,NA,NA,4384600,NA,NA,NA,NA,NA,NA
49,NA,NA,NA,NA,NA,NA,14122200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,153325400,27620400,50870400,NA,509089400,200000,14198200,21711546800,718213400,113200,18726000,264988000,1096000,NA,224980600,NA,NA,NA,NA,NA,NA,NA,33343400,206287800,33708000,107711600,101181200,300983000,NA,NA,NA,NA,NA,245958200,NA,NA,NA,NA,177747400,31794000,244601600,211959800,NA,235275400,60105400,239436200,41253800,33366800,NA,286711800,NA,126086400,42283800,34200,9343400,NA,258580400,37188400,NA,NA,326994800,18315200,339135800,17123800,258798800,640118800,NA,NA,176532800,NA,15605600,NA,NA,182887400,NA,47402800,146593600,NA,173807000,NA,224677400,NA,NA,55109600,5074200,1441200,32211600,NA,NA,NA,307608800,197122600,82787200,858437400,194757200,NA,449331600,NA,252232200,123032200,NA,NA,NA,4452000,NA,71078600,97859800,NA,77058000,NA,NA,NA,370929800,NA,648631000,1697330000,73350800,36033200,199464800,NA,NA,NA,NA,80544800,118998600,95655400,NA,NA,NA,137774000,12111800,NA
61,NA,NA,3410800,7134200,754377800,2598200,7909200,126264000,18736424200,312400400,1521954600,1955884400,149842000,656418400,37973200,19154600,7402400,22293200,NA,NA,NA,NA,205502400,23343200,197288200,31621800,17700600,177868400,NA,NA,39208000,77288800,39244200,520454000,27494800,5960800,NA,NA,NA,NA,7844400,32029200,NA,28846200,8364000,NA,NA,NA,NA,NA,NA,NA,64848400,160300200,NA,134040600,NA,26299800,1778000,NA,9257200,8033600,17706400,NA,NA,6404000,477200,14077000,NA,670113800,90847400,NA,NA,459188600,25757000,89803000,NA,NA,224193200,NA,59082000,75945800,NA,NA,NA,NA,NA,NA,3742200,NA,19255600,25716800,NA,4000400,67483600,19682400,56736600,37789000,NA,15097600,NA,NA,NA,NA,NA,16613000,NA,NA,NA,13386200,NA,NA,190216400,NA,289607200,13722600,82614000,30252600,301551200,NA,NA,160146000,20633000,15993000,8363400,315129800,NA,6949000,NA,101076800,NA,NA
