"","AFG","ALB","ANT","ARB","ARE","ARG","ARM","ATG","AUS","AUT","AZE","BDI","BEL","BEN","BFA","BGD","BGR","BHR","BHS","BIH","BLR","BLZ","BMU","BOL","BRA","BRB","BRN","BTN","BWA","CAF","CAN","CHE","CHL","CHN","CIV","CMR","COD","COG","COK","COL","COM","CPV","CRI","CUB","CYP","CZE","DEU","DJI","DMA","DNK","DOM","DZA","ECU","EGY","ERI","ESP","EST","ETH","FIN","FJI","FRA","FRO","GAB","GBR","GEO","GHA","GIN","GMB","GNB","GNQ","GRC","GRD","GRL","GTM","GUY","HKG","HND","HRV","HTI","HUN","IDN","IND","IRL","IRN","IRQ","ISL","ISR","ITA","JAM","JOR","JPN","KAZ","KEN","KGZ","KHM","KIR","KNA","KOR","KWT","LAO","LBN","LBR","LBY","LCA","LKA","LSO","LTU","LUX","LVA","MAC","MAR","MDA","MDG","MDV","MEX","MKD","MLI","MLT","MMR","MNE","MNG","MOZ","MRT","MUS","MWI","MYS","NAM","NCL","NER","NGA","NIC","NLD","NOR","NPL","NZL","OMN","PAK","PAN","PER","PHL","PNG","POL","PRK","PRT","PRY","PSE","PYF","QAT","ROU","RUS","RWA","SAU","SDN","SEN","SGP","SLB","SLE","SLV","SOM","SRB","SSD","STP","SUR","SVK","SVN","SWE","SWZ","SYC","SYR","TCD","TGO","THA","TJK","TKM","TLS","TON","TTO","TUN","TUR","TUV","TWN","TZA","UGA","UKR","URY","USA","UZB","VCT","VEN","VNM","VUT","YEM","ZAF","ZMB","ZWE"
"Afghanistan",0,0,0,0,0,0,0,0,0,0,0,0,14240000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123460000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52680000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136730000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Albania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,560000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4746666.66666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43906666.6666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Netherlands Antilles",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aruba",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419423333.333333,0,0,0,0,0,0
"United Arab Emirates",2601906666.66667,0,0,0,0,897120000,252760000,0,307926666.666667,0,122800000,10785000,0,0,0,18861666.6666667,0,7934073333.33333,0,0,0,0,0,0,0,0,21526666.6666667,0,0,0,619463333.333333,0,0,40373333.3333333,0,55756666.6666667,0,200546666.666667,0,0,20626666.6666667,0,0,0,2420000,0,0,3748160000,0,0,0,0,0,577436666.666667,64493333.3333333,0,0,1105578333.33333,0,0,0,0,4746666.66666667,8080000,7120000,169158333.333333,126173333.333333,30023333.3333333,0,2373333.33333333,0,0,0,0,0,11786666.6666667,0,0,0,0,0,54140000,0,305060960000,15059366666.6667,0,0,1186666.66666667,0,3383510000,0,8840000,294876666.666667,4420000,0,0,0,79560000,12357873333.3333,0,903193333.333333,1210000,27584560000,0,60193333.3333333,0,0,0,0,0,0,0,0,419956666.666667,0,0,3630000,0,0,0,0,0,0,21675000,0,300203333.333333,0,0,0,0,0,17680000,0,11786666.6666667,4420000,35807913333.3333,5386668333.33333,0,0,0,0,0,0,0,0,0,0,22067023333.3333,0,0,0,8297856666.66667,1145146666.66667,56996666.6666667,1186666.66666667,0,21780000,0,26876926666.6667,0,0,0,0,0,0,11786666.6666667,0,215306666.666667,64826666.6666667,0,0,0,0,36066666.6666667,0,0,0,90700000,983693333.333333,0,263780000,714998333.333333,52848333.3333333,0,0,1040706666.66667,0,0,0,4426266666.66667,0,13525710000,10879646666.6667,0,0
"Argentina",154266666.666667,967726666.666667,0,0,945720746666.667,0,603113333.333333,1186666.66666667,1589310000,33226666.6666667,1201853333.33333,61706666.6666667,3028978333.33333,3383780000,215973333.333333,88545506666.6667,1329660000,29104780000,0,1264986666.66667,72386666.6666667,0,0,208291140000,2376571893333.33,38773333.3333333,44722500000,0,0,0,473471666.666667,242080000,2291377653333.33,93153333.3333333,17791693333.3333,77491706666.6667,68247233333.3333,12596466666.6667,0,47362833333.3333,0,66162600000,2521150000,2230650906666.67,947553333.333333,5315080000,36415240000,1439426666.66667,0,5337033333.33333,651270426666.667,10094359233333.3,160938706666.667,8188125193333.33,213600000,212621316666.667,92560000,11588986666.6667,0,29666666.6666667,1901633333.33333,0,1140386666.66667,539538766666.667,953173333.333333,89437893333.3333,2335953333.33333,73215000,0,0,4758533333.33333,0,0,1684473333.33333,67686666.6666667,69420000,1814373333.33333,941620000,7176276666.66667,0,2637462193333.33,56471093333.3333,398126666.666667,12216660000,281857066666.667,0,49485831666.6667,12308176666.6667,3458876666.66667,1934936860000,212051400000,29666666.6666667,16339133333.3333,1186666.66666667,325146666.666667,0,0,4206301980000,256495033333.333,0,44405660000,4578160000,3451746666.66667,0,0,0,330486666.666667,0,200546666.666667,0,3679395873333.33,0,4746666.66666667,0,215705740000,1787120000,1409760000,27293333.3333333,30853333.3333333,582653333.333333,0,12050600000,105020000,319762760000,0,6592167503333.33,44830486666.6667,0,410586666.666667,529520333333.333,458286666.666667,255145673333.333,192240000,16633506666.6667,205886666.666667,313021873333.333,10290180000,2006620000,758269906666.667,249705520000,0,147339500000,0,1656586666.66667,11686456666.6667,30853333.3333333,0,8462668333.33333,2235680000,2430166666.66667,0,3807142860000,185120000,561147665000,275426666.666667,672246666.666667,1808420000,1755673333.33333,0,200546666.666667,123413333.333333,0,30853333.3333333,0,121040000,37973333.3333333,0,0,8122733333.33333,0,550020000,1491046666.66667,0,0,0,0,710813333.333333,446389200000,69967733333.3333,0,207735493333.333,1031213333.33333,0,62905000,54154170000,518485858333.333,0,23733333.3333333,940716946666.667,13239788333333.3,0,2032010026666.67,2675695406666.67,0,0
"Armenia",0,0,0,0,560000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1243333.33333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11786666.6666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2946666.66666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1210000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Antigua and Barbuda",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1210000,0,0,0,0,11866666666.6667,0,0,0,0,0,0,0,0,0,0,2373333.33333333,0,0,10680000,0,0,0,0,0,0,0,0,0,0,0,0,0,30853333.3333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91373333.3333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7313626666.66667,0,0,0,0,0,0,0,0,0,2373333.33333333,0,0,0,0,0,0,0
"Australia",0,0,0,0,121595371666.667,0,0,0,0,0,0,0,0,0,0,3560000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7594666666.66667,0,2396666.66666667,1210000,0,0,0,0,0,11273333.3333333,0,0,0,0,0,0,105613333.333333,0,0,0,0,0,4746666.66666667,173846666.666667,0,4833293333.33333,0,0,0,96890000,3701666.66666667,0,0,351371666.666667,0,0,0,0,0,0,0,0,0,0,0,435331666.666667,0,0,0,0,1117988333.33333,0,0,0,0,0,121983333.333333,4099933333.33333,0,0,4039128333.33333,0,0,0,0,5340000,0,166352353333.333,211866666.666667,0,0,0,0,0,315688333.333333,0,0,0,0,0,0,0,0,7143333.33333333,22990000,0,0,0,4746666.66666667,0,0,0,0,0,0,18275108333.3333,0,604630000,243266666.666667,0,0,31866666.6666667,0,0,8870765000,613506666.666667,52320000,0,0,3342880000,3305890000,0,0,0,0,0,10086666.6666667,42126666.6666667,0,0,0,361933333.333333,0,0,354796666.666667,103431666.666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2396666.66666667,0,0,0,2373333.33333333,0,0,0,0,7764945000,0,0,0,8306666.66666667,22920000,0,0,0,0,27620000,0,32656666.6666667,0,0
"Austria",0,3630000,0,0,0,0,0,0,0,0,107986666.666667,0,756766666.666667,0,0,0,861013333.333333,0,0,91341666.6666667,299040000,0,0,0,0,0,0,0,0,0,48653333.3333333,20035770000,27293333.3333333,24041666.6666667,0,0,0,0,0,0,0,0,0,0,1210000,16878428333.3333,178523106666.667,0,0,34460000,0,5933333.33333333,0,0,0,9261476666.66667,8860000,0,4746666.66666667,0,15325576666.6667,0,0,2070468333.33333,332266666.666667,0,0,0,0,0,271816666.666667,0,0,0,0,24245000,0,9883921666.66667,0,41257076666.6667,0,0,263290000,38946993333.3333,0,0,0,1398164911666.67,0,14520000,181560000,44500000,0,20173333.3333333,0,0,0,0,0,0,0,0,0,0,0,0,939270000,20836666.6666667,197580000,0,0,23733333.3333333,0,0,0,4165000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6447946666.66667,3630000,0,41533333.3333333,0,0,0,0,0,0,11247285000,0,73086666.6666667,0,0,0,1210000,1848536666.66667,4645726666.66667,0,0,0,0,0,0,0,0,0,416810000,0,0,0,25391808333.3333,28018110000,345598333.333333,0,0,0,0,0,0,0,0,0,0,0,0,58592788333.3333,0,0,0,0,2579220000,0,153728333.333333,8.9e+07,0,0,0,0,0,0,0,0
