"","11","12","19","20","41","42","49","50","61","62","63","64","65","69","81","89","91","92","99","101","109","111","121","122","123","124","129","131","132","139","151","159","160","171","172","179","181","182","183","189","190","201","202","209","211","212","219","221","222","223","229","230","241","242","249","251","259","261","262","269","271","279","280","291","292","299","300","311","319","321","329","331","339","341","342","350","361","362","363","364","369","371","372","373","379","380","391","392","393","394","399","401","402","409","411","419","421","422","423","429","441","451","452","459","460","471","472","473","479","481","482","483","484","485","486","487","488","489","491","499","500","511","512","513","519","531","532","539","540","551","559","560"
"11",116943600,10905700,204506100,NA,NA,NA,NA,189822600,NA,NA,NA,NA,NA,NA,NA,NA,80993100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9279500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42852300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18401900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16133400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",1001300,118280900,4078400,NA,NA,NA,NA,998500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,373000,278100,293800,16125200,NA,NA,2031100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,151300,929000,1958200,NA,7822800,946600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4973000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2037100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1208000,NA,751300,NA,1796900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",55348400,NA,932739100,NA,36169800,NA,NA,151610000,418622100,NA,18468600,48330300,60579100,NA,35975900,NA,NA,4211300,NA,NA,34495300,2206400,96271800,36850000,114597800,27421800,56431900,329357100,3894600,68511400,NA,NA,6800,284097700,NA,132323600,NA,32550900,10260300,57600,55458200,25619100,NA,NA,35013400,6156200,18395800,NA,NA,1865200,35370500,55605900,52170800,50376200,22498900,5795800,NA,33859100,6115200,NA,21684200,NA,256508700,5968200,17689900,53353800,NA,3963400,2499200,NA,NA,NA,NA,104655500,6653600,1957800,NA,NA,14095700,NA,5625000,114119700,8941800,7195500,103977300,NA,193920500,28718700,NA,17160400,NA,12313400,10300,NA,5169000,NA,22542000,20392400,22668200,65380000,NA,2572300,4331700,92343100,NA,2193900,28729000,15204800,45816600,NA,NA,NA,338548300,NA,127601800,NA,126241200,135428400,33657000,NA,NA,11984100,105681600,NA,4048200,NA,NA,NA,13579600,9812200,58484000,NA
"20",NA,NA,NA,191768000,NA,NA,NA,NA,1796200,NA,NA,8201000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,405800,NA,NA,1820500,NA,NA,NA,NA,63600,NA,NA,841800,101700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,143605500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,894400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,719539500,NA,480100,NA,218600,NA,NA
"41",NA,NA,NA,NA,472470500,38513700,41172500,NA,228087300,NA,50686100,46357900,34988800,NA,929500,NA,NA,NA,NA,NA,NA,NA,NA,NA,37342400,NA,2547600,45452200,NA,NA,NA,NA,NA,98261600,NA,NA,NA,NA,NA,NA,NA,NA,26228900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43837900,NA,NA,NA,NA,NA,NA,NA,NA,3273300,NA,NA,NA,NA,NA,NA,NA,2970800,NA,NA,NA,NA,28611200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27481800,NA,NA,NA,NA,NA,NA,NA,6976400,10403400,212298600,NA,1574600,NA,12012600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57521000,NA
"42",NA,NA,NA,NA,17342400,76402600,11152000,1089500,5603900,NA,2518800,4676700,NA,NA,6553600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2255300,2065300,NA,NA,NA,NA,8719800,NA,2826400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1963000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1261900,NA,NA,2203700,113600,480100,NA,NA,365400,2190200,NA,NA,NA,NA,NA,NA,2192300,NA,NA,NA,NA,NA,NA
"49",NA,NA,NA,NA,NA,NA,7061100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50",76662700,13810200,25435200,NA,254544700,1e+05,7099100,10855773400,359106700,56600,9363000,132494000,548000,NA,112490300,NA,NA,NA,NA,NA,NA,NA,16671700,103143900,16854000,53855800,50590600,150491500,NA,NA,NA,NA,NA,122979100,NA,NA,NA,NA,88873700,15897000,122300800,105979900,NA,117637700,30052700,119718100,20626900,16683400,NA,143355900,NA,63043200,21141900,17100,4671700,NA,129290200,18594200,NA,NA,163497400,9157600,169567900,8561900,129399400,320059400,NA,NA,88266400,NA,7802800,NA,NA,91443700,NA,23701400,73296800,NA,86903500,NA,112338700,NA,NA,27554800,2537100,720600,16105800,NA,NA,NA,153804400,98561300,41393600,429218700,97378600,NA,224665800,NA,126116100,61516100,NA,NA,NA,2226000,NA,35539300,48929900,NA,38529000,NA,NA,NA,185464900,NA,324315500,848665000,36675400,18016600,99732400,NA,NA,NA,NA,40272400,59499300,47827700,NA,NA,NA,68887000,6055900,NA
"61",NA,NA,1705400,3567100,377188900,1299100,3954600,63132000,9368212100,156200200,760977300,977942200,74921000,328209200,18986600,9577300,3701200,11146600,NA,NA,NA,NA,102751200,11671600,98644100,15810900,8850300,88934200,NA,NA,19604000,38644400,19622100,260227000,13747400,2980400,NA,NA,NA,NA,3922200,16014600,NA,14423100,4182000,NA,NA,NA,NA,NA,NA,NA,32424200,80150100,NA,67020300,NA,13149900,889000,NA,4628600,4016800,8853200,NA,NA,3202000,238600,7038500,NA,335056900,45423700,NA,NA,229594300,12878500,44901500,NA,NA,112096600,NA,29541000,37972900,NA,NA,NA,NA,NA,NA,1871100,NA,9627800,12858400,NA,2000200,33741800,9841200,28368300,18894500,NA,7548800,NA,NA,NA,NA,NA,8306500,NA,NA,NA,6693100,NA,NA,95108200,NA,144803600,6861300,41307000,15126300,150775600,NA,NA,80073000,10316500,7996500,4181700,157564900,NA,3474500,NA,50538400,NA,NA
