"","AFG","ALB","ANT","ARB","ARE","ARG","ARM","ATG","AUS","AUT","AZE","BDI","BEL","BEN","BFA","BGD","BGR","BHR","BHS","BIH","BLR","BLZ","BMU","BOL","BRA","BRB","BRN","BTN","BWA","CAF","CAN","CHE","CHL","CHN","CIV","CMR","COD","COG","COK","COL","COM","CPV","CRI","CUB","CYP","CZE","DEU","DJI","DMA","DNK","DOM","DZA","ECU","EGY","ERI","ESP","EST","ETH","FIN","FJI","FRA","FRO","GAB","GBR","GEO","GHA","GIN","GMB","GNB","GNQ","GRC","GRD","GRL","GTM","GUY","HKG","HND","HRV","HTI","HUN","IDN","IND","IRL","IRN","IRQ","ISL","ISR","ITA","JAM","JOR","JPN","KAZ","KEN","KGZ","KHM","KIR","KNA","KOR","KWT","LAO","LBN","LBR","LBY","LCA","LKA","LSO","LTU","LUX","LVA","MAC","MAR","MDA","MDG","MDV","MEX","MKD","MLI","MLT","MMR","MNE","MNG","MOZ","MRT","MUS","MWI","MYS","NAM","NCL","NER","NGA","NIC","NLD","NOR","NPL","NZL","OMN","PAK","PAN","PER","PHL","PNG","POL","PRK","PRT","PRY","PSE","PYF","QAT","ROU","RUS","RWA","SAU","SDN","SEN","SGP","SLB","SLE","SLV","SOM","SRB","SSD","STP","SUR","SVK","SVN","SWE","SWZ","SYC","SYR","TCD","TGO","THA","TJK","TKM","TLS","TON","TTO","TUN","TUR","TUV","TWN","TZA","UGA","UKR","URY","USA","UZB","VCT","VEN","VNM","VUT","YEM","ZAF","ZMB","ZWE"
"Afghanistan",0,0,0,0,0,0,0,0,0,0,0,0,14240000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123460000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52680000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136730000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Albania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43906666.6666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Netherlands Antilles",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aruba",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419423333.333333,0,0,0,0,0,0
"United Arab Emirates",2601906666.66667,0,0,0,0,897120000,252760000,0,244573333.333333,0,122800000,7190000,0,0,0,6050000,0,13386340000,0,0,0,0,0,0,0,0,24186666.6666667,0,0,0,1210000,0,0,42440000,0,46240000,0,200546666.666667,0,0,20626666.6666667,0,0,0,1210000,0,0,3748160000,0,0,0,0,0,577436666.666667,64493333.3333333,0,0,1500346666.66667,0,0,0,0,4746666.66666667,0,7120000,166180000,0,21710000,0,2373333.33333333,0,0,0,0,0,14733333.3333333,0,0,0,0,0,102346666.666667,0,260369733333.333,15059366666.6667,0,0,1186666.66666667,0,1823763333.33333,0,8840000,294876666.666667,2946666.66666667,0,0,0,70720000,8198943333.33333,0,595306666.666667,1210000,27584560000,0,24940000,0,0,0,0,0,0,0,0,309200000,0,0,2420000,0,0,0,0,0,0,28853333.3333333,0,287980000,0,0,0,0,0,17680000,0,0,2946666.66666667,26841960000,5917850000,0,0,0,0,0,0,0,0,0,0,31093596666.6667,0,0,0,8020433333.33333,1145146666.66667,53456666.6666667,1186666.66666667,0,21780000,0,26876926666.6667,0,0,0,0,0,0,0,0,86080000,64826666.6666667,0,0,0,0,36066666.6666667,0,0,0,90700000,983693333.333333,0,263780000,758110000,33490000,0,0,0,0,0,0,4426266666.66667,0,13525710000,5976626666.66667,0,0
"Argentina",154266666.666667,1089360000,0,0,1073497453333.33,0,1014693333.33333,0,1425613333.33333,28480000,1201853333.33333,61706666.6666667,3156533333.33333,3942106666.66667,401093333.333333,88545506666.6667,1178360000,16755733333.3333,0,1185480000,30853333.3333333,0,0,207661380000,2395549906666.67,8840000,89326333333.3333,0,0,0,330476666.666667,0,2421240416666.67,125786666.666667,21672093333.3333,78843320000,68247233333.3333,12915680000,0,46492413333.3333,0,68156200000,2507013333.33333,2230650906666.67,1008666666.66667,5211840000,1402640000,1439426666.66667,0,5383906666.66667,651270426666.667,10025670813333.3,178607866666.667,9043846546666.67,213600000,190149980000,92560000,9304653333.33333,0,29666666.6666667,1969866666.66667,0,1140386666.66667,521468800000,1253400000,87052680000,2488440000,90770000,0,0,5152506666.66667,0,0,1759826666.66667,30853333.3333333,14240000,1882053333.33333,1256680000,7176276666.66667,0,2635564120000,56650280000,398720000,11705800000,281857066666.667,0,86675093333.3333,12410160000,4868813333.33333,1896838333333.33,187731853333.333,29666666.6666667,17875240000,0,0,0,0,4577480040000,260796106666.667,0,35468280000,4578160000,3451746666.66667,0,0,0,329893333.333333,0,215973333.333333,0,3666776266666.67,0,0,0,215324226666.667,1616240000,1727786666.66667,0,30853333.3333333,601640000,0,12050600000,150706666.666667,322725866666.667,0,6360527546666.67,49588426666.6667,0,485346666.666667,529520333333.333,462800000,304660053333.333,196986666.666667,17210226666.6667,204106666.666667,351904786666.667,14048946666.6667,2006620000,773350066666.667,244677613333.333,0,138182586666.667,0,1565213333.33333,11794113333.3333,30853333.3333333,0,352440000,2427920000,2673946666.66667,0,3817897026666.67,185120000,548353920000,306280000,766586666.666667,1808420000,1914093333.33333,0,282426666.666667,123413333.333333,0,30853333.3333333,0,121040000,26106666.6666667,0,0,8122733333.33333,0,612320000,1535546666.66667,0,0,0,0,700133333.333333,478960066666.667,98207893333.3333,0,248345600000,1594880000,0,60520000,52808496666.6667,534918593333.333,0,0,940716946666.667,13239788333333.3,0,2032010026666.67,2565293280000,0,0
"Armenia",0,0,0,0,560000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11786666.6666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2946666.66666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1210000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Antigua and Barbuda",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Australia",0,0,0,0,7120000,0,0,0,0,0,0,0,0,0,0,3560000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2420000,0,0,0,0,0,0,16613333.3333333,0,0,0,0,0,0,105613333.333333,0,0,0,0,0,0,97306666.6666667,0,5599880000,0,0,0,108476666.666667,1186666.66666667,0,0,187170000,0,0,0,0,0,0,0,0,0,0,0,24943333.3333333,0,0,0,0,1293536666.66667,0,0,0,0,0,44606666.6666667,4099933333.33333,0,0,5054756666.66667,0,0,0,0,7120000,0,156479720000,4840000,0,0,0,0,0,625373333.333333,0,0,0,0,0,0,0,0,0,22990000,0,0,0,4746666.66666667,0,0,0,0,0,0,15409006666.6667,0,829503333.333333,0,0,0,31110000,0,0,5601893333.33333,0,9493333.33333333,0,0,4918836666.66667,3305890000,0,0,0,0,0,11866666.6666667,1186666.66666667,0,0,0,0,0,0,209086666.666667,1.21e+08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2373333.33333333,0,0,0,0,7967263333.33333,0,0,0,8306666.66666667,0,0,0,0,0,27620000,0,54633333.3333333,0,0
"Austria",0,3630000,0,0,0,0,0,0,0,0,107986666.666667,0,566573333.333333,0,0,0,992123333.333333,0,0,3630000,560106666.666667,0,0,0,0,0,0,0,0,0,0,22401130000,21360000,20376666.6666667,0,0,0,0,0,0,0,0,0,0,0,1.0575e+10,190962523333.333,0,0,60590000,0,0,0,0,0,429810000,9453333.33333333,0,8306666.66666667,0,18411473333.3333,0,0,1935223333.33333,332266666.666667,0,0,0,0,0,488906666.666667,0,0,0,0,47246666.6666667,0,6362030000,0,37722290000,0,0,327220000,1186666.66666667,0,0,0,1150370803333.33,0,14520000,323960000,84253333.3333333,0,20173333.3333333,0,0,0,0,0,0,0,0,0,0,0,0,958873333.333333,24990000,192240000,0,0,0,0,0,0,1210000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11010896666.6667,0,0,28480000,0,0,0,0,0,0,11936750000,0,111130000,0,0,0,0,1449480000,7016760000,0,0,0,0,0,0,0,0,0,736083333.333333,0,0,0,4090776666.66667,16847863333.3333,324713333.333333,0,0,0,0,0,0,0,0,0,0,0,0,58588973333.3333,0,0,0,0,3557626666.66667,0,207133333.333333,8.9e+07,0,0,0,0,0,0,0,0
