"iso3","R0"
"AFG",0
"ALB",0
"ANT",0
"ARB",0
"ARE",0
"ARG",10855626666666.7
"ARM",0
"ATG",0
"AUS",157826666666.667
"AUT",935402783393.584
"AZE",75946666666.6667
"BDI",0
"BEL",300569487430.001
"BEN",564853333333.333
"BFA",759466666666.667
"BGD",570786666666.667
"BGR",1254000273013.31
"BHR",0
"BHS",0
"BIH",730986666666.667
"BLR",450933333333.333
"BLZ",0
"BMU",0
"BOL",1.24956e+12
"BRA",22380533333333.3
"BRB",0
"BRN",0
"BTN",0
"BWA",0
"CAF",0
"CAN",7656373333333.33
"CHE",116293333333.333
"CHL",678773333333.333
"CHN",760550093333333
"CIV",0
"CMR",1393146666666.67
"COD",8.2236e+11
"COG",0
"COK",0
"COL",1.12852e+12
"COM",0
"CPV",0
"CRI",1.6732e+11
"CUB",189866666666.667
"CYP",0
"CZE",316477227723.163
"DEU",1944866839069.59
"DJI",0
"DMA",0
"DNK",51091482968.8157
"DOM",5.4824e+11
"DZA",1618613333333.33
"ECU",148333333333.333
"EGY",5999786666666.67
"ERI",0
"ESP",1930861922602.91
"EST",0
"ETH",2942933333333.33
"FIN",0
"FJI",0
"FRA",6259334201294.35
"FRO",0
"GAB",0
"GBR",0
"GEO",155453333333.333
"GHA",1.0146e+12
"GIN",232586666666.667
"GMB",0
"GNB",0
"GNQ",0
"GRC",832464758474.703
"GRD",0
"GRL",0
"GTM",1326693333333.33
"GUY",0
"HKG",0
"HND",4.9128e+11
"HRV",977619544340.68
"HTI",0
"HUN",3535262657505.17
"IDN",2966666666666.67
"IND",5958253333333.33
"IRL",0
"IRN",4590026666666.67
"IRQ",4.628e+10
"ISL",0
"ISR",517386666666.667
"ITA",3098190115445.6
"JAM",61706666666.6667
"JOR",47466666666.6667
"JPN",5077746666666.67
"KAZ",449746666666.667
"KEN",1791866666666.67
"KGZ",354813333333.333
"KHM",838973333333.333
"KIR",0
"KNA",0
"KOR",6.63584e+12
"KWT",43906666666.6667
"LAO",7.9744e+11
"LBN",1.1748e+11
"LBR",0
"LBY",169693333333.333
"LCA",0
"LKA",173253333333.333
"LSO",0
"LTU",55652272602.7312
"LUX",30341083284.8164
"LVA",0
"MAC",0
"MAR",443813333333.333
"MDA",1543853333333.33
"MDG",1.068e+10
"MDV",0
"MEX",1.534004e+13
"MKD",0
"MLI",2181093333333.33
"MLT",0
"MMR",390413333333.333
"MNE",0
"MNG",0
"MOZ",4.4856e+11
"MRT",0
"MUS",0
"MWI",364306666666.667
"MYS",837786666666.667
"NAM",75946666666.6667
"NCL",0
"NER",0
"NGA",1027653333333.33
"NIC",2.9192e+11
"NLD",96286617608.4351
"NOR",0
"NPL",8.722e+11
"NZL",1.8512e+11
"OMN",0
"PAK",3.19688e+12
"PAN",374986666666.667
"PER",1.02884e+12
"PHL",1.34568e+12
"PNG",0
"POL",1855687465840.56
"PRK",0
"PRT",390834282155.059
"PRY",4016866666666.67
"PSE",0
"PYF",0
"QAT",0
"ROU",5690255154078.42
"RUS",1618613333333.33
"RWA",168506666666.667
"SAU",2724586666666.67
"SDN",0
"SEN",183933333333.333
"SGP",0
"SLB",0
"SLE",0
"SLV",698946666666.667
"SOM",0
"SRB",2814773333333.33
"SSD",0
"STP",0
"SUR",0
"SVK",609721858425.606
"SVN",184079972742.501
"SWE",0
"SWZ",0
"SYC",0
"SYR",130533333333.333
"TCD",100866666666.667
"TGO",294293333333.333
"THA",1412133333333.33
"TJK",115106666666.667
"TKM",0
"TLS",0
"TON",0
"TTO",30853333333.3333
"TUN",173253333333.333
"TUR",3345213333333.33
"TUV",0
"TWN",2.95836e+12
"TZA",2065986666666.67
"UGA",753533333333.333
"UKR",4.27912e+12
"URY",517386666666.667
"USA",1.9470708e+14
"UZB",9.612e+10
"VCT",0
"VEN",351253333333.333
"VNM",3.74156e+12
"VUT",0
"YEM",93746666666.6667
"ZAF",8.57248e+12
"ZMB",1998346666666.67
"ZWE",1486893333333.33
