"faf","prod"
"011","632845407.520303"
"012",NA
"019","3447617710.34134"
"020","1766594354.45223"
"041",NA
"042",NA
"049",NA
"050","4909274799.92157"
"061","1444439487.86401"
"062",NA
"063",NA
"064","406040395.852527"
"065",NA
"069","551602047.195885"
"081","1463345914.37358"
"089","2331823825.08299"
"091",NA
"092","364825800.043615"
"099",NA
"101",NA
"109","861533869.20466"
"111",NA
"121",NA
"122","353942930.740752"
"123",NA
"124",NA
"129","668809753.765268"
"131","3097243306.15351"
"132",NA
"139","3413616231.84049"
"151",NA
"159",NA
"160",NA
"171","1081616662.84607"
"172","968485361.818459"
"179","2153735122.25802"
"181",NA
"182","220131452.548475"
"183",NA
"189","2540671022.33886"
"190","8004819597.71211"
"201",NA
"202",NA
"209","5031199368.78755"
"211",NA
"212","2083557409.54008"
"219","206220978.112398"
"221",NA
"222",NA
"223",NA
"229","3070321733.8769"
"230",NA
"241",NA
"242",NA
"249",NA
"251",NA
"259",NA
"261",NA
"262",NA
"269","423000130.799396"
"271",NA
"279","926414734.422914"
"280","764630287.661155"
"291",NA
"292",NA
"299","1195477462.70349"
"300","296401989.246362"
"311","3738683733.6848"
"319","9130781553.57529"
"321",NA
"329",NA
"331",NA
"339",NA
"341",NA
"342",NA
"350","1771791114.72395"
"361","386505733.066181"
"362",NA
"363",NA
"364","639858235.514009"
"369",NA
"371",NA
"372","289765263.42274"
"373",NA
"379","3121456123.00563"
"380",NA
"391",NA
"392",NA
"393",NA
"394",NA
"399",NA
"401",NA
"402","51362108.9913549"
"409","2477018393.67752"
"411",NA
"419","1153684391.28182"
"421",NA
"422","560019455.698985"
"423",NA
"429","768942942.734634"
"441",NA
"451",NA
"452",NA
"459",NA
"460","2241470508.95864"
"471",NA
"472",NA
"473",NA
"479","450531050.6615"
"481",NA
"482",NA
"483",NA
"484","973439623.99971"
"485","30793327.4563411"
"486","1245837308.70054"
"487",NA
"488",NA
"489","8225049855.16655"
"491",NA
"499",NA
"500",NA
"511",NA
"512","240061471.966965"
"513",NA
"519","647545889.327864"
"531",NA
"532","540034509.726504"
"539","1004567830.03086"
"540",NA
"551",NA
"559","4706178453.45827"
"560",NA
