"faf","prod"
"011","1100219556.2796"
"012",NA
"019","5993780443.7204"
"020","3976751779.02088"
"041",NA
"042",NA
"049",NA
"050","1.2809e+10"
"061","19398846175.4063"
"062",NA
"063",NA
"064","5453129221.62775"
"065",NA
"069","7408024602.966"
"081","2652027152.9417"
"089","4225972847.0583"
"091",NA
"092","0"
"099",NA
"101",NA
"109","2.236e+09"
"111",NA
"121",NA
"122","4767445627.61976"
"123",NA
"124",NA
"129","9008554372.38024"
"131","7732571966.53284"
"132",NA
"139","8522428033.46716"
"151",NA
"159",NA
"160",NA
"171","5153830326.02258"
"172","4614767319.61115"
"179","10262402354.3663"
"181",NA
"182","446912375.208788"
"183",NA
"189","5158087624.79121"
"190","1.7694e+10"
"201",NA
"202",NA
"209","1.529e+10"
"211",NA
"212","2775312289.33135"
"219","274687710.668652"
"221",NA
"222",NA
"223",NA
"229","2.955e+09"
"230",NA
"241",NA
"242",NA
"249",NA
"251",NA
"259",NA
"261",NA
"262",NA
"269","5.786e+09"
"271",NA
"279","8.541e+09"
"280","4.92e+09"
"291",NA
"292",NA
"299","7.246e+09"
"300","2.99e+08"
"311","6937042595.31564"
"319","16941957404.6844"
"321",NA
"329",NA
"331",NA
"339",NA
"341",NA
"342",NA
"350","6.38e+08"
"361","5203549991.03928"
"362",NA
"363",NA
"364","8614450008.96072"
"369",NA
"371",NA
"372","935326369.681456"
"373",NA
"379","10075673630.3185"
"380",NA
"391",NA
"392",NA
"393",NA
"394",NA
"399",NA
"401",NA
"402","100921106.296978"
"409","4867078893.70302"
"411",NA
"419","2.786e+09"
"421",NA
"422","4674124572.62493"
"423",NA
"429","6417875427.37507"
"441",NA
"451",NA
"452",NA
"459",NA
"460","1017552122.07346"
"471",NA
"472",NA
"473",NA
"479","4.694e+09"
"481",NA
"482",NA
"483",NA
"484","2499948619.49603"
"485","79082189.142726"
"486","3199509433.57477"
"487",NA
"488",NA
"489","21123243315.5153"
"491",NA
"499",NA
"500",NA
"511",NA
"512","1699294411.17764"
"513",NA
"519","4583705588.82236"
"531",NA
"532","2990009148.8315"
"539","5561990851.1685"
"540",NA
"551",NA
"559","8.597e+09"
"560",NA
