"country_list$iso3","P0"
"ARM",1520252436000
"AFG",24760740636000
"ALB",1322112280000
"DZA",1.5727058e+13
"ATG",0
"ARG",51687150632000
"AUS",125142729220000
"AUT",6797120440000
"BHS",0
"BHR",0
"BRB",0
"BGD",5667942592000
"BMU",0
"BTN",90872048000
"BOL",1445544652000
"BWA",0
"BRA",26961805980000
"ARB",0
"BLZ",0
"SLB",0
"BRN",0
"BGR",21550754144000
"MMR",929877376000
"BDI",72444600000
"CMR",48455384000
"CAN",140607283928000
"CPV",0
"CAF",0
"LKA",0
"TCD",79360404000
"CHL",5905284328000
"CHN",505726562256000
"COL",105363640000
"COM",0
"COG",0
"COK",0
"CRI",0
"CUB",0
"CYP",147313372000
"AZE",7838070184000
"BEN",0
"DNK",17695324008000
"DMA",0
"DOM",0
"BLR",11073502132000
"ECU",72365108000
"EGY",35657064452000
"SLV",0
"GNQ",0
"EST",2471245292000
"FRO",0
"FJI",0
"FIN",4032764096000
"FRA",143652210292000
"PYF",0
"DJI",0
"GEO",525323216000
"GAB",0
"GMB",0
"DEU",95198198364000
"BIH",1124437052000
"GHA",0
"KIR",0
"GRC",7656304712000
"GRL",0
"GRD",0
"GTM",76940240000
"GIN",0
"GUY",0
"HTI",0
"HND",29673896000
"HKG",0
"HUN",20607306348000
"HRV",3659098256000
"ISL",0
"IND",410875180140000
"IDN",0
"IRN",57146131468000
"IRQ",16805785148000
"IRL",2767073100000
"ISR",885367868000
"ITA",31505968832000
"CIV",0
"KAZ",84699257728000
"JAM",0
"JPN",3727381216000
"JOR",197011904000
"KGZ",3326684756000
"KEN",1611688276000
"KHM",0
"PRK",374367908000
"KOR",233812692000
"KWT",129223932000
"LVA",7353193700000
"LAO",0
"LBN",727655740000
"LSO",97525996000
"LBR",0
"LBY",1493309324000
"LTU",14213223708000
"MAC",0
"MDG",108819872000
"MWI",51671804000
"MYS",0
"MDV",0
"MLI",293427016000
"MLT",206770048000
"MRT",103880012000
"MUS",0
"MEX",14427687112000
"MNG",2430819268000
"MAR",27949546184000
"MOZ",159181728000
"MDA",4476532528000
"NAM",262479912000
"NPL",8732447368000
"NLD",4949988216000
"ANT",0
"NCL",62951652000
"MKD",1217256988000
"VUT",0
"NZL",1948918056000
"NIC",0
"NER",101477216000
"NGA",542870240000
"NOR",1515400752000
"PAK",113198467044000
"PAN",0
"CZE",19261496100000
"PNG",0
"PRY",6046564324000
"PER",1248489996000
"PHL",0
"POL",42115792124000
"PRT",498189724000
"GNB",0
"TLS",0
"ERI",217562256000
"QAT",62565548000
"ZWE",306853816000
"ROU",31517867916000
"RWA",101081092000
"RUS",271513994768000
"KNA",0
"LCA",0
"VCT",0
"STP",0
"SAU",2962425024000
"SEN",0
"SYC",0
"SLE",0
"SVN",824714136000
"SVK",7832135004000
"SGP",0
"SOM",25214996000
"ZAF",7713537616000
"ESP",29868700164000
"SUR",0
"TJK",4072817376000
"SWZ",65673752000
"SWE",10522734796000
"CHE",2124495176000
"SYR",13733701244000
"TKM",9407057228000
"TWN",120276740000
"TZA",743413860000
"THA",43504168000
"TGO",0
"TON",0
"TTO",0
"OMN",139642728000
"TUN",6175122928000
"TUR",95546980536000
"ARE",111946112000
"UGA",169248488000
"TUV",0
"GBR",54914551884000
"UKR",97675893196000
"USA",258834929920000
"BFA",0
"URY",5042152844000
"UZB",27887704748000
"VEN",100373680000
"VNM",0
"ETH",19481368968000
"YEM",1004478280000
"COD",89508660000
"ZMB",1072002392000
"BEL",7031998592000
"LUX",518062724000
"SRB",10705102804000
"MNE",110568028000
"SDN",2312515132000
"SSD",0
"PSE",242347728000
