"iso3","R0"
"ARM",2.4716e+11
"AFG",1.03206e+12
"ALB",2.33132e+11
"DZA",1.4011968e+13
"ATG",0
"ARG",5.773524e+12
"AUS",1.56813e+13
"AUT",457076665203.621
"BHS",0
"BHR",6.4796e+10
"BRB",0
"BGD",5.172992e+12
"BMU",0
"BTN",0
"BOL",4.02804e+11
"BWA",0
"BRA",4.68268e+12
"ARB",0
"BLZ",0
"SLB",0
"BRN",0
"BGR",1441963916682.2
"MMR",1.51636e+11
"BDI",0
"CMR",2.338e+10
"CAN",2.319296e+13
"CPV",0
"CAF",0
"LKA",4.88308e+11
"TCD",0
"CHL",1.197056e+12
"CHN",0
"COL",1.909144e+12
"COM",0
"COG",1.5698e+11
"COK",0
"CRI",1.98396e+11
"CUB",0
"CYP",10260876536.5507
"AZE",1.102868e+12
"BEN",0
"DNK",1198764196547.8
"DMA",0
"DOM",2.69204e+11
"BLR",2.74548e+12
"ECU",5.79156e+11
"EGY",1.4522988e+13
"SLV",3.40012e+11
"GNQ",0
"EST",170439277710.878
"FRO",0
"FJI",1.09552e+11
"FIN",272768814813.666
"FRA",9727728885975.79
"PYF",0
"DJI",0
"GEO",3.04608e+11
"GAB",0
"GMB",0
"DEU",6419716368532.13
"BIH",6.09216e+11
"GHA",4.30192e+11
"KIR",0
"GRC",510097955895.571
"GRL",0
"GRD",0
"GTM",4.23512e+11
"GIN",1.82364e+11
"GUY",3.9412e+10
"HTI",0
"HND",5.01e+10
"HKG",0
"HUN",1386066691513.08
"HRV",242914459934.457
"ISL",0
"IND",5.583812e+13
"IDN",5.4943e+12
"IRN",2.946882e+13
"IRQ",2.553764e+12
"IRL",187243843330.299
"ISR",9.32528e+11
"ITA",2114839198904.68
"CIV",0
"KAZ",9.741444e+12
"JAM",0
"JPN",4.092836e+12
"JOR",1.603868e+12
"KGZ",6.93384e+11
"KEN",5.49764e+11
"KHM",0
"PRK",0
"KOR",4.884416e+12
"KWT",0
"LVA",500252380717.736
"LAO",0
"LBN",1.68336e+11
"LSO",0
"LBR",0
"LBY",3.85436e+11
"LTU",967541465479.599
"MAC",0
"MDG",0
"MWI",4.8764e+10
"MYS",1.114224e+12
"MDV",0
"MLI",2.8056e+10
"MLT",0
"MRT",8.5504e+10
"MUS",1.6032e+10
"MEX",2.187032e+12
"MNG",0
"MAR",1.5793524e+13
"MOZ",2.38476e+11
"MDA",9.35868e+11
"NAM",2.2712e+10
"NPL",0
"NLD",333495947735.672
"ANT",0
"NCL",0
"MKD",2.9058e+11
"VUT",0
"NZL",7.96924e+11
"NIC",4.5424e+10
"NER",6.68e+09
"NGA",6.68e+11
"NOR",1.27254e+12
"PAK",1.1029348e+13
"PAN",5.678e+10
"CZE",1298722323629.9
"PNG",9.6192e+10
"PRY",6.31928e+11
"PER",1.207744e+12
"PHL",3.55376e+12
"POL",2843972395512.25
"PRT",33336774770.0337
"GNB",0
"TLS",0
"ERI",1.2024e+10
"QAT",0
"ZWE",1.04876e+11
"ROU",2122081743979.67
"RWA",3.34e+10
"RUS",2.1926432e+13
"KNA",0
"LCA",0
"VCT",0
"STP",0
"SAU",1.0652596e+13
"SEN",1.95056e+11
"SYC",0
"SLE",0
"SVN",55542196869.9137
"SVK",528085501323.742
"SGP",2.41816e+11
"SOM",0
"ZAF",2.265188e+12
"ESP",1994040133906.55
"SUR",0
"TJK",1.695384e+12
"SWZ",0
"SWE",719330232217.507
"CHE",9.09816e+11
"SYR",7.901104e+12
"TKM",2.06412e+12
"TWN",1.705404e+12
"TZA",3.7074e+11
"THA",2.673336e+12
"TGO",2.5384e+10
"TON",0
"TTO",1.67e+10
"OMN",4.7428e+11
"TUN",2.679348e+12
"TUR",9.329288e+12
"ARE",8.89108e+11
"UGA",3.34e+10
"TUV",0
"GBR",3729784452665.98
"UKR",1.1388064e+13
"USA",7.6661684e+13
"BFA",2.2044e+10
"URY",6.09884e+11
"UZB",6.884408e+12
"VEN",7.84232e+11
"VNM",1.70674e+12
"ETH",2.342676e+12
"YEM",9.25848e+11
"COD",1.5364e+11
"ZMB",1.67e+11
"BEL",476399358312.943
"LUX",34929941297.7784
"SRB",1.400128e+12
"MNE",0
"SDN",1.319968e+12
"SSD",0
"PSE",0
