"","AFG","ALB","ANT","ARB","ARE","ARG","ARM","ATG","AUS","AUT","AZE","BDI","BEL","BEN","BFA","BGD","BGR","BHR","BHS","BIH","BLR","BLZ","BMU","BOL","BRA","BRB","BRN","BTN","BWA","CAF","CAN","CHE","CHL","CHN","CIV","CMR","COD","COG","COK","COL","COM","CPV","CRI","CUB","CYP","CZE","DEU","DJI","DMA","DNK","DOM","DZA","ECU","EGY","ERI","ESP","EST","ETH","FIN","FJI","FRA","FRO","GAB","GBR","GEO","GHA","GIN","GMB","GNB","GNQ","GRC","GRD","GRL","GTM","GUY","HKG","HND","HRV","HTI","HUN","IDN","IND","IRL","IRN","IRQ","ISL","ISR","ITA","JAM","JOR","JPN","KAZ","KEN","KGZ","KHM","KIR","KNA","KOR","KWT","LAO","LBN","LBR","LBY","LCA","LKA","LSO","LTU","LUX","LVA","MAC","MAR","MDA","MDG","MDV","MEX","MKD","MLI","MLT","MMR","MNE","MNG","MOZ","MRT","MUS","MWI","MYS","NAM","NCL","NER","NGA","NIC","NLD","NOR","NPL","NZL","OMN","PAK","PAN","PER","PHL","PNG","POL","PRK","PRT","PRY","PSE","PYF","QAT","ROU","RUS","RWA","SAU","SDN","SEN","SGP","SLB","SLE","SLV","SOM","SRB","SSD","STP","SUR","SVK","SVN","SWE","SWZ","SYC","SYR","TCD","TGO","THA","TJK","TKM","TLS","TON","TTO","TUN","TUR","TUV","TWN","TZA","UGA","UKR","URY","USA","UZB","VCT","VEN","VNM","VUT","YEM","ZAF","ZMB","ZWE"
"Afghanistan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.8e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Albania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2400000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20400000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Netherlands Antilles",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aruba",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1702420000,0,0,0,0,0,0
"United Arab Emirates",178800000,0,0,0,0,0,4800000,0,260400000,1200000,98400000,2098120000,0,206685930000,105590000,97200000,28800000,206340000,0,0,0,0,0,0,0,0,25200000,0,0,0,1.87e+08,38400000,0,0,92400000,14498330000,177600000,305970000,0,0,976710000,0,0,0,0,0,40800000,434400000,0,1.2e+07,0,0,0,382800000,0,0,0,29970000,0,0,4800000,0,284400000,292780000,171450000,19209550000,133179600000,7575600000,0,0,0,0,0,0,0,19200000,0,0,0,0,0,124800000,0,494839200000,0,0,0,1200000,0,13110000,0,0,9076600000,0,0,0,0,0,86400000,0,1200000,0,20912400000,0,310800000,0,0,0,0,0,0,0,9600000,652180000,0,0,253200000,0,0,0,0,0,4.2e+08,3600000,4800000,0,1.8e+08,0,37200000,232320000,0,294950000,0,0,19200000,215788750000,498910000,0,0,1.2e+07,0,0,0,0,0,0,0,158500000,0,0,7200000,656380000,0,27600000,0,0,2400000,0,0,0,0,0,0,0,0,166540000,0,139200000,313200000,0,2466690000,0,0,0,0,0,0,0,1.5e+08,0,0,109100000,905960000,25200000,0,4882530000,0,0,0,0,0,13804690000,62564400000,1618700000,35708400000
"Argentina",0,0,0,0,0,0,0,0,1200000,0,0,0,282030000,0,0,0,0,0,0,0,0,0,0,65661500000,321901210000,0,0,0,0,0,7334300000,1190000,228999250000,0,0,0,0,0,0,6.8664e+10,0,0,44321780000,105566400000,0,0,394600000,0,0,1317100000,0,7798800000,0,0,0,259420000,0,0,0,0,0,0,0,405550000,0,0,0,0,0,0,1200000,0,0,0,0,0,3178800000,0,0,0,0,0,0,0,0,0,164560000,1321290000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6e+07,0,0,0,0,0,85680000,0,0,0,0,0,26588400000,0,1011600000,0,0,0,0,0,0,0,0,0,0,0,0,0,8737200000,421520000,2400000,0,233850000,0,0,6069600000,17271600000,0,0,0,0,0,635970000,0,0,12200000,0,0,0,6e+07,0,65203200000,0,0,1.5e+08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35360000,0,0,0,0,0,0,7.59e+09,0,0,0,0,23900000,0,18334640000,0,0,0,0,0,0,10800000,0,0
"Armenia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Antigua and Barbuda",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1220000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77554800000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Australia",0,0,0,0,1.0032e+10,0,0,0,0,0,0,0,0,0,0,1200000,0,866250000,0,1200000,0,0,0,0,0,0,881400000,0,0,0,4525730000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102340000,0,0,0,3909590000,0,0,0,5.688e+09,0,57600000,0,0,0,0,20740000,0,0,0,0,23948330000,0,0,0,0,0,0,6e+06,0,0,14400000,126108980000,1200000,0,57506400000,8656046666.66667,0,0,0,4800000,19285200000,0,49480880000,7935600000,0,17645880000,0,0,0,187200000,0,0,0,0,28800000,0,0,0,27600000,0,0,0,0,0,0,701570000,0,0,2.16e+08,0,3694800000,0,62220000,2400000,0,0,4840000,0,0,62254350000,691200000,26400000,0,0,7320000,0,0,0,0,0,0,4988400000,4714770000,0,1087200000,0,45422400000,0,0,9809980000,11121600000,0,0,0,0,0,0,0,0,0,1000800000,0,0,0,0,0,13673336666.6667,0,0,0,0,0,0,0,0,20510520000,0,0,0,0,3599500000,0,0,0,0,0,0,6325020000,2400000,0
"Austria",0,0,0,0,0,0,0,0,0,0,0,0,84540000,835380000,0,0,500380000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92400000,0,0,0,0,0,0,0,0,0,0,0,0,0,529640000,5024380000,0,0,9570000,0,0,0,0,0,10820000,4780000,0,0,0,47200000,0,0,7280000,0,0,0,0,0,0,0,0,0,0,0,0,0,682030000,0,145190000,0,0,0,0,0,0,28740000,660510000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,415200000,0,0,0,0,0,0,0,0,3660000,0,1200000,0,0,0,0,0,0,0,0,0,0,0,159680000,48800000,0,0,0,1200000,0,0,0,0,953980000,0,0,0,0,0,0,110300000,6100000,0,0,0,0,0,0,0,0,0,0,0,0,0,475880000,438510000,4880000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
