"","AFG","ALB","ANT","ARB","ARE","ARG","ARM","ATG","AUS","AUT","AZE","BDI","BEL","BEN","BFA","BGD","BGR","BHR","BHS","BIH","BLR","BLZ","BMU","BOL","BRA","BRB","BRN","BTN","BWA","CAF","CAN","CHE","CHL","CHN","CIV","CMR","COD","COG","COK","COL","COM","CPV","CRI","CUB","CYP","CZE","DEU","DJI","DMA","DNK","DOM","DZA","ECU","EGY","ERI","ESP","EST","ETH","FIN","FJI","FRA","FRO","GAB","GBR","GEO","GHA","GIN","GMB","GNB","GNQ","GRC","GRD","GRL","GTM","GUY","HKG","HND","HRV","HTI","HUN","IDN","IND","IRL","IRN","IRQ","ISL","ISR","ITA","JAM","JOR","JPN","KAZ","KEN","KGZ","KHM","KIR","KNA","KOR","KWT","LAO","LBN","LBR","LBY","LCA","LKA","LSO","LTU","LUX","LVA","MAC","MAR","MDA","MDG","MDV","MEX","MKD","MLI","MLT","MMR","MNE","MNG","MOZ","MRT","MUS","MWI","MYS","NAM","NCL","NER","NGA","NIC","NLD","NOR","NPL","NZL","OMN","PAK","PAN","PER","PHL","PNG","POL","PRK","PRT","PRY","PSE","PYF","QAT","ROU","RUS","RWA","SAU","SDN","SEN","SGP","SLB","SLE","SLV","SOM","SRB","SSD","STP","SUR","SVK","SVN","SWE","SWZ","SYC","SYR","TCD","TGO","THA","TJK","TKM","TLS","TON","TTO","TUN","TUR","TUV","TWN","TZA","UGA","UKR","URY","USA","UZB","VCT","VEN","VNM","VUT","YEM","ZAF","ZMB","ZWE"
"Armenia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1230000,0,0,0,0,0,0,0,0,0,0,0,0,6150000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46706666.6666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1230000,0,0,280280000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1230000,0,0,0,2446666.66666667,0,0,0,0,0,0,0,0,0
"Afghanistan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,414510000,0,0,461250000,0,0,0,0,0,0,0,0,0,0,2460000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20910000,0,0,0,0,0,0,0,0,0,0,0,239850000,0,0,0,0,0,0,667890000,0,0,0,0,0,0,28290000,0,0,0,0,0,0,0,0,11070000,137050000,0,0,0,0,0,0,0,0,0,0,0,0,25830000,0,0,0,0,0,0,0,0,0,0,0,0,0,2460000,1207763333.33333,0,4920000,0,27060000,0,0,0,1230000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151096666.666667,0,0,0,0,0,0,1526430000,0,0,0,0,0,0,0,0,0,0,2071286666.66667,0,0,0,23370000,0,0,0,7340000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Albania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Algeria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189373333.333333,0,0,0,0,0,0
"Antigua and Barbuda",1234873333.33333,0,0,0,0,0,15990000,22140000,3076193333.33333,0,30656666.6666667,116813333.333333,91356666.6666667,666173333.333333,44280000,640830000,0,3563440000,41820000,0,0,0,0,7380000,4920000,17220000,139140000,0,0,27060000,6202506666.66667,7363333.33333333,8610000,1230170000,105216666.666667,1505863333.33333,412576666.666667,1015876666.66667,0,0,3331830000,27060000,40590000,0,93080000,0,182100000,3529570000,70110000,46723333.3333333,3690000,699136666.666667,0,17979540000,5647126666.66667,108240000,0,811186666.666667,0,313650000,1088963333.33333,0,592240000,628816666.666667,8570000,4028500000,205503333.333333,1951523333.33333,4920000,536113333.333333,120540000,0,0,14760000,35670000,3160853333.33333,115620000,0,168510000,0,1345020000,6951643333.33333,607496666.666667,14533810000,15275916666.6667,0,0,156520000,194340000,1.278e+10,1622940000,8570000,18281630000,1223333.33333333,44280000,0,1230000,317893333.333333,6582313333.33333,0,7887550000,389620000,11717803333.3333,26660000,65207083333.3333,0,0,0,0,0,3482816666.66667,0,265420000,4069710000,9706666.66666667,0,193890000,9840000,309960000,0,19680000,1438640000,1863860000,686493333.333333,1129720000,742270000,259530000,0,311023333.333333,485463333.333333,0,49686666.6666667,371396666.666667,287806666.666667,6672240000,129026633333.333,12854086666.6667,0,0,11327423333.3333,249690000,0,0,6150000,0,29520000,0,5620776666.66667,6150000,44280000,182033333.333333,17282326666.6667,3570696666.66667,384983333.333333,4699700000,0,127883333.333333,0,67941486666.6667,0,0,12300000,367770000,0,0,6143333.33333333,30750000,2666933333.33333,1687403333.33333,225710000,1321190000,8210000,6150000,416346666.666667,0,0,215250000,660510000,171726666.666667,0,16406643333.3333,12456826666.6667,1324123333.33333,0,0,16334936666.6667,4893333.33333333,9840000,0,19580000,19680000,35879986666.6667,6387440000,252913333.333333,52644760000
"Argentina",0,8610000,0,0,112804163333.333,0,0,0,3690000,0,1230000,23402266666.6667,1320413333.33333,14760000,1.837e+10,1234378273333.33,767520000,0,2460000,0,0,0,0,1015020410000,15790647363333.3,3690000,0,0,0,0,9064466666.66667,3655073333.33333,1578651363333.33,0,72489133333.3333,45284833333.3333,10866133333.3333,17791066666.6667,0,303753573333.333,0,0,605653333.333333,311190000,0,0,1213333.33333333,0,0,0,428923333.333333,2183914666666.67,459990256666.667,3.507e+11,0,23449296666.6667,89790000,0,0,0,3137570000,0,1.7702e+10,549986666.666667,0,8844320000,0,25488653333.3333,0,0,0,0,0,7380000,0,83720000,234930000,0,55813333.3333333,0,1788398546666.67,0,0,0,0,0,462480000,147527693333.333,1230000,116850000,0,0,602274366666.667,0,0,0,0,596883990000,1230000,0,4920000,3690000,0,1230000,0,0,0,0,0,0,376127420000,0,30641160000,0,36779360000,0,73785053333.3333,2.9225e+10,0,0,23370000,61990400000,59622340000,1.336e+10,49320666666.6667,2.6553e+10,0,0,0,224670666666.667,13530000,44946380000,0,0,74504266666.6667,201071340000,0,159806666.666667,288564360000,334950710000,0,0,0,0,34504743333.3333,0,0,0,7380000,0,55606546666.6667,67022666666.6667,190599326666.667,131120606666.667,0,0,188783333.333333,71340000,0,23370000,0,0,1230000,0,0,0,0,0,0,0,0,1595141693333.33,0,0,0,0,6150000,99587666666.6667,0,0,980846666.666667,155215366666.667,281489633333.333,0,58271393333.3333,171221480000,0,0,2007233333.33333,1584232870000,0,0,290827233333.333,0,0
"Australia",0,0,0,0,9440000,0,0,0,0,0,0,0,2453333.33333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1113333.33333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7313333.33333333,0,0,0,2042443333.33333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57810000,374086666.666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,299300000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1230000,0,0,0,0,0,0,0,0,0,0,0,124083333.333333,0,0,0,0,0,0,0,0,0
"Austria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6150000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3690000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1230000,0,0,0,0,0,0,0,0,0
"Bahamas",0,0,0,0,733182333333.333,7810000,0,0,0,4853333.33333333,0,2449333333.33333,136940000,0,0,961333390000,0,218345103333.333,0,0,0,0,0,0,60270000,0,115436666.666667,0,0,0,1162363333.33333,35300000,114303333.333333,5057676966666.67,0,0,0,0,14760000,4120000,0,0,1230000,0,0,0,183480000,0,0,0,0,38720853333.3333,0,903841853333.333,0,0,0,2224440000,0,627345306666.667,92250000,0,0,8849160000,0,0,0,0,0,0,0,0,0,0,0,12791166666.6667,0,0,0,0,14121342496666.7,3538360296666.67,2460000,191468840000,386360066666.667,39360000,667890000,579142276666.667,0,0,3232746663333.33,0,177089526666.667,3690000,84647186666.6667,1145940000,0,3624168086666.67,1435826523333.33,0,48029783333.3333,0,0,0,330322896666.667,0,0,0,0,0,73771693333.3333,0,0,0,0,0,0,0,1218995826666.67,0,0,102200660000,0,195741053333.333,141607093333.333,3065915376666.67,0,103618350000,0,1546431133333.33,0,107680000,14910000,0,1747053270000,430818393333.333,4920000,1660000,0,3916910243333.33,739817273333.333,0,0,19680000,1230000,0,11882536666.6667,90230430000,0,0,7125333333.33333,40815370000,231473133333.333,0,409942443333.333,56889203333.3333,0,0,0,0,0,0,0,0,0,0,0,126690000,0,0,0,1641788726666.67,0,0,19680000,0,0,0,646783333.333333,2460000,840856766666.667,254600406666.667,47740846666.6667,0,25520000,8024976666.66667,0,0,0,5376762806666.67,14228573333.3333,3120910473333.33,217470820000,0,0
"Bahrain",0,39136666.6666667,0,0,841320000,0,12266666.6666667,0,166050000,0,399210000,0,14718480000,0,0,0,30607570000,1230000,0,1449193333.33333,378820000,0,0,0,4920000,0,0,0,0,0,205603333.333333,260764690000,17200000,226346666.666667,0,11056666.6666667,0,0,0,0,0,0,21840000,0,160760000,69208923333.3333,797464300000,0,0,263163333.333333,0,6150000,0,0,0,2162526666.66667,48760000,31980000,213880000,0,60755853333.3333,0,0,27038093333.3333,124513333.333333,41253333.3333333,0,0,0,0,54393220000,0,0,0,0,180610000,0,58800943333.3333,0,52802906666.6667,14760000,4920000,349270000,328756666.666667,1230000,2460000,18940000,1789495863333.33,0,0,156056666.666667,40546666.6666667,0,19626666.6666667,0,0,0,41640000,157440000,0,73800000,0,62703333.3333333,0,0,0,1442533333.33333,61786666.6666667,89240000,0,0,72546666.6666667,0,786273333.333333,0,9773613333.33333,0,155663333.333333,0,391030000,2460000,0,0,4520000,0,144386666.666667,0,0,0,1223333.33333333,0,69605250000,2996610000,0,0,12300000,0,0,98400000,1223333.33333333,0,51614040000,0,208493333.333333,0,4920000,0,0,51345093333.3333,657350000,0,87760000,0,0,15990000,0,0,0,0,19724033333.3333,0,0,0,25188540000,121247496666.667,1076730000,0,0,0,0,0,1230000,0,0,0,0,0,0,565663333.333333,0,17213333.3333333,0,0,487036666.666667,39360000,232850000,4920000,0,0,39360000,0,0,696626666.666667,0,0
