"","AFG","ALB","ANT","ARB","ARE","ARG","ARM","ATG","AUS","AUT","AZE","BDI","BEL","BEN","BFA","BGD","BGR","BHR","BHS","BIH","BLR","BLZ","BMU","BOL","BRA","BRB","BRN","BTN","BWA","CAF","CAN","CHE","CHL","CHN","CIV","CMR","COD","COG","COK","COL","COM","CPV","CRI","CUB","CYP","CZE","DEU","DJI","DMA","DNK","DOM","DZA","ECU","EGY","ERI","ESP","EST","ETH","FIN","FJI","FRA","FRO","GAB","GBR","GEO","GHA","GIN","GMB","GNB","GNQ","GRC","GRD","GRL","GTM","GUY","HKG","HND","HRV","HTI","HUN","IDN","IND","IRL","IRN","IRQ","ISL","ISR","ITA","JAM","JOR","JPN","KAZ","KEN","KGZ","KHM","KIR","KNA","KOR","KWT","LAO","LBN","LBR","LBY","LCA","LKA","LSO","LTU","LUX","LVA","MAC","MAR","MDA","MDG","MDV","MEX","MKD","MLI","MLT","MMR","MNE","MNG","MOZ","MRT","MUS","MWI","MYS","NAM","NCL","NER","NGA","NIC","NLD","NOR","NPL","NZL","OMN","PAK","PAN","PER","PHL","PNG","POL","PRK","PRT","PRY","PSE","PYF","QAT","ROU","RUS","RWA","SAU","SDN","SEN","SGP","SLB","SLE","SLV","SOM","SRB","SSD","STP","SUR","SVK","SVN","SWE","SWZ","SYC","SYR","TCD","TGO","THA","TJK","TKM","TLS","TON","TTO","TUN","TUR","TUV","TWN","TZA","UGA","UKR","URY","USA","UZB","VCT","VEN","VNM","VUT","YEM","ZAF","ZMB","ZWE"
"Armenia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1230000,0,0,0,0,0,0,0,0,0,0,0,0,6150000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46706666.6666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1230000,0,0,280280000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1230000,0,0,0,2446666.66666667,0,0,0,0,0,0,0,0,0
"Afghanistan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1403430000,1230000,0,500610000,0,0,0,0,0,0,0,0,0,0,3690000,0,0,830000,3690000,7380000,0,0,0,0,0,0,0,0,6150000,12300000,0,0,0,0,0,72570000,0,0,0,0,0,0,0,0,0,0,0,619920000,11070000,0,0,0,0,0,1934420000,0,0,0,0,0,0,81180000,0,3690000,0,0,0,0,0,0,13530000,502790000,0,0,0,0,0,0,0,0,0,0,0,0,86100000,0,0,0,0,0,0,0,0,0,0,3690000,0,0,2460000,1916946666.66667,0,4920000,0,195210000,0,0,0,1230000,0,0,0,0,12233333.3333333,0,0,0,0,0,0,0,0,0,0,0,0,420086666.666667,0,0,0,0,0,0,4765020000,0,0,0,0,0,0,0,0,0,0,459603333.333333,0,0,0,30750000,0,0,0,7340000,0,0,0,0,0,0,0,0,0,0,43050000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Albania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Algeria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1230000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189373333.333333,0,0,0,0,0,0
"Antigua and Barbuda",1234873333.33333,0,0,0,0,0,2460000,11070000,2047380000,0,30656666.6666667,2374176666.66667,29120000,646556666.666667,303290000,1709830000,0,7084550000,34440000,0,0,0,0,7380000,2460000,11070000,88766666.6666667,0,0,27060000,5925180000,11053333.3333333,0,1034866666.66667,122593333.333333,417246666.666667,412576666.666667,1015876666.66667,0,0,3331830000,27060000,28290000,0,50030000,0,107840000,3529570000,70110000,29503333.3333333,0,871983333.333333,0,17979540000,0,90603333.3333333,0,1126253333.33333,0,282900000,1539890000,0,592240000,302476666.666667,7340000,3735453333.33333,1002273333.33333,1946440000,0,0,0,0,0,59040000,4920000,7054550000,0,0,0,0,1318550000,1410663333.33333,511260000,209918783333.333,0,0,0,25860000,153750000,29526640000,5849130000,2460000,18281630000,0,23370000,0,1230000,249253333.333333,11073770000,0,4034326666.66667,0,11717803333.3333,25396666.6666667,20371763333.3333,0,0,0,0,35483333.3333333,2642166666.66667,0,902416666.666667,9074640000,9706666.66666667,39360000,384646666.666667,3690000,0,0,17220000,0,1524386666.66667,476420000,43662130000,757943333.333333,162360000,0,451086666.666667,485463333.333333,0,39360000,333733333.333333,408406666.666667,6635703333.33333,204677620000,3394266666.66667,0,0,34537793333.3333,249690000,0,0,6150000,0,0,0,50865480000,0,3053213333.33333,182033333.333333,82212363333.3333,0,97056666.6666667,3756213333.33333,0,127883333.333333,0,0,0,0,67650000,367770000,0,0,8596666.66666667,30750000,2852873333.33333,1687403333.33333,0,57793333.3333333,6180000,0,0,0,0,214020000,339480000,0,0,17034543333.3333,22259850000,2867786666.66667,0,0,12716733333.3333,0,9840000,0,0,19680000,35879986666.6667,4.401e+09,311543333.333333,93142640000
"Argentina",0,0,0,0,113606123333.333,0,26693333.3333333,0,2460000,0,1230000,11307013333.3333,0,15903333.3333333,7525020000,1234378273333.33,779820000,12300000,0,0,0,0,0,1145405330000,15508620906666.7,2460000,0,0,2225553333.33333,0,11832146666.6667,20329816666.6667,1355409026666.67,1230000,58461133333.3333,42056166666.6667,10866133333.3333,22801066666.6667,0,315674416666.667,0,1230000,1335643333.33333,311190000,0,0,1230000,0,0,0,0,1733938733333.33,426096153333.333,317185326666.667,0,23260700000,79950000,0,0,0,2791940000,0,1.7702e+10,549986666.666667,0,8844320000,0,4853333333.33333,0,0,0,0,0,2446666.66666667,0,105860000,274290000,0,0,0,1604881133333.33,0,0,0,0,0,623610000,100777493333.333,1230000,110700000,0,0,586972713333.333,0,0,0,0,507601740000,70110000,0,4920000,0,0,1230000,0,0,0,0,0,0,375815686666.667,0,30642390000,0,36794100000,0,58230560000,29192713333.3333,0,0,23370000,0,0,1.336e+10,8322166666.66667,99986400000,0,0,0,224670666666.667,9840000,420426666.666667,2460000,0,38237433333.3333,230908673333.333,0,159806666.666667,283538863333.333,332391310000,0,0,0,0,35603446666.6667,0,0,115620000,7380000,0,55606546666.6667,67022666666.6667,0,122123760000,34440000,0,188783333.333333,110700000,0,23370000,0,0,0,0,0,0,3332206666.66667,0,0,0,15266666.6666667,1444452026666.67,0,0,0,0,7380000,145572786666.667,0,0,980846666.666667,104236946666.667,233056293333.333,0,57892886666.6667,177320513333.333,0,0,2007233333.33333,0,0,0,283650613333.333,0,3332206666.66667
"Australia",0,0,0,0,5750000,0,0,0,0,0,0,0,1.8e+07,0,0,0,0,0,0,0,0,0,0,15986666.6666667,0,0,0,0,0,0,0,2460000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28143333.3333333,0,0,0,1275840000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2460000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172886666.666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107346666.666667,0,0,0,0,0,0,0,0,0
"Austria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14952066666.6667,0,0,0,0,0,0,0,0,0,0,0,0,6150000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1077706666.66667,0,0,0,0,0,0,0,0,6150000,0,0,0,0,0,0,0,0,0,0,0,0,9840000,0,0,0,0,0,0,15903333.3333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3690000,0,0,0,0,0,0,0,0,0,0,0,0
"Bahamas",0,0,0,0,436720586666.667,10650000,0,0,0,1230000,0,2449333333.33333,2460000,0,0,958580416666.667,0,282578060000,0,12133333.3333333,0,0,0,0,30750000,0,439286666.666667,0,9895306666.66667,0,1231190000,123953333.333333,137843333.333333,5056888086666.67,0,5343333.33333333,0,0,14760000,3290000,0,0,11043333.3333333,0,0,0,59186666.6666667,0,0,3640000,0,36579136666.6667,0,893498986666.667,0,1230000,0,0,0,390518210000,108006666.666667,0,0,7123633333.33333,0,2460000,0,0,0,0,3640000,0,0,0,0,26228610000,0,0,0,0,14149855683333.3,3554010256666.67,27876666.6666667,169874076666.667,0,1230000,152506666.666667,518639690000,0,14726666.6666667,3099469323333.33,0,129925503333.333,0,62312760000,1235956666.66667,0,3584564796666.67,1382039776666.67,0,47786953333.3333,0,0,0,426224033333.333,0,0,0,0,135770000,75372666666.6667,0,3456666.66666667,909403333.333333,1230000,0,0,0,0,0,0,0,0,183247340000,84223666666.6667,2937914563333.33,0,103604990000,0,1546431133333.33,0,212440000,29976666.6666667,0,1767383513333.33,475814640000,33210000,1660000,0,3681828263333.33,739817273333.333,0,0,8300000,0,0,9914936666.66667,112694816666.667,0,3690000,7125333333.33333,28440136666.6667,0,0,390374796666.667,43891183333.3333,0,0,0,0,0,0,0,0,0,1213333.33333333,2765520000,131610000,0,0,0,1575612883333.33,0,0,0,0,11046666.6666667,0,1230000,2460000,806997806666.667,224399013333.333,53908713333.3333,0,39730000,9174646666.66667,0,0,0,0,14228573333.3333,3120910473333.33,329987893333.333,2460000,21726170000
"Bahrain",0,17180000,0,0,3509986666.66667,0,0,0,196800000,0,399210000,0,14266226666.6667,0,0,0,30016320000,98400000,0,2248273333.33333,58420000,0,0,0,3690000,0,1213333.33333333,0,0,0,1397310000,253087503333.333,58990000,791770000,46740000,0,0,0,0,14760000,0,0,0,0,895306666.666667,68068386666.6667,674533776666.667,0,0,965606666.666667,0,93480000,0,13530000,0,401203510000,90880000,0,548250000,0,68061193333.3333,0,0,35705630000,153913333.333333,52173333.3333333,0,0,0,0,63432850000,0,3690000,0,0,40590000,2460000,70147133333.3333,0,49238440000,23370000,0,61400000,291033333.333333,0,77490000,2315360000,2085974240000,0,2460000,125460000,3690000,1230000,0,0,0,0,56440000,1081653333.33333,0,70600000,0,62703333.3333333,0,0,0,1873976666.66667,1220430000,255163333.333333,1230000,11070000,71490000,4920000,349440000,0,9619943333.33333,0,110626666.666667,0,528220000,7366666.66666667,0,0,38130000,1230000,896376666.666667,0,2460000,0,1223333.33333333,0,42758940000,4324246666.66667,0,2460000,2446666.66666667,0,0,98400000,36900000,0,53805933333.3333,0,355023333.333333,0,0,12300000,184946666.666667,49947336666.6667,1291443333.33333,0,527670000,0,0,250150000,0,0,2460000,0,1331300000,0,0,0,30562650000,196011290000,811803333.333333,0,2460000,0,0,13530000,19280000,0,0,0,0,0,0,30643333.3333333,0,20910000,0,0,425616666.666667,38130000,1938480000,0,0,0,0,0,0,681533333.333333,3690000,0
