"iso3","P0"
"ARM",990357873333.333
"AFG",15039937613333.3
"ALB",918363060000
"DZA",8387108513333.33
"ATG",0
"ARG",48586018080000
"AUS",86657210706666.7
"AUT",5715011653333.33
"BHS",0
"BHR",0
"BRB",0
"BGD",4461860353333.33
"BMU",0
"BTN",11282520000
"BOL",914412953333.333
"BWA",0
"BRA",18576728186666.7
"ARB",0
"BLZ",0
"SLB",0
"BRN",0
"BGR",18711781086666.7
"MMR",451109306666.667
"BDI",25268213333.3333
"CMR",2.839e+09
"CAN",100383182300000
"CPV",0
"CAF",0
"LKA",0
"TCD",5095726666.66667
"CHL",5080960526666.67
"CHN",445501780666667
"COL",32197600000
"COM",0
"COG",0
"COK",0
"CRI",0
"CUB",0
"CYP",65519666666.6667
"AZE",5799646140000
"BEN",0
"DNK",1.5658922e+13
"DMA",0
"DOM",0
"BLR",8746869933333.33
"ECU",16256893333.3333
"EGY",30473430766666.7
"SLV",0
"GNQ",0
"EST",2205965346666.67
"FRO",0
"FJI",0
"FIN",2914706666666.67
"FRA",123295269453333
"PYF",0
"DJI",0
"GEO",3.89778e+11
"GAB",0
"GMB",0
"DEU",84050988666666.7
"BIH",904013306666.667
"GHA",0
"KIR",0
"GRC",4872229453333.33
"GRL",0
"GRD",0
"GTM",2199946666.66667
"GIN",0
"GUY",0
"HTI",0
"HND",4078140000
"HKG",0
"HUN",18014699706666.7
"HRV",2689015073333.33
"ISL",0
"IND",308760978266667
"IDN",0
"IRN",43218561260000
"IRQ",9654978080000
"IRL",2255589953333.33
"ISR",460029333333.333
"ITA",24937366293333.3
"CIV",0
"KAZ",48469201580000
"JAM",0
"JPN",3.00767e+12
"JOR",72572633333.3333
"KGZ",2190051360000
"KEN",688596666666.667
"KHM",0
"PRK",159763333333.333
"KOR",114186806666.667
"KWT",87953333.3333333
"LVA",7.182336e+12
"LAO",0
"LBN",438468520000
"LSO",22945800000
"LBR",0
"LBY",512133333333.333
"LTU",13518308206666.7
"MAC",0
"MDG",1.67e+10
"MWI",3028266666.66667
"MYS",0
"MDV",0
"MLI",115684240000
"MLT",36750020000
"MRT",25765873333.3333
"MUS",0
"MEX",12332550313333.3
"MNG",1007483166666.67
"MAR",19924880220000
"MOZ",60641040000
"MDA",3858708680000
"NAM",29017920000
"NPL",6225387033333.33
"NLD",3752729366666.67
"ANT",0
"NCL",25606666.6666667
"MKD",787976140000
"VUT",0
"NZL",1422911253333.33
"NIC",0
"NER",24857393333.3333
"NGA",208193333333.333
"NOR",1.341678e+12
"PAK",86164100900000
"PAN",0
"CZE",17197815866666.7
"PNG",0
"PRY",3677503660000
"PER",665835680000
"PHL",0
"POL",37242548646666.7
"PRT",256088933333.333
"GNB",0
"TLS",0
"ERI",8.35e+10
"QAT",24493333.3333333
"ZWE",140307833333.333
"ROU",29423737793333.3
"RWA",32112986666.6667
"RUS",246195875600000
"KNA",0
"LCA",0
"VCT",0
"STP",0
"SAU",2152465226666.67
"SEN",0
"SYC",0
"SLE",0
"SVN",513451520000
"SVK",6999533346666.67
"SGP",0
"SOM",3441313333.33333
"ZAF",5438633333333.33
"ESP",21277788413333.3
"SUR",0
"TJK",3020580213333.33
"SWZ",2433746666.66667
"SWE",1.050263e+13
"CHE",1608242286666.67
"SYR",7168241200000
"TKM",4460013333333.33
"TWN",18205226666.6667
"TZA",221497666666.667
"THA",4289673333.33333
"TGO",0
"TON",0
"TTO",0
"OMN",11673300000
"TUN",3277054360000
"TUR",72032666666666.7
"ARE",0
"UGA",73789506666.6667
"TUV",0
"GBR",50839253333333.3
"UKR",87775099800000
"USA",184869954126667
"BFA",0
"URY",3.36672e+12
"UZB",22242957120000
"VEN",1005340000
"VNM",0
"ETH",15399350560000
"YEM",352378906666.667
"COD",33956666666.6667
"ZMB",631789946666.667
"BEL",5702651426666.67
"LUX",265984240000
"SRB",8448377473333.33
"MNE",7713173333.33333
"SDN",1956794666666.67
"SSD",0
"PSE",109047660000
