"iso3","P0"
"ARM",408435240000
"AFG",1.682525e+13
"ALB",779302160000
"DZA",11662662100000
"AGO",9874710000
"ATG",0
"ARG",65525237230000
"AUS",53569889260000
"AUT",5426865400000
"BHS",0
"BHR",0
"BRB",0
"BGD",3416504370000
"BMU",0
"BTN",4913140000
"BOL",915889790000
"BWA",2346350000
"BRA",19937799340000
"ARB",0
"BLZ",0
"SLB",0
"BRN",0
"BGR",18649841900000
"MMR",370536260000
"BDI",22551680000
"CMR",1564790000
"CAN",1.13314176e+14
"CPV",0
"CAF",0
"LKA",0
"TCD",5724760000
"CHL",4393614690000
"CHN",4.47303321e+14
"COL",20004930000
"COM",0
"COG",0
"COK",0
"CRI",0
"CUB",0
"CYP",103105800000
"AZE",6567782680000
"BEN",0
"DNK",1.4549875e+13
"DMA",0
"DOM",0
"BLR",8612275170000
"ECU",32932400000
"EGY",29323207690000
"SLV",0
"GNQ",0
"EST",2.817457e+12
"FRO",0
"FJI",0
"FIN",2.673336e+12
"FRA",118150946900000
"PYF",0
"DJI",0
"GEO",3.3901e+11
"GAB",0
"GMB",0
"DEU",7.5541949e+13
"BIH",979576910000
"GHA",0
"KIR",0
"GRC",3464197900000
"GRL",0
"GRD",0
"GTM",1942210000
"GIN",0
"GUY",0
"HTI",0
"HND",4146610000
"HKG",0
"HUN",17533647300000
"HRV",2.790236e+12
"ISL",0
"IND",352681004100000
"IDN",0
"IRN",5.10185e+13
"IRQ",17671714550000
"IRL",1603667600000
"ISR",336406470000
"ITA",22470935500000
"CIV",0
"KAZ",42935030330000
"JAM",0
"JPN",3.317121e+12
"JOR",80338690000
"KGZ",2054547560000
"KEN",1.287403e+12
"KHM",0
"PRK",2.94755e+11
"KOR",53455030000
"KWT",208750000
"LVA",8.401102e+12
"LAO",0
"LBN",4.676e+11
"LSO",15751440000
"LBR",0
"LBY",4.509e+11
"LTU",1.4466542e+13
"MAC",0
"MDG",1.002e+10
"MWI",2109210000
"MYS",0
"MDV",0
"MLI",75734500000
"MLT",0
"MRT",29316850000
"MUS",0
"MEX",10405354170000
"MNG",1365298480000
"MAR",11000625670000
"MOZ",5.511e+10
"MDA",2867752390000
"NAM",3.0227e+10
"NPL",6998893180000
"NLD",3444141200000
"ANT",0
"NCL",272210000
"MKD",811531490000
"VUT",0
"NZL",1422574470000
"NIC",0
"NER",15357320000
"NGA",1.9205e+11
"NOR",1.27254e+12
"PAK",82826144980000
"PAN",0
"CZE",16223331900000
"PNG",0
"PRY",4443652900000
"PER",628454400000
"PHL",0
"POL",3.8811969e+13
"PRT",268151900000
"GNB",0
"TLS",0
"ERI",8.35e+10
"QAT",5010000
"ZWE",3.841e+11
"ROU",28476238800000
"RWA",47589990000
"RUS",267782860060000
"KNA",0
"LCA",0
"VCT",0
"STP",0
"SAU",1852237080000
"SEN",0
"SYC",0
"SLE",0
"SVN",497559800000
"SVK",6801008200000
"SGP",0
"SOM",3478610000
"ZAF",6.085647e+12
"ESP",23688415600000
"SUR",0
"TJK",2810416280000
"SWZ",2374740000
"SWE",1.1174137e+13
"CHE",1708981140000
"SYR",9909060230000
"TKM",4.7094e+12
"TWN",15933470000
"TZA",234447960000
"THA",4699380000
"TGO",0
"TON",0
"TTO",0
"OMN",10821600000
"TUN",4.16999e+12
"TUR",6.5965e+13
"ARE",0
"UGA",8.183e+10
"TUV",0
"GBR",4.322461e+13
"UKR",88981992100000
"USA",170793521900000
"BFA",0
"URY",2.511513e+12
"UZB",20459681020000
"VEN",2530050000
"VNM",0
"ETH",18025944930000
"YEM",335990640000
"COD",31724990000
"ZMB",573594900000
"BEL",6085246200000
"LUX",258282200000
"SRB",9031603820000
"MNE",7530030000
"SDN",2466291070000
"SSD",0
"PSE",114794130000
