"","year_1","year_2","year_3","year_4","year_5","year_6","year_7","year_8","year_9","year_10","year_11","year_12","year_13","year_14","year_15"
"AFG",8.962,3.425,0.754,2.219,1.378,2.367,3.971,1.286,4.386,7.584,3.941,3.014,7.125,1.102,2.283
"ALB",7.404,-5.1,-7.673,-2.252,-3.473,-3.856,1.46,4.721,-0.976,0.707,0.965,-0.779,-0.927,3.703,0.077
"DZA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ATG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARG",0.208,-0.725,-5.021,-0.995,2.344,-4.711,-1.318,-3.655,-3.282,-4.257,-0.505,2.941,3.694,-1.416,-1.206
"ARM",26.816,-13.632,-10.465,2.939,-21.16,-4.834,-7.739,1.189,-22.275,-3.273,-15.923,3.637,1.242,-13.603,-6.371
"ARB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUS",-0.17,6.063,-2.273,-9.217,-0.252,-5.4,-2.843,-9.035,2.913,7.5,5.395,1.07,11.223,-0.128,3.273
"AUT",-14.482,-38.644,-32.113,-25.645,-21.189,-17.38,-24.182,-11.936,-9.196,-4.53,-12.532,-7.166,-8.418,-4.278,-7.608
"AZE",2.478,-10.357,-4.77,-1.935,-11.148,-4.68,-5.174,1.231,-9.239,-0.715,-6.084,2.623,-1.603,-8.586,-2.237
"BHS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BHR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BGD",7.133,-1.137,3.372,-0.455,-2.787,0.673,0.051,-3.488,3.067,-0.42,2.85,-3.588,1.746,5.407,-4.186
"BRB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BLR",-27.068,-61.363,-53.143,-53.875,-34.138,-34.753,-34.928,-28.966,-16.452,-12.491,-15.083,-10.554,-11.142,-6.667,-3.819
"BEL",-16.154,-46.546,-40.56,-36.419,-25.801,-33.735,-34.593,-18.251,-17.535,-18.49,-17.828,-14.037,-4.407,-18.357,-5.73
"BLZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BEN",6.672,7.754,4.784,1.827,2.456,2.98,4.73,1.926,0.688,4.11,1.409,4.103,0.226,1.255,2.145
"BMU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BTN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BOL",-2.696,-3.227,-3.705,-4.862,-3.765,-2.717,-4.33,-2.805,-3.969,-4.863,-2.679,-2.129,-4.289,-4.77,-3.327
"BIH",10.624,-22.815,-19.758,-9.331,-1.3,-17.407,0.154,0.075,-1.819,-1.264,0.937,-2.229,-7.783,13.283,-7.125
"BWA",-21.358,-12.852,-9.675,12.618,6.439,24.936,2.434,6.699,-0.529,16.872,-5.819,-2.387,3.241,12.985,-16.739
"BRA",-5.434,-3.87,-2.087,-1.44,-3.915,-3.74,-4.246,-3.238,-4.356,-2.413,-1.456,-2.496,-1.916,-3.492,-1.298
"BRN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BGR",25.958,-8.62,-12.596,-13.432,7.422,-2.524,2.539,-2.296,-1.498,1.587,2.759,1.704,-1.563,5.53,11.26
"BFA",-7.167,0.646,-2.545,0.701,2.167,0.599,2.608,2.433,2.171,-0.224,-0.358,-0.066,0.945,0.685,0.026
"BDI",-9.605,-3.145,-7.246,-3.176,-0.399,0.006,-3.762,-4.814,-6.094,1.045,-3.016,-0.202,2.226,-2.195,-0.117
"KHM",0.548,0.671,-1.807,-6.581,1.137,2.235,1.35,0.87,2.136,4.107,-6.621,0.071,0.71,6.014,0.168
"CMR",-0.412,5.704,4.663,4.331,5.234,4.469,4.039,5.597,2.552,3.524,2.52,0.556,1.449,3.49,0.529
"CAN",-34.631,-40.069,-40.484,-41.077,-29.698,-29.28,-24.79,-18.917,-9.721,-14.376,-13.299,-6.971,-8.189,-13.989,-14.981
"CPV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHL",-3.305,-2.502,-5.586,-2.875,-2.409,-1.761,-1.141,-4.423,-0.039,-0.631,-0.651,1.748,1.677,1.436,-0.676
"CHN",-5.099,-6.51,-6.988,-8.067,-7.026,-6.909,-5.215,-5.633,-2.909,-1.78,-6.63,-2.422,-6.788,-5.451,-2.425
"COL",-3.446,-3.461,-1.878,-2.302,-0.096,-0.925,-0.753,2.968,-6.161,2.706,1.378,-5.154,-2.104,4.387,2.991
"COG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CRI",-4.7,-7.143,-5.166,-6.374,-5.409,-3.57,-5.346,-7.957,-6.525,-4.202,-4.03,-7.111,-2.728,-3.769,-2.888
"CIV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HRV",12.558,-8.66,-10.072,-2.96,13.374,-6.572,9.74,5.76,2.994,0.443,5.881,4.732,-3.071,15.618,-3.133
