"iso3","Country","Year","Production","Imports","Exports","Reserves","Impaired Supply","Ratio of Impaired Supply to Reserves","Ratio of Impaired to Baseline Supply","Gdeg_total","Gdeg_out","Gdeg_in","Gstrength_total","Gbtw","Geigencentral","hs"
"AFG","Afghanistan",2020,15039937613333.3,7975242633333.33,313436666.666667,1417273333333.33,0,0,0,30,7,23,7975556070000,0.0360824742268041,0.00819885736439927,2.88270998336335e-06
"ALB","Albania",2020,918363060000,975441240000,11839326666.6667,2.8724e+11,0,0,0,43,13,30,987280566666.667,0,0.00953905431654048,5.42834706709937e-06
"ANT","Netherlands Antilles",2020,0,0,0,0,0,0,0,0,0,0,0,0,0,5.28871253330478e-19
"ARB","Aruba",2020,0,0,0,0,0,0,0,0,0,0,0,0,0,5.28871253330478e-19
"ARE","United Arab Emirates",2020,0,6454645240000,683129050000,2253386666666.67,0,0,0,223,137,86,7137774290000,0.171172302049392,0.0881431325155257,0.00202747279669676
"ARG","Argentina",2020,48586018080000,29417386666.6667,33094008473333.3,5114653333333.33,0,0,0,121,91,30,33123425860000,0.0892758577711305,0.186998770817425,0.20751704761591
"ARM","Armenia",2020,990357873333.333,796321336666.667,2919273333.33333,208193333333.333,0,0,0,37,10,27,799240610000,0.0713904171785695,0.0128984325184546,5.23333249966079e-06
"ATG","Antigua and Barbuda",2020,0,18845663333.3333,11070000,0,0,0,0,22,3,19,18856733333.3333,0.0224346990011217,6.88372672071989e-05,7.91125361951125e-09
"AUS","Australia",2020,86657210706666.7,682046170000,59398393640000,1.298926e+13,0,0,0,165,80,85,60080439810000,0.176183608425476,0.451242429946612,0.552314447440778
"AUT","Austria",2020,5715011653333.33,4414976163333.33,3583225763333.33,590664483068.419,0,0,0,141,86,55,7998201926666.67,0.0913501771629008,0.0361345663812583,0.0146113456062335
"AZE","Azerbaijan",2020,5799646140000,4389613470000,918030000,8.8844e+11,0,0,0,47,7,40,4390531500000,0.0021900539501095,0.0692657349610038,1.34340788489721e-06
"BDI","Burundi",2020,25268213333.3333,140950850000,39630906666.6667,0,0,0,0,23,5,18,180581756666.667,0.00528817905026441,0.00178868976025176,2.4932210102771e-05
"BEL","Belgium",2020,5702651426666.67,14893941506666.7,6814328416666.67,583037135212.084,0,0,0,236,163,73,21708269923333.3,0.0617310328864199,0.192211610464857,0.0185880564809272
"BEN","Benin",2020,0,800203800000,7720036666.66667,0,0,0,0,53,9,44,807923836666.667,0.00101490305005075,0.00576593564552481,1.37549207455143e-05
"BFA","Burkina Faso",2020,0,882625536666.667,740400000,0,0,0,0,40,5,35,883365936666.667,0.00192297420009615,0.00745189288645505,8.23487912215227e-07
"BGD","Bangladesh",2020,4461860353333.33,18451534873333.3,63351073333.3333,5843886666666.67,0,0,0,105,73,32,18514885946666.7,0.0205206274593594,0.285944364341654,0.0001644771129399
"BGR","Bulgaria",2020,18711781086666.7,289791323333.333,13555166503333.3,1895823822807.99,0,0,0,162,113,49,13844957826666.7,0.0448159820522408,0.0593330802225171,0.058256323205906
"BHR","Bahrain",2020,0,333624313333.333,15776476666.6667,1.2358e+11,0,0,0,82,21,61,349400790000,0.0895919021419796,0.00312974583542725,2.55411453793051e-05
"BHS","Bahamas",2020,0,46648290000,46513333.3333333,0,0,0,0,26,3,23,46694803333.3333,0.00878692377543935,0.00111890462380211,7.00099282750923e-08
"BIH","Bosnia and Herzegovina",2020,904013306666.667,1682141873333.33,456828153333.333,566686666666.667,0,0,0,66,40,26,2138970026666.67,0.00894717162544736,0.00386270982294335,0.00442080043984147
"BLR","Belarus",2020,8746869933333.33,383986526666.667,306717590000,2138713333333.33,0,0,0,66,33,33,690704116666.667,0.0435874152021794,0.0106653452170756,4.38625685647648e-05
"BLZ","Belize",2020,0,72337506666.6667,14726666.6666667,0,0,0,0,21,2,19,72352233333.3333,0.00186955825009348,0.00183112324702687,4.3567657775021e-09
"BMU","Bermuda",2020,0,0,0,0,0,0,0,0,0,0,0,0,0,5.28871253330478e-19
"BOL","Bolivia (Plurinational State of)",2020,914412953333.333,1122173183333.33,8948046666.66667,6.8136e+11,0,0,0,34,15,19,1131121230000,0,0.00674503074058162,2.04312000802141e-05
"BRA","Brazil",2020,18576728186666.7,21200626120000,3616886606666.67,3.48362e+12,0,0,0,156,105,51,24817512726666.7,0.0336965617933515,0.178769980045434,0.0265217450519502
"BRB","Barbados",2020,0,93444296666.6667,23146300000,0,0,0,0,46,19,27,116590596666.667,0.0182237416092445,0.00198005212481005,1.664242300474e-05
"BRN","Brunei Darussalam",2020,0,53305456666.6667,675493333.333333,0,0,0,0,31,3,28,53980950000,0.0185353346509268,0.000186608152880605,2.00984784591544e-06
"BTN","Bhutan",2020,11282520000,9713490000,0,0,0,0,0,8,0,8,9713490000,0,3.50251990725604e-05,4.23097002664383e-18
"BWA","Botswana",2020,0,180954843333.333,1773020000,0,0,0,0,19,4,15,182727863333.333,0.0283594181222513,0.000496023677789809,2.84007493929732e-06
"CAF","Central African Republic",2020,0,40940463333.3333,0,0,0,0,0,21,0,21,40940463333.3333,0,0.000426750857173415,5.64129336885843e-18
"CAN","Canada",2020,100383182300000,2803127870000,75276301143333.3,20342826666666.7,0,0,0,214,122,92,78079429013333.3,0.0909940708295497,0.829943440544738,0.553781698570424
"CHE","Switzerland",2020,1608242286666.67,2447257783333.33,190496403333.333,498773333333.333,0,0,0,146,78,68,2637754186666.67,0.0738261844986913,0.0206820059173153,0.000272012336435418
"CHL","Chile",2020,5080960526666.67,3856710343333.33,35686396666.6667,1732346666666.67,0,0,0,76,28,48,3892396740000,0.000213663800010683,0.0638787275746051,6.96913507991805e-05
"CHN","China (mainland)",2020,445501780666667,13124934323333.3,1020084623333.33,464940246666667,0,0,0,230,148,82,14145018946666.7,0.0773685522497018,0.238131757958241,0.0024978164513752
"CIV","Cote dIvoire",2020,0,2191580373333.33,362329250000,0,0,0,0,62,16,46,2553909623333.33,0.00970389758381853,0.026821003086498,0.000148267365651871
"CMR","Cameroon",2020,2727666666.66667,2246312890000,17112220000,1.67e+10,0,0,0,54,15,39,2263425110000,0.0114043053255702,0.0332643668860806,1.13742541902614e-05
"COD","Democratic Republic of the Congo",2020,33956666666.6667,1343695006666.67,2934566666.66667,27833333333.3333,0,0,0,46,4,42,1346629573333.33,0.00117515090005876,0.0126676497734544,1.1923786108043e-06
"COG","Congo",2020,0,791486163333.333,0,0,0,0,0,41,0,41,791486163333.333,0,0.00884405839022511,1.69238801065753e-17
"COK","Cook Islands",2020,0,4510236666.66667,0,0,0,0,0,9,0,9,4510236666.66667,0,3.40174266973902e-06,2.82064668442922e-18
"COL","Colombia",2020,32197600000,6546315540000,114807300000,1628806666666.67,0,0,0,96,61,35,6661122840000,0.0753031355162651,0.157161504175746,0.000333618319784786
"COM","Comoros",2020,0,48210846666.6667,0,0,0,0,0,30,0,30,48210846666.6667,0,0.00034377928579469,1.12825867377169e-17
"CPV","Cape Verde",2020,0,94169316666.6667,439940000,0,0,0,0,27,6,21,94609256666.6667,0.0611523600947243,0.00103542815879077,2.3298205826116e-06
"CRI","Costa Rica",2020,0,1041682303333.33,298700036666.667,288353333333.333,0,0,0,71,30,41,1340382340000,0.0868454320460089,0.0249254698874331,0.000274092711255301
"CUB","Cuba",2020,0,2766023003333.33,601830000,0,0,0,0,30,4,26,2766624833333.33,0.0110571016505529,0.0347841745625402,6.65805170961735e-07
"CYP","Cyprus",2020,65519666666.6667,537393820000,43242530000,6799330805.65562,0,0,0,75,26,49,580636350000,5.34159500026708e-05,0.00463124857162637,0.000141497601132521
"CZE","Czech Republic",2020,17197815866666.7,1149335783333.33,9580013330000,1767451162450.19,0,0,0,118,72,46,10729349113333.3,0.0543551804568844,0.0574107743960212,0.0114623642552357
"DEU","Germany",2020,84050988666666.7,19871631403333.3,38835590253333.3,8602883651191.32,0,0,0,247,165,82,58707221656666.7,0.0755301533037765,0.249025329547603,0.134426605662497
"DJI","Djibouti",2020,0,1951567066666.67,5275940000,0,0,0,0,35,3,32,1956843006666.67,0.00136210672506811,0.0169299736078089,3.50867628177701e-05
"DMA","Dominica",2020,0,9742136666.66667,188540000,0,0,0,0,23,4,19,9930676666.66667,0.0186421665509321,2.18904288147395e-05,5.77972341957919e-09
"DNK","Denmark",2020,1.5658922e+13,1527673360000,3729719863333.33,1595853984807.42,0,0,0,191,133,58,5257393223333.33,0.018205936292577,0.0257895472617898,0.0118990592264734
"DOM","Dominican Republic",2020,0,1852562913333.33,0,279446666666.667,0,0,0,41,0,41,1852562913333.33,0,0.047167629555633,1.69238801065753e-17
