"","X11.1","X12.1","X19.1","X20.1","X41.1","X42.1","X49.1","X50.1","X61.1","X62.1","X63.1","X64.1","X65.1","X69.1","X81.1","X89.1","X91.1","X92.1","X99.1","X101.1","X109.1","X111.1","X121.1","X122.1","X123.1","X124.1","X129.1","X131.1","X132.1","X139.1","X151.1","X159.1","X160.1","X171.1","X172.1","X179.1","X181.1","X182.1","X183.1","X189.1","X190.1","X201.1","X202.1","X209.1","X211.1","X212.1","X219.1","X221.1","X222.1","X223.1","X229.1","X230.1","X241.1","X242.1","X249.1","X251.1","X259.1","X261.1","X262.1","X269.1","X271.1","X279.1","X280.1","X291.1","X292.1","X299.1","X300.1","X311.1","X319.1","X321.1","X329.1","X331.1","X339.1","X341.1","X342.1","X350.1","X361.1","X362.1","X363.1","X364.1","X369.1","X371.1","X372.1","X373.1","X379.1","X380.1","X391.1","X392.1","X393.1","X394.1","X399.1","X401.1","X402.1","X409.1","X411.1","X419.1","X421.1","X422.1","X423.1","X429.1","X441.1","X451.1","X452.1","X459.1","X460.1","X471.1","X472.1","X473.1","X479.1","X481.1","X482.1","X483.1","X484.1","X485.1","X486.1","X487.1","X488.1","X489.1","X491.1","X499.1","X500.1","X511.1","X512.1","X513.1","X519.1","X531.1","X532.1","X539.1","X540.1","X551.1","X559.1","X560.1","X11.2","X12.2","X19.2","X20.2","X41.2","X42.2","X49.2","X50.2","X61.2","X62.2","X63.2","X64.2","X65.2","X69.2","X81.2","X89.2","X91.2","X92.2","X99.2","X101.2","X109.2","X111.2","X121.2","X122.2","X123.2","X124.2","X129.2","X131.2","X132.2","X139.2","X151.2","X159.2","X160.2","X171.2","X172.2","X179.2","X181.2","X182.2","X183.2","X189.2","X190.2","X201.2","X202.2","X209.2","X211.2","X212.2","X219.2","X221.2","X222.2","X223.2","X229.2","X230.2","X241.2","X242.2","X249.2","X251.2","X259.2","X261.2","X262.2","X269.2","X271.2","X279.2","X280.2","X291.2","X292.2","X299.2","X300.2","X311.2","X319.2","X321.2","X329.2","X331.2","X339.2","X341.2","X342.2","X350.2","X361.2","X362.2","X363.2","X364.2","X369.2","X371.2","X372.2","X373.2","X379.2","X380.2","X391.2","X392.2","X393.2","X394.2","X399.2","X401.2","X402.2","X409.2","X411.2","X419.2","X421.2","X422.2","X423.2","X429.2","X441.2","X451.2","X452.2","X459.2","X460.2","X471.2","X472.2","X473.2","X479.2","X481.2","X482.2","X483.2","X484.2","X485.2","X486.2","X487.2","X488.2","X489.2","X491.2","X499.2","X500.2","X511.2","X512.2","X513.2","X519.2","X531.2","X532.2","X539.2","X540.2","X551.2","X559.2","X560.2"
"11",93953400,12894600,137322400,0,0,0,0,75668000,0,0,0,0,0,0,0,0,78832200,0,0,0,0,0,0,0,0,0,0,8258200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16017600,0,0,0,0,0,0,0,0,0,0,0,0,10424200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13462000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93953400,12894600,137322400,0,0,0,0,75668000,0,0,0,0,0,0,0,0,78832200,0,0,0,0,0,0,0,0,0,0,8258200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16017600,0,0,0,0,0,0,0,0,0,0,0,0,10424200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13462000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12",569000,45287400,1980800,0,0,0,0,517200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,336600,1600,847200,4730800,0,0,543200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90200,335400,519200,0,1519200,480200,0,0,0,0,0,0,0,0,0,0,0,1626200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1828200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1820600,0,61400,0,158200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,569000,45287400,1980800,0,0,0,0,517200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,336600,1600,847200,4730800,0,0,543200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90200,335400,519200,0,1519200,480200,0,0,0,0,0,0,0,0,0,0,0,1626200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1828200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1820600,0,61400,0,158200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19",26404000,0,852367600,0,28546400,0,0,131254400,391497800,0,18569200,53815600,42168000,0,22537800,0,0,1878400,0,0,15719800,6200,82101200,36865400,78458800,28729000,52643800,289341800,4778000,60743400,0,0,600,291393800,0,82546600,0,27220800,6655800,17000,45802200,22215800,0,0,21721200,4277600,10185000,0,0,1208000,36079400,25092800,22345000,44802800,14282600,3119400,0,21306600,2081400,0,14813600,0,246248400,3138800,8664000,227779600,0,563200,3581000,0,0,0,0,71352600,5214600,1200,0,0,14916400,0,4674800,50907800,9792200,4013600,77726200,0,149807200,23046800,0,8193600,0,10698000,70800,0,6212000,0,15029600,19130800,15909000,34885200,0,1215800,1621400,86117200,0,568000,10080400,11972600,18682800,0,0,0,558277800,0,121460000,0,97937000,98591600,21834000,0,0,16707600,38197200,0,2081400,0,0,0,6299800,5122600,56068600,0,26404000,0,852367600,0,28546400,0,0,131254400,391497800,0,18569200,53815600,42168000,0,22537800,0,0,1878400,0,0,15719800,6200,82101200,36865400,78458800,28729000,52643800,289341800,4778000,60743400,0,0,600,291393800,0,82546600,0,27220800,6655800,17000,45802200,22215800,0,0,21721200,4277600,10185000,0,0,1208000,36079400,25092800,22345000,44802800,14282600,3119400,0,21306600,2081400,0,14813600,0,246248400,3138800,8664000,227779600,0,563200,3581000,0,0,0,0,71352600,5214600,1200,0,0,14916400,0,4674800,50907800,9792200,4013600,77726200,0,149807200,23046800,0,8193600,0,10698000,70800,0,6212000,0,15029600,19130800,15909000,34885200,0,1215800,1621400,86117200,0,568000,10080400,11972600,18682800,0,0,0,558277800,0,121460000,0,97937000,98591600,21834000,0,0,16707600,38197200,0,2081400,0,0,0,6299800,5122600,56068600,0
"20",0,0,0,126047000,0,0,0,0,1210000,0,0,1030800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1008600,0,0,436200,0,0,0,0,344200,0,0,264600,241800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27775400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,696200,0,0,0,0,0,0,0,0,0,0,0,0,231395000,0,102600,0,30600,0,0,0,0,0,126047000,0,0,0,0,1210000,0,0,1030800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1008600,0,0,436200,0,0,0,0,344200,0,0,264600,241800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27775400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,696200,0,0,0,0,0,0,0,0,0,0,0,0,231395000,0,102600,0,30600,0,0
"41",0,0,0,0,201938400,13703400,26445000,0,114594600,0,15661200,28648600,35070400,0,374800,0,0,0,0,0,0,0,0,0,4750200,0,1263800,13948600,0,0,0,0,0,42219200,0,0,0,0,0,0,0,0,11752600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13178200,0,0,0,0,0,0,0,0,718600,0,0,0,0,0,0,0,2580200,0,0,0,0,14672200,0,0,0,0,0,0,0,0,0,0,0,0,23959000,0,0,0,0,0,0,0,12972200,14813800,20504600,0,79400,0,6350600,0,0,0,0,0,0,0,0,0,0,0,22041800,0,0,0,0,0,201913248.70511,13701693.2505437,26441706.2926448,0,114580327.317947,0,15659249.4078415,28645031.8357143,35066032.0047484,0,374753.318906534,0,0,0,0,0,0,0,0,0,4749608.36571456,0,1263642.59454129,13946862.711045,0,0,0,0,0,42213941.6264107,0,0,0,0,0,0,0,0,11751136.2214006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13176558.6638583,0,0,0,0,0,0,0,0,718510.498842676,0,0,0,0,0,0,0,2579878.63778719,0,0,0,0,14670372.587141,0,0,0,0,0,0,0,0,0,0,0,0,23956015.9223096,0,0,0,0,0,0,0,12970584.3210228,14811954.9509541,20502046.1655574,0,79390.1107822272,0,6349809.03694726,0,0,0,0,0,0,0,0,0,0,0,22039054.7083085,0
"42",0,0,0,0,6296000,47465400,8360600,480000,2203800,0,204200,2203800,0,0,1691400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,495000,474200,0,0,0,0,8482200,0,812600,0,0,0,0,0,0,0,0,0,0,0,0,0,373400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,643000,0,0,654200,2400,536400,0,0,603000,616000,0,0,0,0,0,0,621400,0,0,0,0,0,0,0,0,0,0,6295749.2818796,47463509.8418247,8360267.06576916,479980.885530847,2203712.2406935,0,204191.868386248,2203712.2406935,0,0,1691332.64538932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,494980.288203686,474181.116497349,0,0,0,0,8481862.22343697,0,812567.640796596,0,0,0,0,0,0,0,0,0,0,0,0,0,373385.130535871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,642974.394575696,0,0,654173.948571416,2399.90442765423,536378.639580721,0,0,602975.987448126,615975.469764586,0,0,0,0,0,0,621375.254726809,0,0,0,0,0,0
"49",0,0,0,0,0,0,4129400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4127570.6689602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50",35412200,5306600,14842200,0,125056400,8150400,12312400,6324429200,244691600,13800,13816800,90521800,320400,0,122936800,0,0,0,0,0,0,0,8208400,51506200,20649400,25077000,21118400,85617000,0,0,0,0,0,68427000,0,0,0,0,51506200,10574200,168205000,49244600,0,361071600,31425200,38756800,9993400,14692000,0,135654400,0,30783000,10332000,800,7361600,0,76388200,12917200,0,0,94146200,12310000,81981800,10784800,81513400,724902800,0,0,328084200,0,1883000,0,0,59028800,0,12702600,28909200,0,54384600,0,105980000,0,0,10543000,677200,139800,9674000,0,0,0,90699800,95382000,42754400,339135800,54198200,0,141905000,0,51714000,40564800,0,0,0,2123000,0,25827400,24390200,0,26056200,0,0,0,105333400,0,184405000,332054200,22766600,14176200,62136000,0,0,0,0,29674400,26933800,64295600,0,0,0,49329400,8448000,0,35412200,5306600,14842200,0,125056400,8150400,12312400,6324429200,244691600,13800,13816800,90521800,320400,0,122936800,0,0,0,0,0,0,0,8208400,51506200,20649400,25077000,21118400,85617000,0,0,0,0,0,68427000,0,0,0,0,51506200,10574200,168205000,49244600,0,361071600,31425200,38756800,9993400,14692000,0,135654400,0,30783000,10332000,800,7361600,0,76388200,12917200,0,0,94146200,12310000,81981800,10784800,81513400,724902800,0,0,328084200,0,1883000,0,0,59028800,0,12702600,28909200,0,54384600,0,105980000,0,0,10543000,677200,139800,9674000,0,0,0,90699800,95382000,42754400,339135800,54198200,0,141905000,0,51714000,40564800,0,0,0,2123000,0,25827400,24390200,0,26056200,0,0,0,105333400,0,184405000,332054200,22766600,14176200,62136000,0,0,0,0,29674400,26933800,64295600,0,0,0,49329400,8448000,0
"61",0,0,3600,1281200,245777800,810800,3400,8818200,4326074800,93020200,355159600,405534800,42092000,208154600,8172200,3186600,1760400,2468000,0,0,0,0,22577400,14245000,46628800,2285800,699800,42300400,0,0,8341800,6231800,8291800,66591800,3557000,2701200,0,0,0,0,4071600,4658000,0,4491400,858000,0,0,0,0,0,0,0,19284600,11156600,0,13155600,0,2475000,248200,0,2169000,2377600,8996600,0,0,1143000,200,2389000,0,138073200,13245800,0,0,122921200,8340400,12616200,0,0,75825800,0,6161600,12104200,0,0,0,0,0,0,682400,0,1713600,4348200,0,237000,18140800,1349400,6602800,1864400,0,2031400,0,0,0,0,0,2534800,0,0,0,4440600,0,0,59587200,0,53212600,4409000,11773000,14717200,58253600,0,0,22341600,939400,496800,5652000,48978800,0,516200,0,11718600,0,0,0,0,3600,1281200,245777800,810800,3400,8818200,4326074800,93020200,355159600,405534800,42092000,208154600,8172200,3186600,1760400,2468000,0,0,0,0,22577400,14245000,46628800,2285800,699800,42300400,0,0,8341800,6231800,8291800,66591800,3557000,2701200,0,0,0,0,4071600,4658000,0,4491400,858000,0,0,0,0,0,0,0,19284600,11156600,0,13155600,0,2475000,248200,0,2169000,2377600,8996600,0,0,1143000,200,2389000,0,138073200,13245800,0,0,122921200,8340400,12616200,0,0,75825800,0,6161600,12104200,0,0,0,0,0,0,682400,0,1713600,4348200,0,237000,18140800,1349400,6602800,1864400,0,2031400,0,0,0,0,0,2534800,0,0,0,4440600,0,0,59587200,0,53212600,4409000,11773000,14717200,58253600,0,0,22341600,939400,496800,5652000,48978800,0,516200,0,11718600,0,0
"62",0,0,0,0,0,0,0,0,3022800,38410200,0,44368200,626600,8774800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2174000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,907200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3022800,38410200,0,44368200,626600,8774800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2174000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,907200,0,0,0,0,0,0
