"","Gstrength_out_initial"
"AFG",339273333.333333
"ALB",10132250000
"ANT",0
"ARB",190603333.333333
"ARE",890038925000
"ARG",32350246990000
"ARM",2471511666.66667
"ATG",16071506666.6667
"AUS",61453454426666.7
"AUT",3906900751666.67
"AZE",3249813333.33333
"BDI",39635826666.6667
"BEL",6560855545000
"BEN",3197680000
"BFA",578375000
"BGD",48861513333.3333
"BGR",13389775161666.7
"BHR",8840396666.66667
"BHS",59358333.3333333
"BIH",453286175000
"BLR",343383911666.667
"BLZ",13513333.3333333
"BMU",5187270000
"BOL",16123231666.6667
"BRA",3527212836666.67
"BRB",22985543333.3333
"BRN",378216666.666667
"BTN",0
"BWA",1535733333.33333
"CAF",0
"CAN",75046108298333.3
"CHE",1789440105000
"CHL",34143606666.6667
"CHN",1628859680000
"CIV",312080390000
"CMR",17730401666.6667
"COD",2930860000
"COG",0
"COK",0
"COL",120245200000
"COM",0
"CPV",451010000
"CRI",290161351666.667
"CUB",29136666.6666667
"CYP",122657550000
"CZE",10566630595000
"DEU",38622312190000
"DJI",25460000
"DMA",188540000
"DNK",3869071235000
"DOM",23808536666.6667
"DZA",31350561666.6667
"ECU",15765066666.6667
"EGY",702285703333.333
"ERI",3640000
"ESP",3831507516666.67
"EST",1728184160000
"ETH",13751155000
"FIN",966302618333.333
"FJI",104574428333.333
"FRA",63617971693333.3
"FRO",2490000
"GAB",2260886666.66667
"GBR",8469073341666.67
"GEO",22861716666.6667
"GHA",228065151666.667
"GIN",1817460000
"GMB",389395000
"GNB",0
"GNQ",0
"GRC",1493402643333.33
"GRD",9140056666.66667
"GRL",0
"GTM",357869123333.333
"GUY",11643058333.3333
"HKG",195811971666.667
"HND",191633801666.667
"HRV",1269336678333.33
"HTI",1710336666.66667
"HUN",9801742826666.67
"IDN",769418751666.667
"IND",2879930185000
"IRL",543343113333.333
"IRN",993184181666.667
"IRQ",508253333.333333
"ISL",365316666.666667
"ISR",68021996666.6667
"ITA",10150804885000
"JAM",30023598333.3333
"JOR",97131978333.3333
"JPN",678212745000
"KAZ",21569854811666.7
"KEN",25990413333.3333
"KGZ",11779808333.3333
"KHM",3145923333.33333
"KIR",2446666.66666667
"KNA",830000
"KOR",434207963333.333
"KWT",349390415000
"LAO",78850000
"LBN",139230231666.667
"LBR",30350000
"LBY",34889680000
"LCA",315910000
"LKA",264672721666.667
"LSO",111725916666.667
"LTU",9754142883333.34
"LUX",472104340000
"LVA",6489012570000
"MAC",2981381666.66667
"MAR",99992345000
"MDA",2092422216666.67
"MDG",226543333.333333
"MDV",1670760000
"MEX",5771665073333.33
"MKD",119304955000
"MLI",4625083333.33333
"MLT",45698710000
"MMR",1204040000
"MNE",13351536666.6667
"MNG",3862855000
"MOZ",133395316666.667
"MRT",1151296666.66667
"MUS",115262163333.333
"MWI",708250000
"MYS",1004164531666.67
"NAM",15563721666.6667
"NCL",85830000
"NER",18416550000
"NGA",22330710000
"NIC",55849841666.6667
"NLD",4591368563333.33
"NOR",31658758333.3333
"NPL",20398121666.6667
"NZL",111958306666.667
"OMN",1063228440000
"PAK",2197490803333.33
"PAN",52640016666.6667
"PER",329299981666.667
"PHL",271598895000
"PNG",534893333.333333
"POL",14364248390000
"PRK",43343333.3333333
"PRT",589402930000
"PRY",2406213198333.33
"PSE",239596666.666667
"PYF",1230000
"QAT",36592366666.6667
"ROU",17876629253333.3
"RUS",85669010843333.4
"RWA",203873333.333333
"SAU",416908393333.333
"SDN",26926666.6666667
"SEN",70740491666.6667
"SGP",402123786666.667
"SLB",0
"SLE",23336666.6666667
"SLV",357684213333.333
"SOM",115083333.333333
"SRB",2443399888333.33
"SSD",0
"STP",1230000
"SUR",3263236666.66667
"SVK",4318688731666.67
"SVN",426291270000
"SWE",3760067400000
"SWZ",334923333.333333
"SYC",3423556666.66667
"SYR",41519796666.6667
"TCD",0
"TGO",15696280000
"THA",651678910000
"TJK",27950000
"TKM",63103513333.3333
"TLS",0
"TON",0
"TTO",48849626666.6667
"TUN",334035778333.333
"TUR",14906154261666.7
"TUV",4893333.33333333
"TWN",259694856666.667
"TZA",132471415000
"UGA",148470181666.667
"UKR",53253354528333.3
"URY",1228322520000
"USA",82704786305000
"UZB",42002220000
"VCT",46423220000
"VEN",227193333.333333
"VNM",822554536666.667
"VUT",8590000
"YEM",3627220000
"ZAF",957938121666.667
"ZMB",39368975000
"ZWE",8997330000
