"","Gstrength_in_final"
"AFG",7720727834930.9
"ALB",967360722113.312
"ANT",0
"ARB",21763138634.4909
"ARE",5662013533632.01
"ARG",16637484834.4464
"ARM",929241635466.023
"ATG",4036682500.34278
"AUS",692700731769.568
"AUT",4289338539255.15
"AZE",4388223537723.38
"BDI",204358442396.708
"BEL",15764475116933.6
"BEN",665839117954.068
"BFA",830807649007.194
"BGD",17305389922535
"BGR",307472935938.74
"BHR",327606496175.906
"BHS",45518038471.3656
"BIH",1699542429015.43
"BLR",443507140579.976
"BLZ",69460377602.5828
"BMU",12294975156.0824
"BOL",1063302137623.78
"BRA",19798237611762.3
"BRB",69026874387.9462
"BRN",62706870471.6525
"BTN",9711742595.2155
"BWA",292308997007.123
"CAF",43737820283.6516
"CAN",1386947249065.19
"CHE",2388270411014.32
"CHL",3498688320879.25
"CHN",10213476435616.9
"CIV",2174017259716.67
"CMR",2227623547572.97
"COD",1186855004664.47
"COG",774565959808.529
"COK",4439776231.22338
"COL",6241515195930.8
"COM",45983192071.7589
"CPV",94729521600.1488
"CRI",724860845556.986
"CUB",2785374532540.68
"CYP",503142854452.19
"CZE",1069737421031.5
"DEU",19248474975234.2
"DJI",1942256317807.74
"DMA",6967129116.85016
"DNK",1608691929757.24
"DOM",1755599634577.43
"DZA",25472529162254.7
"ECU",3398672643327.68
"EGY",36083036593061.8
"ERI",174776396266.323
"ESP",21238610474120.2
"EST",258594874017.179
"ETH",2874783747512.52
"FIN",468540310083.298
"FJI",469257979320.635
"FRA",7809870834624.69
"FRO",53100448079.7741
"GAB",398817648156.743
"GBR",8651582249864.91
"GEO",1866265842100.5
"GHA",2469803153162.24
"GIN",980671878456.181
"GMB",259371458196.581
"GNB",60546097717.6153
"GNQ",104160706955.724
"GRC",3720264055798.68
"GRD",25008349747.4236
"GRL",16591827926.9223
"GTM",1878165568298.15
"GUY",206343211566.994
"HKG",1192474738412.8
"HND",875162199670.38
"HRV",677272820422.883
"HTI",1030084590209.13
"HUN",1050858674044.55
"IDN",31949222426211.8
"IND",8024801432917.98
"IRL",2395943792447.42
"IRN",5698712215125.4
"IRQ",7443354432341.29
"ISL",180919670808.489
"ISR",5515220770316.9
"ITA",24728073142484.8
"JAM",588870764801.53
"JOR",3678401919780.43
"JPN",19066092832353.8
"KAZ",416831878427.034
"KEN",5669092198371.01
"KGZ",1161140815961.95
"KHM",193163860627.548
"KIR",15918162153.1477
"KNA",6456783610.09841
"KOR",14237102535069.3
"KWT",1579873618609.8
"LAO",21591108134.5504
"LBN",3274143725275.29
"LBR",230126168973.27
"LBY",4450309806302.24
"LCA",43310734135.2856
"LKA",3293604887470.8
"LSO",162959046666.667
"LTU",605611429128.822
"LUX",515065390399.674
"LVA",2226071197885.78
"MAC",100968408091.139
"MAR",13683291396794.6
"MDA",175768474441.427
"MDG",692756934242.424
"MDV",112688551266.693
"MEX",12195863043862.2
"MKD",520812240638.804
"MLI",1107767755149.07
"MLT",219827497620.905
"MMR",1539498776988.72
"MNE",326691889806.678
"MNG",333359402237.853
"MOZ",2238572561075.27
"MRT",1815856702923.14
"MUS",568424099566.502
"MWI",690837466713.685
"MYS",5209573125426.2
"NAM",442923536246.18
"NCL",125135168404.295
"NER",253786297161.892
"NGA",15909727321866.6
"NIC",626455056493.127
"NLD",21443492443563.2
"NOR",1567172307406.57
"NPL",566268481970.4
"NZL",1734903818318.75
"OMN",2475497465149.42
"PAK",49263973418.5135
"PAN",651049466540.238
"PER",6159635826895.06
"PHL",16123005745534.2
"PNG",761285082336.917
"POL",3417485615535.98
"PRK",266499308934.489
"PRT",5535270371654.34
"PRY",60396218186.069
"PSE",221898466598.459
"PYF",83596683334.3517
"QAT",704345435793.244
"ROU",5649225603674.43
"RUS",1875833174388.95
"RWA",386754196052.405
"SAU",10876441974896.2
"SDN",7220980666447.45
"SEN",2200214167321.93
"SGP",1158708334322.03
"SLB",60908908775.4705
"SLE",206148231794.662
"SLV",732182169118.658
"SOM",1368046389165.42
"SRB",132116803923.151
"SSD",103481404844.828
"STP",34536239119.2984
"SUR",85383826782.0001
"SVK",775164983340.834
"SVN",789462273513.171
"SWE",1386917609740.17
"SWZ",71767506150.9494
"SYC",22700782459.016
"SYR",2337051206793.75
"TCD",173063621982.755
"TGO",498112482705.231
"THA",13524484390092.5
"TJK",3663128752526.21
"TKM",230549892413.283
"TLS",74202336750.7287
"TON",20052432376.472
"TTO",399300870053.454
"TUN",6257287467714.76
"TUR",15372265443969
"TUV",2071055668.88618
"TWN",4458329309795.91
"TZA",2905500133639.27
"UGA",1627584529026.19
"UKR",162929949436.968
"URY",89266342232.6224
"USA",19757380840172.9
"UZB",7895815083801.16
"VCT",46523234243.0998
"VEN",4255416735980.89
"VNM",12798321433294.5
"VUT",52317902943.9703
"YEM",10543971963339.8
"ZAF",5693922481114.82
"ZMB",164865931754.808
"ZWE",854125942201.382
