"","Gstrength_in_initial"
"AFG",7740079886666.67
"ALB",972568873333.333
"ANT",0
"ARB",22044830000
"ARE",5875483821666.67
"ARG",21205098333.3333
"ARM",929991860000
"ATG",19899130000
"AUS",816601953333.333
"AUT",4302252036666.67
"AZE",4389601183333.33
"BDI",205410285000
"BEL",15847596130000
"BEN",665959006666.667
"BFA",836096871666.666
"BGD",18412913978333.3
"BGR",306289463333.333
"BHR",358489385000
"BHS",45919123333.3333
"BIH",1700501180000
"BLR",447414815000
"BLZ",72336276666.6667
"BMU",17575391666.6667
"BOL",1189422628333.33
"BRA",21391736410000
"BRB",94020518333.3333
"BRN",63372548333.3333
"BTN",9713490000
"BWA",292429241666.667
"CAF",43741716666.6667
"CAN",2596624105000
"CHE",2431472550000
"CHL",3728616400000
"CHN",13008630208333.3
"CIV",2179247758333.33
"CMR",2230530975000
"COD",1188195253333.33
"COG",774631906666.667
"COK",4443830000
"COL",6524415013333.33
"COM",45988650000
"CPV",94780908333.3333
"CRI",1036258578333.33
"CUB",2786077476666.67
"CYP",506447423333.333
"CZE",1078978440000
"DEU",19440847415000
"DJI",1942996796666.67
"DMA",7308190000
"DNK",1613933205000
"DOM",1813320993333.33
"DZA",27661696350000
"ECU",3451049260000
"EGY",37082879646666.7
"ERI",174780656666.667
"ESP",21461985723333.3
"EST",260981363333.333
"ETH",3035738428333.33
"FIN",473645836666.667
"FJI",514324316666.667
"FRA",8002216988333.33
"FRO",53102283333.3333
"GAB",398928636666.667
"GBR",8973502575000
"GEO",1869535741666.67
"GHA",2647857156666.67
"GIN",982892595000
"GMB",259399710000
"GNB",60555730000
"GNQ",104173803333.333
"GRC",3781856276666.67
"GRD",61997276666.6667
"GRL",16593976666.6667
"GTM",2351045043333.33
"GUY",222178418333.333
"HKG",1302017738333.33
"HND",1116151656666.67
"HRV",684753231666.667
"HTI",1039144523333.33
"HUN",1055371948333.33
"IDN",33041578931666.6
"IND",8572355238333.34
"IRL",2470463286666.67
"IRN",5748868288333.33
"IRQ",7777590650000
"ISL",180971315000
"ISR",5704038060000
"ITA",25274167956666.7
"JAM",644511273333.333
"JOR",3904729051666.67
"JPN",20046333615000
"KAZ",420123426666.667
"KEN",5749962170000
"KGZ",1161793851666.67
"KHM",196841106666.667
"KIR",16082096666.6667
"KNA",6894980000
"KOR",14908601390000
"KWT",1683621046666.67
"LAO",52146376666.6667
"LBN",3356689970000
"LBR",231958933333.333
"LBY",4530142246666.67
"LCA",44948308333.3333
"LKA",3537382321666.67
"LSO",162959046666.667
"LTU",609740685000
"LUX",517982475000
"LVA",2215711475000
"MAC",103134363333.333
"MAR",14619769091666.7
"MDA",183751381666.667
"MDG",692811875000
"MDV",113198823333.333
"MEX",16432805515000
"MKD",521096468333.333
"MLI",1123013946666.67
"MLT",223667571666.667
"MMR",1584785900000
"MNE",326738536666.667
"MNG",333447988333.333
"MOZ",2266806553333.33
"MRT",1876873261666.67
"MUS",587463685000
"MWI",699146545000
"MYS",5668214555000
"NAM",445845841666.667
"NCL",125325200000
"NER",254089591666.667
"NGA",15993075800000
"NIC",664408373333.333
"NLD",21509495068333.3
"NOR",1577048390000
"NPL",566513951666.667
"NZL",1920848660000
"OMN",2545810388333.33
"PAK",58304083333.3333
"PAN",715346573333.333
"PER",6488689355000
"PHL",16982196696666.7
"PNG",833070260000
"POL",3435508476666.67
"PRK",2.66561e+11
"PRT",5586940598333.33
"PRY",78945663333.3333
"PSE",221974633333.333
"PYF",83677483333.3334
"QAT",706692316666.667
"ROU",5663624838333.34
"RUS",1904000431666.67
"RWA",392563070000
"SAU",11222497980000
"SDN",7339375773333.33
"SEN",2229727675000
"SGP",1463558351666.67
"SLB",61005763333.3333
"SLE",206326173333.333
"SLV",1137294261666.67
"SOM",1368186410000
"SRB",134934481666.667
"SSD",103486066666.667
"STP",34566405000
"SUR",86447260000
"SVK",777581121666.667
"SVN",785682500000
"SWE",1416760905000
"SWZ",71855526666.6667
"SYC",23111940000
"SYR",2368009843333.33
"TCD",173075140000
"TGO",514181598333.333
"THA",14054417373333.3
"TJK",3663275666666.67
"TKM",231194556666.667
"TLS",76658120000
"TON",20165893333.3333
"TTO",456636333333.333
"TUN",6587229580000
"TUR",15919880371666.7
"TUV",2093656666.66667
"TWN",4827250508333.33
"TZA",2957563220000
"UGA",1667158230000
"UKR",159594351666.667
"URY",104121403333.333
"USA",15521726615000
"UZB",7896052186666.67
"VCT",93678766666.6667
"VEN",4302186123333.33
"VNM",13273817193333.3
"VUT",52642896666.6667
"YEM",10663632260000
"ZAF",6030464140000
"ZMB",172260741666.667
"ZWE",868357400000
