"faf","SHORTNAME","Year","Value"
11,"Birmingham",1,1
12,"Mobile",1,1
19,"Rest of AL",1,1
20,"Alaska",1,1
41,"Phoenix",1,1
42,"Tucson",1,1
49,"Rest of AZ",1,1
50,"Arkansas",1,1
61,"Los Angeles",1,1
62,"Sacramento",1,1
63,"San Diego",1,1
64,"San Francisco",1,1
65,"Fresno",1,1
69,"Rest of CA",1,1
81,"Denver",1,1
89,"Rest of CO",1,1
91,"Hartford",1,1
92,"New York (CT)",1,1
99,"Rest of CT",1,1
101,"Philadelphia (DE)",1,1
109,"Rest of DE",1,1
111,"Washington (DC)",1,1
121,"Jacksonville",1,1
122,"Miami",1,1
123,"Orlando",1,1
124,"Tampa",1,1
129,"Rest of FL",1,1
131,"Atlanta",1,1
132,"Savannah",1,1
139,"Rest of GA",1,1
151,"Honolulu",1,1
159,"Rest of HI",1,1
160,"Idaho",1,1
171,"Chicago (IL)",1,1
172,"St. Louis (IL)",1,1
179,"Rest of IL",1,1
181,"Chicago (IN)",1,1
182,"Indianapolis",1,1
183,"Fort Wayne",1,1
189,"Rest of IN",1,1
190,"Iowa",1,1
201,"Kansas City (KS)",1,1
202,"Wichita",1,1
209,"Rest of KS",1,1
211,"Cincinnati (KY)",1,1
212,"Louisville",1,1
219,"Rest of KY",1,1
221,"Baton Rouge",1,1
222,"Lake Charles",1,1
223,"New Orleans",1,1
229,"Rest of LA",1,1
230,"Maine",1,1
241,"Baltimore",1,1
242,"Washington (MD)",1,1
249,"Rest of MD",1,1
251,"Boston (MA)",1,1
259,"Rest of MA",1,1
261,"Detroit",1,1
262,"Grand Rapids",1,1
269,"Rest of MI",1,1
271,"Minneapolis",1,1
279,"Rest of MN",1,1
280,"Mississippi",1,1
291,"Kansas City (MO)",1,1
292,"St. Louis (MO)",1,1
299,"Rest of MO",1,1
300,"Montana",1,1
311,"Omaha",1,1
319,"Rest of NE",1,1
321,"Las Vegas",1,1
329,"Rest of NV",1,1
331,"Boston (NH)",1,1
339,"Rest of NH",1,1
341,"New York (NJ)",1,1
342,"Philadelphia (NJ)",1,1
350,"New Mexico",1,1
361,"Albany",1,1
362,"Buffalo",1,1
363,"New York (NY)",1,1
364,"Rochester",1,1
369,"Rest of NY",1,1
371,"Charlotte",1,1
372,"Greensboro",1,1
373,"Raleigh",1,1
379,"Rest of NC",1,1
380,"North Dakota",1,1
391,"Cincinnati (OH)",1,1
392,"Cleveland",1,1
393,"Columbus",1,1
394,"Dayton",1,1
399,"Rest of OH",1,1
401,"Oklahoma City",1,1
402,"Tulsa",1,1
409,"Rest of OK",1,1
411,"Portland (OR)",1,1
419,"Rest of OR",1,1
421,"Philadelphia (PA)",1,1
422,"Pittsburgh",1,1
423,"New York (PA)",1,1
429,"Rest of PA",1,1
441,"Rhode Island",1,1
451,"Charleston",1,1
452,"Greenville",1,1
459,"Rest of SC",1,1
460,"South Dakota",1,1
471,"Memphis",1,1
472,"Nashville",1,1
473,"Knoxville",1,1
479,"Rest of TN",1,1
481,"Austin",1,1
482,"Beaumont",1,1
483,"Corpus Christi",1,1
484,"Dallas",1,1
485,"El Paso",1,1
486,"Houston",1,1
487,"Laredo",1,1
488,"San Antonio",1,1
489,"Rest of TX",1,1
491,"Salt Lake City",1,1
499,"Rest of UT",1,1
500,"Vermont",1,1
511,"Richmond",1,1
512,"Norfolk",1,1
513,"Washington (VA)",1,1
519,"Rest of VA",1,1
531,"Seattle",1,1
532,"Portland (WA)",1,1
539,"Rest of WA",1,1
540,"West Virginia",1,1
551,"Milwaukee",1,1
559,"Rest of WI",1,1
560,"Wyoming",1,1
11,"Birmingham",2,1
12,"Mobile",2,1
19,"Rest of AL",2,1
20,"Alaska",2,1
41,"Phoenix",2,1
42,"Tucson",2,1
49,"Rest of AZ",2,1
50,"Arkansas",2,1
61,"Los Angeles",2,1
62,"Sacramento",2,1
63,"San Diego",2,1
64,"San Francisco",2,1
65,"Fresno",2,1
69,"Rest of CA",2,1
81,"Denver",2,1
89,"Rest of CO",2,1
91,"Hartford",2,1
92,"New York (CT)",2,1
99,"Rest of CT",2,1
101,"Philadelphia (DE)",2,1
109,"Rest of DE",2,1
111,"Washington (DC)",2,1
121,"Jacksonville",2,1
122,"Miami",2,1
123,"Orlando",2,1
124,"Tampa",2,1
129,"Rest of FL",2,1
131,"Atlanta",2,1
132,"Savannah",2,1
139,"Rest of GA",2,1
151,"Honolulu",2,1
159,"Rest of HI",2,1
160,"Idaho",2,1
171,"Chicago (IL)",2,1
172,"St. Louis (IL)",2,1
179,"Rest of IL",2,1
181,"Chicago (IN)",2,1
182,"Indianapolis",2,1
183,"Fort Wayne",2,1
189,"Rest of IN",2,1
190,"Iowa",2,1
201,"Kansas City (KS)",2,1
202,"Wichita",2,1
209,"Rest of KS",2,1
211,"Cincinnati (KY)",2,1
212,"Louisville",2,1
219,"Rest of KY",2,1
221,"Baton Rouge",2,1
222,"Lake Charles",2,1
223,"New Orleans",2,1
229,"Rest of LA",2,1
230,"Maine",2,1
241,"Baltimore",2,1
242,"Washington (MD)",2,1
249,"Rest of MD",2,1
251,"Boston (MA)",2,1
259,"Rest of MA",2,1
261,"Detroit",2,1
262,"Grand Rapids",2,1
269,"Rest of MI",2,1
271,"Minneapolis",2,1
279,"Rest of MN",2,1
280,"Mississippi",2,1
291,"Kansas City (MO)",2,1
292,"St. Louis (MO)",2,1
299,"Rest of MO",2,1
300,"Montana",2,1
311,"Omaha",2,1
319,"Rest of NE",2,1
321,"Las Vegas",2,1
329,"Rest of NV",2,1
331,"Boston (NH)",2,1
339,"Rest of NH",2,1
341,"New York (NJ)",2,1
342,"Philadelphia (NJ)",2,1
350,"New Mexico",2,1
361,"Albany",2,1
362,"Buffalo",2,1
363,"New York (NY)",2,1
364,"Rochester",2,1
369,"Rest of NY",2,1
371,"Charlotte",2,1
372,"Greensboro",2,1
373,"Raleigh",2,1
379,"Rest of NC",2,1
380,"North Dakota",2,1
391,"Cincinnati (OH)",2,1
392,"Cleveland",2,1
393,"Columbus",2,1
394,"Dayton",2,1
399,"Rest of OH",2,1
401,"Oklahoma City",2,1
