"","Gdeg_out_final"
"AFG",7
"ALB",31
"ANT",0
"ARB",0
"ARE",140
"ARG",102
"ARM",12
"ATG",8
"AUS",98
"AUT",106
"AZE",6
"BDI",6
"BEL",170
"BEN",12
"BFA",6
"BGD",73
"BGR",118
"BHR",21
"BHS",0
"BIH",42
"BLR",36
"BLZ",0
"BMU",0
"BOL",29
"BRA",112
"BRB",0
"BRN",0
"BTN",0
"BWA",4
"CAF",0
"CAN",135
"CHE",112
"CHL",0
"CHN",172
"CIV",22
"CMR",16
"COD",4
"COG",0
"COK",0
"COL",0
"COM",0
"CPV",6
"CRI",0
"CUB",3
"CYP",44
"CZE",96
"DEU",171
"DJI",2
"DMA",0
"DNK",148
"DOM",0
"DZA",37
"ECU",0
"EGY",106
"ERI",1
"ESP",167
"EST",53
"ETH",28
"FIN",63
"FJI",23
"FRA",157
"FRO",1
"GAB",1
"GBR",166
"GEO",16
"GHA",25
"GIN",6
"GMB",6
"GNB",0
"GNQ",0
"GRC",104
"GRD",0
"GRL",0
"GTM",0
"GUY",0
"HKG",91
"HND",0
"HRV",58
"HTI",3
"HUN",79
"IDN",132
"IND",170
"IRL",72
"IRN",83
"IRQ",8
"ISL",12
"ISR",74
"ITA",184
"JAM",0
"JOR",52
"JPN",93
"KAZ",38
"KEN",19
"KGZ",10
"KHM",0
"KIR",0
"KNA",0
"KOR",121
"KWT",26
"LAO",0
"LBN",82
"LBR",0
"LBY",6
"LCA",0
"LKA",76
"LSO",1
"LTU",103
"LUX",44
"LVA",114
"MAC",9
"MAR",65
"MDA",65
"MDG",5
"MDV",1
"MEX",82
"MKD",68
"MLI",11
"MLT",48
"MMR",13
"MNE",12
"MNG",9
"MOZ",5
"MRT",5
"MUS",29
"MWI",6
"MYS",143
"NAM",13
"NCL",5
"NER",21
"NGA",27
"NIC",20
"NLD",168
"NOR",86
"NPL",20
"NZL",55
"OMN",74
"PAK",99
"PAN",0
"PER",58
"PHL",78
"PNG",0
"POL",153
"PRK",7
"PRT",135
"PRY",18
"PSE",7
"PYF",0
"QAT",22
"ROU",109
"RUS",130
"RWA",5
"SAU",85
"SDN",3
"SEN",25
"SGP",105
"SLB",0
"SLE",5
"SLV",0
"SOM",3
"SRB",72
"SSD",0
"STP",1
"SUR",9
"SVK",66
"SVN",62
"SWE",87
"SWZ",8
"SYC",3
"SYR",36
"TCD",0
"TGO",17
"THA",143
"TJK",1
"TKM",4
"TLS",0
"TON",0
"TTO",0
"TUN",80
"TUR",177
"TUV",0
"TWN",0
"TZA",22
"UGA",17
"UKR",139
"URY",30
"USA",170
"UZB",5
"VCT",0
"VEN",0
"VNM",103
"VUT",0
"YEM",10
"ZAF",82
"ZMB",12
"ZWE",10
