"","Gdeg_out_initial"
"AFG",7
"ALB",31
"ANT",0
"ARB",2
"ARE",140
"ARG",102
"ARM",12
"ATG",8
"AUS",98
"AUT",106
"AZE",6
"BDI",6
"BEL",170
"BEN",12
"BFA",6
"BGD",73
"BGR",118
"BHR",21
"BHS",3
"BIH",42
"BLR",36
"BLZ",2
"BMU",3
"BOL",29
"BRA",112
"BRB",19
"BRN",4
"BTN",0
"BWA",4
"CAF",0
"CAN",135
"CHE",112
"CHL",37
"CHN",172
"CIV",22
"CMR",16
"COD",4
"COG",0
"COK",0
"COL",72
"COM",0
"CPV",6
"CRI",35
"CUB",3
"CYP",44
"CZE",96
"DEU",171
"DJI",2
"DMA",4
"DNK",148
"DOM",18
"DZA",37
"ECU",24
"EGY",106
"ERI",1
"ESP",167
"EST",53
"ETH",28
"FIN",63
"FJI",23
"FRA",157
"FRO",1
"GAB",1
"GBR",166
"GEO",16
"GHA",25
"GIN",6
"GMB",6
"GNB",0
"GNQ",0
"GRC",104
"GRD",3
"GRL",0
"GTM",22
"GUY",13
"HKG",91
"HND",16
"HRV",58
"HTI",3
"HUN",79
"IDN",132
"IND",170
"IRL",72
"IRN",83
"IRQ",8
"ISL",12
"ISR",74
"ITA",184
"JAM",23
"JOR",52
"JPN",93
"KAZ",38
"KEN",19
"KGZ",10
"KHM",27
"KIR",1
"KNA",1
"KOR",121
"KWT",26
"LAO",3
"LBN",82
"LBR",2
"LBY",6
"LCA",7
"LKA",76
"LSO",1
"LTU",103
"LUX",44
"LVA",114
"MAC",9
"MAR",65
"MDA",65
"MDG",5
"MDV",1
"MEX",82
"MKD",68
"MLI",11
"MLT",48
"MMR",13
"MNE",12
"MNG",9
"MOZ",5
"MRT",5
"MUS",29
"MWI",6
"MYS",143
"NAM",13
"NCL",5
"NER",21
"NGA",27
"NIC",20
"NLD",168
"NOR",86
"NPL",20
"NZL",55
"OMN",74
"PAK",99
"PAN",15
"PER",58
"PHL",78
"PNG",4
"POL",153
"PRK",7
"PRT",135
"PRY",18
"PSE",7
"PYF",1
"QAT",22
"ROU",109
"RUS",130
"RWA",5
"SAU",85
"SDN",3
"SEN",25
"SGP",105
"SLB",0
"SLE",5
"SLV",19
"SOM",3
"SRB",72
"SSD",0
"STP",1
"SUR",9
"SVK",66
"SVN",62
"SWE",87
"SWZ",8
"SYC",3
"SYR",36
"TCD",0
"TGO",17
"THA",143
"TJK",1
"TKM",4
"TLS",0
"TON",0
"TTO",21
"TUN",80
"TUR",177
"TUV",1
"TWN",77
"TZA",22
"UGA",17
"UKR",139
"URY",30
"USA",170
"UZB",5
"VCT",7
"VEN",5
"VNM",103
"VUT",1
"YEM",10
"ZAF",82
"ZMB",12
"ZWE",10
