"","Gdeg_in_initial"
"AFG",23
"ALB",30
"ANT",0
"ARB",28
"ARE",99
"ARG",29
"ARM",41
"ATG",26
"AUS",93
"AUT",63
"AZE",40
"BDI",26
"BEL",85
"BEN",55
"BFA",45
"BGD",37
"BGR",53
"BHR",70
"BHS",27
"BIH",31
"BLR",41
"BLZ",19
"BMU",12
"BOL",24
"BRA",58
"BRB",39
"BRN",38
"BTN",8
"BWA",26
"CAF",25
"CAN",108
"CHE",79
"CHL",54
"CHN",90
"CIV",53
"CMR",61
"COD",40
"COG",43
"COK",9
"COL",47
"COM",30
"CPV",28
"CRI",48
"CUB",25
"CYP",55
"CZE",54
"DEU",89
"DJI",31
"DMA",19
"DNK",66
"DOM",37
"DZA",58
"ECU",27
"EGY",57
"ERI",12
"ESP",87
"EST",40
"ETH",46
"FIN",41
"FJI",34
"FRA",99
"FRO",8
"GAB",34
"GBR",106
"GEO",45
"GHA",66
"GIN",50
"GMB",48
"GNB",16
"GNQ",28
"GRC",58
"GRD",14
"GRL",28
"GTM",37
"GUY",37
"HKG",79
"HND",39
"HRV",36
"HTI",31
"HUN",43
"IDN",47
"IND",61
"IRL",61
"IRN",48
"IRQ",57
"ISL",43
"ISR",66
"ITA",84
"JAM",32
"JOR",68
"JPN",61
"KAZ",44
"KEN",56
"KGZ",30
"KHM",42
"KIR",21
"KNA",16
"KOR",69
"KWT",78
"LAO",9
"LBN",68
"LBR",36
"LBY",50
"LCA",27
"LKA",37
"LSO",3
"LTU",40
"LUX",25
"LVA",44
"MAC",34
"MAR",54
"MDA",37
"MDG",46
"MDV",49
"MEX",58
"MKD",32
"MLI",52
"MLT",52
"MMR",32
"MNE",31
"MNG",44
"MOZ",41
"MRT",44
"MUS",59
"MWI",40
"MYS",77
"NAM",31
"NCL",37
"NER",48
"NGA",58
"NIC",30
"NLD",97
"NOR",71
"NPL",31
"NZL",68
"OMN",65
"PAK",45
"PAN",53
"PER",43
"PHL",56
"PNG",26
"POL",54
"PRK",14
"PRT",66
"PRY",32
"PSE",35
"PYF",37
"QAT",78
"ROU",55
"RUS",74
"RWA",26
"SAU",73
"SDN",41
"SEN",53
"SGP",83
"SLB",18
"SLE",35
"SLV",32
"SOM",37
"SRB",46
"SSD",9
"STP",16
"SUR",44
"SVK",42
"SVN",41
"SWE",79
"SWZ",21
"SYC",47
"SYR",26
"TCD",17
"TGO",46
"THA",65
"TJK",16
"TKM",20
"TLS",8
"TON",8
"TTO",44
"TUN",50
"TUR",81
"TUV",7
"TWN",64
"TZA",50
"UGA",50
"UKR",57
"URY",43
"USA",125
"UZB",26
"VCT",18
"VEN",40
"VNM",57
"VUT",23
"YEM",46
"ZAF",73
"ZMB",44
"ZWE",34
