"faf","SHORTNAME","Year","Value"
11,"Birmingham",0,632845407.520303
12,"Mobile",0,0
19,"Rest of AL",0,3447617710.34134
20,"Alaska",0,1766594354.45223
41,"Phoenix",0,0
42,"Tucson",0,0
49,"Rest of AZ",0,0
50,"Arkansas",0,4909274799.92157
61,"Los Angeles",0,1444439487.86401
62,"Sacramento",0,0
63,"San Diego",0,0
64,"San Francisco",0,406040395.852527
65,"Fresno",0,0
69,"Rest of CA",0,551602047.195885
81,"Denver",0,1463345914.37358
89,"Rest of CO",0,2331823825.08299
91,"Hartford",0,0
92,"New York (CT)",0,364825800.043615
99,"Rest of CT",0,0
101,"Philadelphia (DE)",0,0
109,"Rest of DE",0,861533869.20466
111,"Washington (DC)",0,0
121,"Jacksonville",0,0
122,"Miami",0,353942930.740752
123,"Orlando",0,0
124,"Tampa",0,0
129,"Rest of FL",0,668809753.765268
131,"Atlanta",0,3097243306.15351
132,"Savannah",0,0
139,"Rest of GA",0,3413616231.84049
151,"Honolulu",0,0
159,"Rest of HI",0,0
160,"Idaho",0,0
171,"Chicago (IL)",0,1081616662.84607
172,"St. Louis (IL)",0,968485361.818459
179,"Rest of IL",0,2153735122.25802
181,"Chicago (IN)",0,0
182,"Indianapolis",0,220131452.548475
183,"Fort Wayne",0,0
189,"Rest of IN",0,2540671022.33886
190,"Iowa",0,8004819597.71211
201,"Kansas City (KS)",0,0
202,"Wichita",0,0
209,"Rest of KS",0,5031199368.78755
211,"Cincinnati (KY)",0,0
212,"Louisville",0,2083557409.54008
219,"Rest of KY",0,206220978.112398
221,"Baton Rouge",0,0
222,"Lake Charles",0,0
223,"New Orleans",0,0
229,"Rest of LA",0,3070321733.8769
230,"Maine",0,0
241,"Baltimore",0,0
242,"Washington (MD)",0,0
249,"Rest of MD",0,0
251,"Boston (MA)",0,0
259,"Rest of MA",0,0
261,"Detroit",0,0
262,"Grand Rapids",0,0
269,"Rest of MI",0,423000130.799396
271,"Minneapolis",0,0
279,"Rest of MN",0,926414734.422914
280,"Mississippi",0,764630287.661155
291,"Kansas City (MO)",0,0
292,"St. Louis (MO)",0,0
299,"Rest of MO",0,1195477462.70349
300,"Montana",0,296401989.246362
311,"Omaha",0,3738683733.6848
319,"Rest of NE",0,9130781553.57529
321,"Las Vegas",0,0
329,"Rest of NV",0,0
331,"Boston (NH)",0,0
339,"Rest of NH",0,0
341,"New York (NJ)",0,0
342,"Philadelphia (NJ)",0,0
350,"New Mexico",0,1771791114.72395
361,"Albany",0,386505733.066181
362,"Buffalo",0,0
363,"New York (NY)",0,0
364,"Rochester",0,639858235.514009
369,"Rest of NY",0,0
371,"Charlotte",0,0
372,"Greensboro",0,289765263.42274
373,"Raleigh",0,0
379,"Rest of NC",0,3121456123.00563
380,"North Dakota",0,0
391,"Cincinnati (OH)",0,0
392,"Cleveland",0,0
393,"Columbus",0,0
394,"Dayton",0,0
399,"Rest of OH",0,0
401,"Oklahoma City",0,0
402,"Tulsa",0,51362108.9913549
409,"Rest of OK",0,2477018393.67752
411,"Portland (OR)",0,0
419,"Rest of OR",0,1153684391.28182
421,"Philadelphia (PA)",0,0
422,"Pittsburgh",0,560019455.698985
423,"New York (PA)",0,0
429,"Rest of PA",0,768942942.734634
441,"Rhode Island",0,0
451,"Charleston",0,0
452,"Greenville",0,0
459,"Rest of SC",0,0
460,"South Dakota",0,2241470508.95864
471,"Memphis",0,0
472,"Nashville",0,0
473,"Knoxville",0,0
479,"Rest of TN",0,450531050.6615
481,"Austin",0,0
482,"Beaumont",0,0
483,"Corpus Christi",0,0
484,"Dallas",0,973439623.99971
