"faf","SHORTNAME","Year","Value"
11,"Birmingham",1,2.81599044799805
12,"Mobile",1,1.12150239944458
19,"Rest of AL",1,14.7626969814301
20,"Alaska",1,0
41,"Phoenix",1,7.91252136230469
42,"Tucson",1,5.89739148318768
49,"Rest of AZ",1,1808.43133059144
50,"Arkansas",1,433.756585121155
61,"Los Angeles",1,21.8281936645508
62,"Sacramento",1,1.12803554534912
63,"San Diego",1,1.20137119293213
64,"San Francisco",1,9.18956565856934
65,"Fresno",1,1.79754972457886
69,"Rest of CA",1,5.67724227905273
81,"Denver",1,6.43387985229492
89,"Rest of CO",1,0.851273059844971
91,"Hartford",1,9.65905380249023
92,"New York (CT)",1,6.70808696746826
99,"Rest of CT",1,0.249623954296112
101,"Philadelphia (DE)",1,0.235553622245789
109,"Rest of DE",1,0.57464861869812
111,"Washington (DC)",1,0.808593034744263
121,"Jacksonville",1,2.82023334503174
122,"Miami",1,5.92185401916504
123,"Orlando",1,7.30636024475098
124,"Tampa",1,8.48353219032288
129,"Rest of FL",1,6.06695175170898
131,"Atlanta",1,16.4374008178711
132,"Savannah",1,0.280429363250732
139,"Rest of GA",1,9.92122134566307
151,"Honolulu",1,200.580554336309
159,"Rest of HI",1,12.8654552698135
160,"Idaho",1,1.05797338485718
171,"Chicago (IL)",1,24.5004272460938
172,"St. Louis (IL)",1,0.277779579162598
179,"Rest of IL",1,24.1959567070007
181,"Chicago (IN)",1,0.0920572876930237
182,"Indianapolis",1,9.59544658660889
183,"Fort Wayne",1,2.93162631988525
189,"Rest of IN",1,20.0900483131409
190,"Iowa",1,9.28472137451172
201,"Kansas City (KS)",1,4.54705810546875
202,"Wichita",1,0.578734636306763
209,"Rest of KS",1,7.10301780700684
211,"Cincinnati (KY)",1,3.08943819999695
212,"Louisville",1,5.64958190917969
219,"Rest of KY",1,9.62769722938538
221,"Baton Rouge",1,0.841030597686768
222,"Lake Charles",1,2238.61533436179
223,"New Orleans",1,13.1124730110168
229,"Rest of LA",1,0.303357124328613
230,"Maine",1,2.65801620483398
241,"Baltimore",1,4.29461002349854
242,"Washington (MD)",1,2.52319288253784
249,"Rest of MD",1,2.65437412261963
251,"Boston (MA)",1,9.9449577331543
259,"Rest of MA",1,3.09591770172119
261,"Detroit",1,123.057035684586
262,"Grand Rapids",1,20.8782644271851
269,"Rest of MI",1,4.94882249832153
271,"Minneapolis",1,5.59652900695801
279,"Rest of MN",1,5.06091594696045
280,"Mississippi",1,20.8356909751892
291,"Kansas City (MO)",1,3.0036826133728
292,"St. Louis (MO)",1,3.78831934928894
299,"Rest of MO",1,7.80063056945801
300,"Montana",1,1.19844484329224
311,"Omaha",1,3.2005569934845
319,"Rest of NE",1,5.03597831726074
321,"Las Vegas",1,0.795834541320801
329,"Rest of NV",1,0.455777406692505
331,"Boston (NH)",1,5.86330492794514
339,"Rest of NH",1,0.167883217334747
341,"New York (NJ)",1,249.984582901001
342,"Philadelphia (NJ)",1,18.576319694519
350,"New Mexico",1,1.28936958312988
361,"Albany",1,6.68142890930176
362,"Buffalo",1,3.58451008796692
363,"New York (NY)",1,69.2280006408691
364,"Rochester",1,2.83116769790649
369,"Rest of NY",1,64.9152555465698
371,"Charlotte",1,2.67637348175049
372,"Greensboro",1,2.23301267623901
373,"Raleigh",1,8.23320722579956
379,"Rest of NC",1,6.20002555847168
380,"North Dakota",1,0.157430410385132
391,"Cincinnati (OH)",1,54.5669566392899
392,"Cleveland",1,3.51002311706543
393,"Columbus",1,6.90278053283691
394,"Dayton",1,4.38389492034912
399,"Rest of OH",1,7.13459014892578
401,"Oklahoma City",1,2.9769606590271
402,"Tulsa",1,0.756616115570068
409,"Rest of OK",1,8.76141548156738
411,"Portland (OR)",1,3.70458316802979
419,"Rest of OR",1,0.445798397064209
421,"Philadelphia (PA)",1,16.5368700027466
422,"Pittsburgh",1,3.65330505371094
423,"New York (PA)",1,6.8321099281311
429,"Rest of PA",1,11.8316345214844
441,"Rhode Island",1,0.456779360771179
451,"Charleston",1,0.523871511220932
452,"Greenville",1,0.434434652328491
459,"Rest of SC",1,7.71184396743774
460,"South Dakota",1,3.06983971595764
471,"Memphis",1,2.14287567138672
472,"Nashville",1,10.4668121337891
473,"Knoxville",1,2.57171404361725
479,"Rest of TN",1,6.38547614216805
481,"Austin",1,1.53771960735321
482,"Beaumont",1,0.0277544260025024
483,"Corpus Christi",1,853.311302118003
484,"Dallas",1,21.9121589660645
485,"El Paso",1,14136.8149007559
486,"Houston",1,17.9792518615723
487,"Laredo",1,16.2737970352173
488,"San Antonio",1,3.13143920898438
489,"Rest of TX",1,17.6267166137695
491,"Salt Lake City",1,3.56924819946289
499,"Rest of UT",1,0
500,"Vermont",1,4736.40145629644
511,"Richmond",1,2.09517765045166
512,"Norfolk",1,35.4446141719818
513,"Washington (VA)",1,3.81009387969971
519,"Rest of VA",1,4.8985538482666
531,"Seattle",1,2.29840850830078
532,"Portland (WA)",1,0.439891576766968
539,"Rest of WA",1,0.189095497131348
540,"West Virginia",1,1.23908632993698
551,"Milwaukee",1,3.95559978485107
559,"Rest of WI",1,2.87222290039062
560,"Wyoming",1,3888.1902576685
