"iso3","Gdeg_out"
"ARM",10
"AFG",7
"ALB",20
"DZA",35
"ATG",3
"ARG",91
"AUS",80
"AUT",86
"BHS",3
"BHR",19
"BRB",18
"BGD",72
"BMU",2
"BTN",0
"BOL",25
"BWA",4
"BRA",106
"ARB",1
"BLZ",2
"SLB",0
"BRN",3
"BGR",113
"MMR",0
"BDI",5
"CMR",15
"CAN",124
"CPV",6
"CAF",0
"LKA",70
"TCD",0
"CHL",29
"CHN",148
"COL",62
"COM",0
"COG",0
"COK",0
"CRI",31
"CUB",3
"CYP",26
"AZE",6
"BEN",9
"DNK",136
"DMA",4
"DOM",0
"BLR",33
"ECU",14
"EGY",106
"SLV",18
"GNQ",0
"EST",45
"FRO",1
"FJI",22
"FIN",54
"FRA",148
"PYF",0
"DJI",2
"GEO",11
"GAB",1
"GMB",5
"DEU",167
"BIH",40
"GHA",23
"KIR",1
"GRC",93
"GRL",0
"GRD",3
"GTM",19
"GIN",6
"GUY",9
"HTI",0
"HND",14
"HKG",60
"HUN",71
"HRV",53
"ISL",5
"IND",158
"IDN",121
"IRN",81
"IRQ",0
"IRL",47
"ISR",69
"ITA",181
"CIV",16
"KAZ",33
"JAM",22
"JPN",67
"JOR",33
"KGZ",8
"KEN",17
"KHM",26
"PRK",0
"KOR",110
"KWT",25
"LVA",110
"LAO",0
"LBN",75
"LSO",0
"LBR",0
"LBY",6
"LTU",95
"MAC",8
"MDG",4
"MWI",5
"MYS",135
"MDV",0
"MLI",8
"MLT",35
"MRT",3
"MUS",27
"MEX",60
"MNG",7
"MAR",58
"MOZ",0
"MDA",60
"NAM",5
"NPL",18
"NLD",161
"ANT",0
"NCL",4
"MKD",66
"VUT",1
"NZL",51
"NIC",20
"NER",18
"NGA",27
"NOR",80
"PAK",88
"PAN",15
"CZE",72
"PNG",4
"PRY",14
"PER",51
"PHL",62
"POL",138
"PRT",118
"GNB",0
"TLS",0
"ERI",0
"QAT",20
"ZWE",8
"ROU",103
"RWA",5
"RUS",123
"KNA",1
"LCA",7
"VCT",7
"STP",0
"SAU",82
"SEN",20
"SYC",0
"SLE",5
"SVN",54
"SVK",57
"SGP",83
"SOM",0
"ZAF",71
"ESP",160
"SUR",9
"TJK",0
"SWZ",6
"SWE",75
"CHE",78
"SYR",36
"TKM",0
"TWN",65
"TZA",19
"THA",127
"TGO",12
"TON",0
"TTO",19
"OMN",65
"TUN",73
"TUR",174
"ARE",138
"UGA",14
"TUV",1
"GBR",151
"UKR",130
"USA",149
"BFA",5
"URY",25
"UZB",0
"VEN",5
"VNM",0
"ETH",27
"YEM",10
"COD",4
"ZMB",12
"BEL",164
"LUX",28
"SRB",66
"MNE",11
"SDN",0
"SSD",0
"PSE",0
