"","x"
"ARM",796309036666.667
"AFG",7740079886666.67
"ALB",975441240000
"DZA",27228176330000
"ATG",18718196666.6667
"ARG",29266643333.3333
"AUS",693167436666.667
"AUT",4414946416666.67
"BHS",46610160000
"BHR",326373080000
"BRB",92914120000
"BGD",18688197010000
"BMU",13730426666.6667
"BTN",9713490000
"BOL",1122188356666.67
"BWA",180954843333.333
"BRA",21166551653333.3
"ARB",21514833333.3333
"BLZ",72336276666.6667
"SLB",66362376666.6667
"BRN",53267580000
"BGR",289093156666.667
"MMR",1584785900000
"BDI",141571983333.333
"CMR",2257044406666.67
"CAN",2805871893333.33
"CPV",94235733333.3333
"CAF",40787566666.6667
"LKA",3260467526666.67
"TCD",173075140000
"CHL",3821986113333.33
"CHN",13407605750000
"COL",6519273003333.33
"COM",45988650000
"COG",790432540000
"COK",4443830000
"CRI",1023097376666.67
"CUB",2786077476666.67
"CYP",537184216666.667
"AZE",4389601183333.33
"BEN",797543966666.667
"DNK",1527545733333.33
"DMA",7308190000
"DOM",1813320993333.33
"BLR",391285226666.667
"ECU",3498550336666.67
"EGY",38398409140000
"SLV",1078414923333.33
"GNQ",104173803333.333
"EST",270074383333.333
"FRO",53102283333.3333
"FJI",632151950000
"FIN",489565806666.667
"FRA",8456245540000
"PYF",79988483333.3333
"DJI",1942996796666.67
"GEO",1894236986666.67
"GAB",398928636666.667
"GMB",285140100000
"DEU",19869638686666.7
"BIH",1682258723333.33
"GHA",2557743273333.33
"KIR",15861793333.3333
"GRC",3698077563333.33
"GRL",16337940000
"GRD",61997276666.6667
"GTM",2358264343333.33
"GIN",1135918550000
"GUY",238449730000
"HTI",1039144523333.33
"HND",1165556460000
"HKG",1238132073333.33
"HUN",1114423376666.67
"HRV",638057383333.333
"ISL",180612350000
"IND",8431033293333.33
"IDN",33976470176666.7
"IRN",5949164816666.67
"IRQ",7777590650000
"IRL",2846143066666.67
"ISR",5835748026666.67
"ITA",24834348806666.7
"CIV",2194871063333.33
"KAZ",416928093333.333
"JAM",655378190000
"JPN",20534138750000
"JOR",3617191290000
"KGZ",1171364873333.33
"KEN",5924271670000
"KHM",145489770000
"PRK",2.66561e+11
"KOR",14898273596666.7
"KWT",1722623443333.33
"LVA",2725401993333.33
"LAO",52146376666.6667
"LBN",4377928470000
"LSO",162959046666.667
"LBR",231958933333.333
"LBY",4530142246666.67
"LTU",723681616666.667
"MAC",99711933333.3333
"MDG",628727336666.667
"MWI",654737993333.333
"MYS",5698430590000
"MDV",103732346666.667
"MLI",1129170766666.67
"MLT",225975846666.667
"MRT",1813645383333.33
"MUS",583200216666.667
"MEX",16544238200000
"MNG",326644013333.333
"MAR",14531504590000
"MOZ",2266806553333.33
"MDA",191607633333.333
"NAM",469383273333.333
"NPL",489660416666.667
"NLD",21800293016666.7
"ANT",0
"NCL",124827926666.667
"MKD",493794473333.333
"VUT",52637976666.6667
"NZL",1917412363333.33
"NIC",688616800000
"NER",283558210000
"NGA",15992974940000
"NOR",1560018296666.67
"PAK",77490930000
"PAN",715327416666.667
"CZE",1149317436666.67
"PNG",833062886666.667
"PRY",79881816666.6667
"PER",6496156486666.67
"PHL",17877144150000
"POL",3371120116666.67
"PRT",5534875566666.67
"GNB",60555730000
"TLS",76658120000
"ERI",174780656666.667
"QAT",573583370000
"ZWE",578085456666.667
"ROU",5802189683333.33
"RWA",392563070000
"RUS",1762836466666.67
"KNA",7032746666.66667
"LCA",45622153333.3333
"VCT",88581073333.3333
"STP",35427623333.3333
"SAU",12169748190000
"SEN",2307934030000
"SYC",22774333333.3333
"SLE",206326173333.333
"SVN",676857893333.333
"SVK",781281900000
"SGP",1430469250000
"SOM",1368186410000
"ZAF",6611448673333.33
"ESP",20884457843333.3
"SUR",87835536666.6667
"TJK",3663275666666.67
"SWZ",25519663333.3333
"SWE",1391647463333.33
"CHE",2447492046666.67
"SYR",2368009843333.33
"TKM",231194556666.667
"TWN",4870862180000
"TZA",3218589616666.67
"THA",13964426030000
"TGO",586534043333.333
"TON",20165893333.3333
"TTO",467566633333.333
"OMN",2653213053333.33
"TUN",6369799836666.67
"TUR",16433749063333.3
"ARE",6487630526666.67
"UGA",1223355753333.33
"TUV",2093656666.66667
"GBR",8613056486666.67
"UKR",182841700000
"USA",15329323240000
"BFA",883926020000
"URY",108698026666.667
"UZB",7896052186666.67
"VEN",4302184900000
"VNM",13273817193333.3
"ETH",3560158553333.33
"YEM",10663624880000
"COD",1188195253333.33
"ZMB",149820270000
"BEL",14887292510000
"LUX",482656773333.333
"SRB",185942350000
"MNE",324107443333.333
"SDN",7339375773333.33
"SSD",103486066666.667
"PSE",221974633333.333
