"","x"
"ARM",2919273333.33333
"AFG",339273333.333333
"ALB",7032066666.66667
"DZA",15745786666.6667
"ATG",11070000
"ARG",33094008473333.3
"AUS",61974651433333.4
"AUT",3583224550000
"BHS",46513333.3333333
"BHR",6299903333.33333
"BRB",23145186666.6667
"BGD",49380940000
"BMU",18050000
"BTN",0
"BOL",12702656666.6667
"BWA",1773020000
"BRA",3616907206666.67
"ARB",189373333.333333
"BLZ",13513333.3333333
"SLB",0
"BRN",676706666.666667
"BGR",13555166503333.3
"MMR",0
"BDI",39630906666.6667
"CMR",17112220000
"CAN",75861908760000
"CPV",439940000
"CAF",0
"LKA",274095730000
"TCD",0
"CHL",35688950000
"CHN",1020084623333.33
"COL",115826956666.667
"COM",0
"COG",0
"COK",0
"CRI",298714796666.667
"CUB",29136666.6666667
"CYP",43242530000
"AZE",3249813333.33333
"BEN",5186026666.66667
"DNK",3746007176666.67
"DMA",188540000
"DOM",0
"BLR",306717590000
"ECU",16136230000
"EGY",624964006666.667
"SLV",362009606666.667
"GNQ",0
"EST",1707048026666.67
"FRO",2490000
"FJI",104991483333.333
"FIN",933699030000
"FRA",62980877566666.7
"PYF",0
"DJI",25460000
"GEO",32888083333.3333
"GAB",2260886666.66667
"GMB",396146666.666667
"DEU",38835582826666.7
"BIH",456828153333.333
"GHA",236262516666.667
"KIR",2446666.66666667
"GRC",1553979560000
"GRL",0
"GRD",9140056666.66667
"GTM",363813910000
"GIN",1817460000
"GUY",10841036666.6667
"HTI",0
"HND",192593783333.333
"HKG",205746283333.333
"HUN",9427695396666.67
"HRV",1297033333333.33
"ISL",193720000
"IND",2692825466666.67
"IDN",724375706666.667
"IRN",1021586710000
"IRQ",0
"IRL",442622410000
"ISR",66365456666.6667
"ITA",10620681733333.3
"CIV",362329250000
"KAZ",21733939723333.3
"JAM",30199060000
"JPN",759612700000
"JOR",123059370000
"KGZ",5529703333.33333
"KEN",32854126666.6667
"KHM",3334460000
"PRK",0
"KOR",371181270000
"KWT",362284293333.333
"LVA",7282337833333.33
"LAO",0
"LBN",134581990000
"LSO",0
"LBR",0
"LBY",34889680000
"LTU",9869814943333.33
"MAC",2336476666.66667
"MDG",275096666.666667
"MWI",837490000
"MYS",1042257216666.67
"MDV",0
"MLI",5931303333.33333
"MLT",35187216666.6667
"MRT",55040000
"MUS",89822463333.3333
"MEX",5835824936666.67
"MNG",2389540000
"MAR",126875353333.333
"MOZ",0
"MDA",1866523426666.67
"NAM",9782963333.33333
"NPL",22600083333.3333
"NLD",3810228410000
"ANT",0
"NCL",28240000
"MKD",126646636666.667
"VUT",8590000
"NZL",112814563333.333
"NIC",56330696666.6667
"NER",18297900000
"NGA",22330710000
"NOR",34336413333.3333
"PAK",2199810166666.67
"PAN",52640016666.6667
"CZE",9580010986666.67
"PNG",534893333.333333
"PRY",2357205593333.33
"PER",338241853333.333
"PHL",261250823333.333
"POL",14399156850000
"PRT",607499653333.333
"GNB",0
"TLS",0
"ERI",0
"QAT",36705593333.3333
"ZWE",4346060000
"ROU",18506177040000
"RWA",203873333.333333
"RUS",90072761333333.3
"KNA",830000
"LCA",268196666.666667
"VCT",46980133333.3333
"STP",0
"SAU",440655710000
"SEN",76219176666.6667
"SYC",0
"SLE",23336666.6666667
"SVN",446358723333.333
"SVK",4633967373333.33
"SGP",262308700000
"SOM",0
"ZAF",866249453333.333
"ESP",3720878506666.67
"SUR",3249290000
"TJK",0
"SWZ",330010000
"SWE",3823267426666.67
"CHE",193725070000
"SYR",41519796666.6667
"TKM",0
"TWN",222629240000
"TZA",94888096666.6667
"THA",650987103333.333
"TGO",8812823333.33333
"TON",0
"TTO",49800013333.3333
"OMN",1012626540000
"TUN",318937543333.333
"TUR",15490333340000
"ARE",655257740000
"UGA",149017146666.667
"TUV",4893333.33333333
"GBR",8355108983333.33
"UKR",55750385066666.7
"USA",84670676683333.3
"BFA",740400000
"URY",583417123333.333
"UZB",0
"VEN",227193333.333333
"VNM",0
"ETH",17031833333.3333
"YEM",3627220000
"COD",2930860000
"ZMB",39572700000
"BEL",6.815719e+12
"LUX",393253300000
"SRB",2686840563333.33
"MNE",22590273333.3333
"SDN",0
"SSD",0
"PSE",0
