"iso3","Country.x","Year","Value"
"AFG","Afghanistan",1,25678046726666.7
"ALB","Albania",1,2244954316666.67
"ANT","Netherlands Antilles",1,0
"ARB","Aruba",1,21854226666.6667
"ARE","United Arab Emirates",1,4984599653033.33
"ARG","Argentina",1,32474409648333.3
"ARM","Armenia",1,2346497493050
"ATG","Antigua and Barbuda",1,3827623333.33333
"AUS","Australia",1,66013279609616.7
"AUT","Austria",1,7314198710333.33
"AZE","Azerbaijan",1,12002518063700
"BDI","Burundi",1,263240111666.667
"BEL","Belgium",1,15946477784466.7
"BEN","Benin",1,662761326666.667
"BFA","Burkina Faso",1,835518496666.667
"BGD","Bangladesh",1,24373116605000
"BGR","Bulgaria",1,9624501759266.67
"BHR","Bahrain",1,349646147033.333
"BHS","Bahamas",1,45859765000
"BIH","Bosnia and Herzegovina",1,2509493411666.67
"BLR","Belarus",1,11375390456583.3
"BLZ","Belize",1,72322763333.3333
"BMU","Bermuda",1,12388121666.6667
"BOL","Bolivia (Plurinational State of)",1,2815147974883.33
"BRA","Brazil",1,43812063575850
"BRB","Barbados",1,71034975000
"BRN","Brunei Darussalam",1,62994331666.6667
"BTN","Bhutan",1,86937997400
"BWA","Botswana",1,290893508333.333
"CAF","Central African Republic",1,43741716666.6667
"CAN","Canada",1,58239541834116.7
"CHE","Switzerland",1,2726436794800
"CHL","Chile",1,9833568407516.67
"CHN","China (mainland)",1,538648228971183
"CIV","Cote dIvoire",1,1867167368333.33
"CMR","Cameroon",1,2262534286666.67
"COD","Democratic Republic of the Congo",1,1268997080000
"COG","Congo",1,774631906666.667
"COK","Cook Islands",1,4443830000
"COL","Colombia",1,6520054453333.33
"COM","Comoros",1,45988650000
"CPV","Cape Verde",1,94329898333.3333
"CRI","Costa Rica",1,746092411216.667
"CUB","Cuba",1,2786048340000
"CYP","Cyprus",1,544966043466.667
"CZE","Czech Republic",1,10701484411666.7
"DEU","Germany",1,75906343660750
"DJI","Djibouti",1,1942971336666.67
"DMA","Dominica",1,7119650000
"DNK","Denmark",1,15669273665133.3
"DOM","Dominican Republic",1,1789512456666.67
"DZA","Algeria",1,42727415673266.7
"ECU","Ecuador",1,3503998013333.33
"EGY","Egypt",1,71631098588266.7
"ERI","Eritrea",1,375177016666.667
"ESP","Spain",1,46269021191150
"EST","Estonia",1,1430793850000
"ETH","Ethiopia",1,24321846406666.7
"FIN","Finland",1,3270271341800
"FJI","Fiji",1,409749888333.333
"FRA","France",1,86114034059433.3
"FRO","Faroe Islands",1,53099793333.3333
"GAB","Gabon",1,396667750000
"GBR","United Kingdom",1,57664532245150
"GEO","Georgia",1,2465728349133.33
"GHA","Ghana",1,2419792005000
"GIN","Guinea",1,981075135000
"GMB","Gambia",1,259010315000
"GNB","Guinea-Bissau",1,60555730000
"GNQ","Equatorial Guinea",1,104173803333.333
"GRC","Greece",1,8933390313333.33
"GRD","Grenada",1,52857220000
"GRL","Greenland",1,16593976666.6667
"GTM","Guatemala",1,2067451953333.33
"GUY","Guyana",1,210535360000
"HKG","Hong Kong SAR, China",1,1106166114250
"HND","Honduras",1,954475092316.667
"HRV","Croatia",1,2771536506666.67
