"iso3","Country.x","Year","Value"
"AFG","Afghanistan",0,339273333.333333
"ALB","Albania",0,10132250000
"ANT","Netherlands Antilles",0,0
"ARB","Aruba",0,190603333.333333
"ARE","United Arab Emirates",0,890038925000
"ARG","Argentina",0,32350246990000
"ARM","Armenia",0,2471511666.66667
"ATG","Antigua and Barbuda",0,16071506666.6667
"AUS","Australia",0,61453454426666.7
"AUT","Austria",0,3906900751666.67
"AZE","Azerbaijan",0,3249813333.33333
"BDI","Burundi",0,39635826666.6667
"BEL","Belgium",0,6560855545000
"BEN","Benin",0,3197680000
"BFA","Burkina Faso",0,578375000
"BGD","Bangladesh",0,48861513333.3333
"BGR","Bulgaria",0,13389775161666.7
"BHR","Bahrain",0,8840396666.66667
"BHS","Bahamas",0,59358333.3333333
"BIH","Bosnia and Herzegovina",0,453286175000
"BLR","Belarus",0,343383911666.667
"BLZ","Belize",0,13513333.3333333
"BMU","Bermuda",0,5187270000
"BOL","Bolivia (Plurinational State of)",0,16123231666.6667
"BRA","Brazil",0,3527212836666.67
"BRB","Barbados",0,22985543333.3333
"BRN","Brunei Darussalam",0,378216666.666667
"BTN","Bhutan",0,0
"BWA","Botswana",0,1535733333.33333
"CAF","Central African Republic",0,0
"CAN","Canada",0,75046108298333.3
"CHE","Switzerland",0,1789440105000
"CHL","Chile",0,34143606666.6667
"CHN","China (mainland)",0,1628859680000
"CIV","Cote dIvoire",0,312080390000
"CMR","Cameroon",0,17730401666.6667
"COD","Democratic Republic of the Congo",0,2930860000
"COG","Congo",0,0
"COK","Cook Islands",0,0
"COL","Colombia",0,120245200000
"COM","Comoros",0,0
"CPV","Cape Verde",0,451010000
"CRI","Costa Rica",0,290161351666.667
"CUB","Cuba",0,29136666.6666667
"CYP","Cyprus",0,122657550000
"CZE","Czech Republic",0,10566630595000
"DEU","Germany",0,38622312190000
"DJI","Djibouti",0,25460000
"DMA","Dominica",0,188540000
"DNK","Denmark",0,3869071235000
"DOM","Dominican Republic",0,23808536666.6667
"DZA","Algeria",0,31350561666.6667
"ECU","Ecuador",0,15765066666.6667
"EGY","Egypt",0,702285703333.333
"ERI","Eritrea",0,3640000
"ESP","Spain",0,3831507516666.67
"EST","Estonia",0,1728184160000
"ETH","Ethiopia",0,13751155000
"FIN","Finland",0,966302618333.333
"FJI","Fiji",0,104574428333.333
"FRA","France",0,63617971693333.3
"FRO","Faroe Islands",0,2490000
"GAB","Gabon",0,2260886666.66667
"GBR","United Kingdom",0,8469073341666.67
"GEO","Georgia",0,22861716666.6667
"GHA","Ghana",0,228065151666.667
"GIN","Guinea",0,1817460000
"GMB","Gambia",0,389395000
"GNB","Guinea-Bissau",0,0
"GNQ","Equatorial Guinea",0,0
"GRC","Greece",0,1493402643333.33
"GRD","Grenada",0,9140056666.66667
"GRL","Greenland",0,0
"GTM","Guatemala",0,357869123333.333
"GUY","Guyana",0,11643058333.3333
"HKG","Hong Kong SAR, China",0,195811971666.667
"HND","Honduras",0,191633801666.667
"HRV","Croatia",0,1269336678333.33
"HTI","Haiti",0,1710336666.66667
"HUN","Hungary",0,9801742826666.67
"IDN","Indonesia",0,769418751666.667
"IND","India",0,2879930185000
"IRL","Ireland",0,543343113333.333
"IRN","Iran (Islamic Republic of)",0,993184181666.667
"IRQ","Iraq",0,508253333.333333
"ISL","Iceland",0,365316666.666667
"ISR","Israel",0,68021996666.6667
"ITA","Italy",0,10150804885000
"JAM","Jamaica",0,30023598333.3333
"JOR","Jordan",0,97131978333.3333
"JPN","Japan",0,678212745000
"KAZ","Kazakhstan",0,21569854811666.7
"KEN","Kenya",0,25990413333.3333
"KGZ","Kyrgyzstan",0,11779808333.3333
"KHM","Cambodia",0,3145923333.33333
"KIR","Kiribati",0,2446666.66666667
"KNA","Saint Kitts and Nevis",0,830000
"KOR","Republic of Korea",0,434207963333.333
"KWT","Kuwait",0,349390415000
"LAO","Lao People's Democratic Republic",0,78850000
"LBN","Lebanon",0,139230231666.667
"LBR","Liberia",0,30350000
"LBY","Libya",0,34889680000
"LCA","Saint Lucia",0,315910000
"LKA","Sri Lanka",0,264672721666.667
