"iso3","Country.x","Year","Value"
"AFG","Afghanistan",1,3296243286666.67
"ALB","Albania",1,972568873333.333
"ANT","Netherlands Antilles",1,0
"ARB","Aruba",1,22044830000
"ARE","United Arab Emirates",1,5874638578033.33
"ARG","Argentina",1,21205098333.3333
"ARM","Armenia",1,929785191383.333
"ATG","Antigua and Barbuda",1,19899130000
"AUS","Australia",1,816315456283.333
"AUT","Austria",1,4302251608666.67
"AZE","Azerbaijan",1,4183304177033.33
"BDI","Burundi",1,205410285000
"BEL","Belgium",1,15847548122800
"BEN","Benin",1,665959006666.667
"BFA","Burkina Faso",1,836096871666.667
"BGD","Bangladesh",1,18412913978333.3
"BGR","Bulgaria",1,306289374266.667
"BHR","Bahrain",1,358486543700
"BHS","Bahamas",1,45919123333.3333
"BIH","Bosnia and Herzegovina",1,1700501180000
"BLR","Belarus",1,447356528250
"BLZ","Belize",1,72336276666.6667
"BMU","Bermuda",1,17575391666.6667
"BOL","Bolivia (Plurinational State of)",1,1189422628333.33
"BRA","Brazil",1,21391130372516.7
"BRB","Barbados",1,94020518333.3333
"BRN","Brunei Darussalam",1,63372548333.3333
"BTN","Bhutan",1,9712744066.66667
"BWA","Botswana",1,292429241666.667
"CAF","Central African Republic",1,43741716666.6667
"CAN","Canada",1,2594224559116.67
"CHE","Switzerland",1,2430993233133.33
"CHL","Chile",1,3728527040850
"CHN","China (mainland)",1,12326958197850
"CIV","Cote dIvoire",1,2179247758333.33
"CMR","Cameroon",1,2230530975000
"COD","Democratic Republic of the Congo",1,1188195253333.33
"COG","Congo",1,774631906666.667
"COK","Cook Islands",1,4443830000
"COL","Colombia",1,6524415013333.33
"COM","Comoros",1,45988650000
"CPV","Cape Verde",1,94780908333.3333
"CRI","Costa Rica",1,1036253762883.33
"CUB","Cuba",1,2786077476666.67
"CYP","Cyprus",1,506442986800
"CZE","Czech Republic",1,1078978440000
"DEU","Germany",1,19432588897416.7
"DJI","Djibouti",1,1942996796666.67
"DMA","Dominica",1,7308190000
"DNK","Denmark",1,1612672893466.67
"DOM","Dominican Republic",1,1813320993333.33
"DZA","Algeria",1,27654534734933.3
"ECU","Ecuador",1,3451049260000
"EGY","Egypt",1,37078375011600
"ERI","Eritrea",1,174780656666.667
"ESP","Spain",1,21456208861150
"EST","Estonia",1,260981363333.333
"ETH","Ethiopia",1,3035738428333.33
"FIN","Finland",1,462586606800
"FJI","Fiji",1,514324316666.667
"FRA","France",1,8002184119433.33
"FRO","Faroe Islands",1,53102283333.3333
"GAB","Gabon",1,398928636666.667
"GBR","United Kingdom",1,8950074580150
"GEO","Georgia",1,1858585905800
"GHA","Ghana",1,2647857156666.67
"GIN","Guinea",1,982892595000
"GMB","Gambia",1,259399710000
"GNB","Guinea-Bissau",1,60555730000
"GNQ","Equatorial Guinea",1,104173803333.333
"GRC","Greece",1,3781856276666.67
"GRD","Grenada",1,61997276666.6667
"GRL","Greenland",1,16593976666.6667
"GTM","Guatemala",1,2351045043333.33
"GUY","Guyana",1,222178418333.333
"HKG","Hong Kong SAR, China",1,1301978085916.67
"HND","Honduras",1,1116146867316.67
"HRV","Croatia",1,684753231666.667
"HTI","Haiti",1,1039144523333.33
"HUN","Hungary",1,1055371948333.33
"IDN","Indonesia",1,33041578931666.7
"IND","India",1,8562626999133.33
"IRL","Ireland",1,2470463286666.67
"IRN","Iran (Islamic Republic of)",1,5426184200033.33
"IRQ","Iraq",1,7777332840933.33
"ISL","Iceland",1,180971315000
"ISR","Israel",1,5704038060000
"ITA","Italy",1,24886001711566.7
"JAM","Jamaica",1,644511273333.333
"JOR","Jordan",1,3904389670066.67
"JPN","Japan",1,20046249447366.7
"KAZ","Kazakhstan",1,420123426666.667
"KEN","Kenya",1,5749962170000
"KGZ","Kyrgyzstan",1,261771984816.667
"KHM","Cambodia",1,196841106666.667
"KIR","Kiribati",1,16082096666.6667
"KNA","Saint Kitts and Nevis",1,6894980000
"KOR","Republic of Korea",1,14908601390000
"KWT","Kuwait",1,1683589518200
"LAO","Lao People's Democratic Republic",1,52146376666.6667
"LBN","Lebanon",1,3356534230000
"LBR","Liberia",1,231958933333.333
"LBY","Libya",1,4530142246666.67
"LCA","Saint Lucia",1,44948308333.3333
"LKA","Sri Lanka",1,3537382321666.67
"LSO","Lesotho",1,162959046666.667
"LTU","Lithuania",1,609599860283.333
"LUX","Luxembourg",1,517982475000
"LVA","Latvia",1,2208751404866.67
"MAC","Macao SAR, China",1,103134363333.333
"MAR","Morocco",1,14619769091666.7
"MDA","Republic of Moldova",1,179686860600
"MDG","Madagascar",1,692811875000
"MDV","Maldives",1,113198823333.333
"MEX","Mexico",1,16432716170350
"MKD","The former Yugoslav Republic of Macedonia",1,521096468333.333
"MLI","Mali",1,1123000832533.33
"MLT","Malta",1,223667571666.667
"MMR","Myanmar",1,1584785900000
"MNE","Montenegro",1,326738536666.667
"MNG","Mongolia",1,320587419150
"MOZ","Mozambique",1,2266806553333.33
"MRT","Mauritania",1,1876873261666.67
"MUS","Mauritius",1,587463685000
"MWI","Malawi",1,699146545000
"MYS","Malaysia",1,5667942273466.67
"NAM","Namibia",1,445845841666.667
"NCL","New Caledonia",1,125325200000
"NER","Niger",1,254089591666.667
"NGA","Nigeria",1,15993075800000
"NIC","Nicaragua",1,664408373333.333
"NLD","Netherlands",1,21504268543000
"NOR","Norway",1,1564702155433.33
"NPL","Nepal",1,566513951666.667
"NZL","New Zealand",1,1920847589900
"OMN","Oman",1,2545806417933.33
"PAK","Pakistan",1,58304083333.3333
"PAN","Panama",1,715346573333.333
"PER","Peru",1,6482820926600
"PHL","Philippines",1,16982196696666.7
"PNG","Papua New Guinea",1,833070260000
"POL","Poland",1,3409925691000
"PRK","Democratic People's Republic of Korea",1,2.66561e+11
"PRT","Portugal",1,5586940598333.33
"PRY","Paraguay",1,77830619133.3333
"PSE","Occupied Palestinian Territory",1,221974633333.333
"PYF","French Polynesia",1,83677483333.3333
"QAT","Qatar",1,706676526366.667
"ROU","Romania",1,5663624739933.33
"RUS","Russian Federation",1,1007230741533.33
"RWA","Rwanda",1,392563070000
"SAU","Saudi Arabia",1,11222388594400
"SDN","Sudan",1,7339375773333.33
"SEN","Senegal",1,2229727675000
"SGP","Singapore",1,1463554008833.33
"SLB","Solomon Islands",1,61005763333.3333
"SLE","Sierra Leone",1,206326173333.333
"SLV","El Salvador",1,1137294261666.67
"SOM","Somalia",1,1368186410000
"SRB","Serbia",1,134934481666.667
"SSD","South Sudan",1,103486066666.667
"STP","Sao Tome and Principe",1,34566405000
"SUR","Suriname",1,86447260000
"SVK","Slovakia",1,777581121666.667
"SVN","Slovenia",1,785682500000
"SWE","Sweden",1,1361528670000
"SWZ","Swaziland",1,71855526666.6667
"SYC","Seychelles",1,23111940000
"SYR","Syrian Arab Republic",1,2368009843333.33
"TCD","Chad",1,173075140000
"TGO","Togo",1,514181598333.333
"THA","Thailand",1,14054415776883.3
"TJK","Tajikistan",1,674939616266.667
"TKM","Turkmenistan",1,122250253433.333
"TLS","Timor-Leste",1,76658120000
"TON","Tonga",1,20165893333.3333
"TTO","Trinidad and Tobago",1,456635269033.333
"TUN","Tunisia",1,6563086682533.33
"TUR","Turkey",1,15686357924000
"TUV","Tuvalu",1,2093656666.66667
"TWN","Taiwan",1,4827249584266.67
"TZA","United Republic of Tanzania",1,2957563220000
"UGA","Uganda",1,1667158230000
"UKR","Ukraine",1,158954774416.667
"URY","Uruguay",1,102038217333.333
"USA","United States of America",1,15515298618166.7
"UZB","Uzbekistan",1,1384377490666.67
"VCT","Saint Vincent and the Grenadines",1,93678668266.6667
"VEN","Venezuela (Bolivarian Republic of)",1,4302092464933.33
"VNM","Viet Nam",1,13273151865333.3
"VUT","Vanuatu",1,52642896666.6667
"YEM","Yemen",1,10663632260000
"ZAF","South Africa",1,6030462574933.33
"ZMB","Zambia",1,172260741666.667
"ZWE","Zimbabwe",1,868357400000
