"iso3","Country","Year","Value"
"AFG","Afghanistan",1,76953970000
"ALB","Albania",1,60163828333.3333
"ANT","Netherlands Antilles",1,0
"ARB","Aruba",1,0
"ARE","United Arab Emirates",1,2368378288333.33
"ARG","Argentina",1,175401776666.667
"ARM","Armenia",1,51958640000
"ATG","Antigua and Barbuda",1,765040000
"AUS","Australia",1,67894013750
"AUT","Austria",1,3859755197500
"AZE","Azerbaijan",1,445504518333.333
"BDI","Burundi",1,74159229444.4444
"BEL","Belgium",1,5509364168333.33
"BEN","Benin",1,12448446666.6667
"BFA","Burkina Faso",1,54530142500
"BGD","Bangladesh",1,3268857277500
"BGR","Bulgaria",1,213390988333.333
"BHR","Bahrain",1,95413190000
"BHS","Bahamas",1,15145126666.6667
"BIH","Bosnia and Herzegovina",1,228517372916.667
"BLR","Belarus",1,117985895000
"BLZ","Belize",1,6085939166.66667
"BMU","Bermuda",1,0
"BOL","Bolivia (Plurinational State of)",1,219404803333.333
"BRA","Brazil",1,5581814436666.67
"BRB","Barbados",1,117204690000
"BRN","Brunei Darussalam",1,121213117500
"BTN","Bhutan",1,834592500
"BWA","Botswana",1,738525437777.778
"CAF","Central African Republic",1,2744325000
"CAN","Canada",1,4095971813750
"CHE","Switzerland",1,646762014583.333
"CHL","Chile",1,5193941096666.67
"CHN","China (mainland)",1,7529529896666.67
"CIV","Cote dIvoire",1,97646963333.3333
"CMR","Cameroon",1,181968586388.889
"COD","Democratic Republic of the Congo",1,248721043055.556
"COG","Congo",1,43133775000
"COK","Cook Islands",1,75910000
"COL","Colombia",1,16358765820000
"COM","Comoros",1,1171500000
"CPV","Cape Verde",1,105336750000
"CRI","Costa Rica",1,2993895680000
"CUB","Cuba",1,3198866666666.67
"CYP","Cyprus",1,679434021666.667
"CZE","Czech Republic",1,504825498750
"DEU","Germany",1,9112299043333.33
"DJI","Djibouti",1,8002336666.66667
"DMA","Dominica",1,537670000
"DNK","Denmark",1,609532020000
"DOM","Dominican Republic",1,4639892175833.33
"DZA","Algeria",1,14491199596666.7
"ECU","Ecuador",1,332539503333.333
"EGY","Egypt",1,26038724530833.3
"ERI","Eritrea",1,761946666.666667
"ESP","Spain",1,21047513930833.3
"EST","Estonia",1,48940993333.3333
"ETH","Ethiopia",1,18641174444.4444
"FIN","Finland",1,438929560000
"FJI","Fiji",1,16550159166.6667
"FRA","France",1,2279652331944.44
"FRO","Faroe Islands",1,97766666.6666667
"GAB","Gabon",1,23566200000
"GBR","United Kingdom",1,4421898951944.44
"GEO","Georgia",1,340160520000
"GHA","Ghana",1,214781773611.111
"GIN","Guinea",1,24396480833.3333
"GMB","Gambia",1,3636408333.33333
"GNB","Guinea-Bissau",1,330503333.333333
"GNQ","Equatorial Guinea",1,271038333.333333
"GRC","Greece",1,2215287481666.67
"GRD","Grenada",1,13421660000
"GRL","Greenland",1,0
"GTM","Guatemala",1,3605347523333.33
"GUY","Guyana",1,121059381666.667
"HKG","Hong Kong SAR, China",1,259152980000
"HND","Honduras",1,2055320986666.67
"HRV","Croatia",1,237197357500
"HTI","Haiti",1,87487003333.3333
"HUN","Hungary",1,438331873333.333
"IDN","Indonesia",1,6000721746666.67
"IND","India",1,267441063333.333
"IRL","Ireland",1,4201345057500
"IRN","Iran (Islamic Republic of)",1,21339019112500
"IRQ","Iraq",1,1232824715000
"ISL","Iceland",1,67943750000
"ISR","Israel",1,3624074122916.67
"ITA","Italy",1,14090280342500
"JAM","Jamaica",1,1034940393333.33
"JOR","Jordan",1,2977114558333.33
"JPN","Japan",1,53661695130833.3
"KAZ","Kazakhstan",1,27677001666.6667
"KEN","Kenya",1,2062903667222.22
"KGZ","Kyrgyzstan",1,6604823333.33333
"KHM","Cambodia",1,42903072500
"KIR","Kiribati",1,28783333.3333333
"KNA","Saint Kitts and Nevis",1,408230000
"KOR","Republic of Korea",1,32721309745000
"KWT","Kuwait",1,852111304166.667
"LAO","Lao People's Democratic Republic",1,4250001666.66667
"LBN","Lebanon",1,2467299931666.67
"LBR","Liberia",1,7336005833.33333
"LBY","Libya",1,2231441270000
"LCA","Saint Lucia",1,9761250000
"LKA","Sri Lanka",1,242845285833.333
"LSO","Lesotho",1,726495933333.333
"LTU","Lithuania",1,222878311666.667
"LUX","Luxembourg",1,31160016666.6667
"LVA","Latvia",1,270386466666.667
"MAC","Macao SAR, China",1,5117410000
"MAR","Morocco",1,7658751382500
"MDA","Republic of Moldova",1,19038518333.3333
"MDG","Madagascar",1,33222295000
"MDV","Maldives",1,2458459166.66667
"MEX","Mexico",1,49791615370000
"MKD","The former Yugoslav Republic of Macedonia",1,56673217916.6667
"MLI","Mali",1,7237234166.66667
"MLT","Malta",1,133393850000
"MMR","Myanmar",1,31281660000
"MNE","Montenegro",1,14907230833.3333
"MNG","Mongolia",1,16756858333.3333
"MOZ","Mozambique",1,663372238611.111
"MRT","Mauritania",1,17143893333.3333
"MUS","Mauritius",1,381524038611.111
"MWI","Malawi",1,173133683333.333
"MYS","Malaysia",1,13343998170000
"NAM","Namibia",1,647087755000
"NCL","New Caledonia",1,10386186666.6667
"NER","Niger",1,214541210000
"NGA","Nigeria",1,1072524935277.78
"NIC","Nicaragua",1,1155236146666.67
"NLD","Netherlands",1,16142431638333.3
"NOR","Norway",1,282481823333.333
"NPL","Nepal",1,878869006666.667
"NZL","New Zealand",1,333337742500
"OMN","Oman",1,967004934166.667
"PAK","Pakistan",1,84552591944.4444
"PAN","Panama",1,1699363205000
"PER","Peru",1,10132466216666.7
"PHL","Philippines",1,2267010150000
"PNG","Papua New Guinea",1,14780570000
"POL","Poland",1,971191110833.333
"PRK","Democratic People's Republic of Korea",1,15185030833.3333
"PRT","Portugal",1,4820239976666.67
"PRY","Paraguay",1,41706006666.6667
"PSE","Occupied Palestinian Territory",1,3812963333.33333
"PYF","French Polynesia",1,10331070000
"QAT","Qatar",1,106026715000
"ROU","Romania",1,3496537273333.33
"RUS","Russian Federation",1,159869278333.333
"RWA","Rwanda",1,254693140000
"SAU","Saudi Arabia",1,12827087097777.8
"SDN","Sudan",1,53174947500
"SEN","Senegal",1,887054265833.333
"SGP","Singapore",1,380719902500
"SLB","Solomon Islands",1,887586666.666667
"SLE","Sierra Leone",1,2350180833.33333
"SLV","El Salvador",1,2294584660000
"SOM","Somalia",1,65027421666.6667
"SRB","Serbia",1,43327793333.3333
"SSD","South Sudan",1,299495720000
"STP","Sao Tome and Principe",1,2732426666.66667
"SUR","Suriname",1,33147910000
"SVK","Slovakia",1,363128065000
"SVN","Slovenia",1,497645665000
"SWE","Sweden",1,157548640416.667
"SWZ","Swaziland",1,422221667777.778
"SYC","Seychelles",1,5079791666.66667
"SYR","Syrian Arab Republic",1,777613750000
"TCD","Chad",1,29253333.3333333
"TGO","Togo",1,3173713333.33333
"THA","Thailand",1,195686081666.667
"TJK","Tajikistan",1,2787916666.66667
"TKM","Turkmenistan",1,4872043333.33333
"TLS","Timor-Leste",1,421400000
"TON","Tonga",1,72263333.3333333
"TTO","Trinidad and Tobago",1,351427206666.667
"TUN","Tunisia",1,2907085401666.67
"TUR","Turkey",1,7206357541250
"TUV","Tuvalu",1,2420000
"TWN","Taiwan",1,15039290209166.7
"TZA","United Republic of Tanzania",1,266742510000
"UGA","Uganda",1,14290399722.2222
"UKR","Ukraine",1,122965258333.333
"URY","Uruguay",1,766518080000
"USA","United States of America",1,4837130859583.33
"UZB","Uzbekistan",1,206304888333.333
"VCT","Saint Vincent and the Grenadines",1,22918306666.6667
"VEN","Venezuela (Bolivarian Republic of)",1,6068542690000
"VNM","Viet Nam",1,27735624176666.7
"VUT","Vanuatu",1,133503333.333333
"YEM","Yemen",1,2150300595277.78
"ZAF","South Africa",1,5545832500555.56
"ZMB","Zambia",1,23268455000
"ZWE","Zimbabwe",1,1464949804722.22
