"iso3","Country","Year","Value"
"AFG","Afghanistan",1,76876836666.6667
"ALB","Albania",1,59619148333.3333
"ANT","Netherlands Antilles",1,0
"ARB","Aruba",1,0
"ARE","United Arab Emirates",1,1831629561666.67
"ARG","Argentina",1,175401776666.667
"ARM","Armenia",1,51451293333.3333
"ATG","Antigua and Barbuda",1,765040000
"AUS","Australia",1,67181207083.3333
"AUT","Austria",1,3859740957500
"AZE","Azerbaijan",1,444903591666.667
"BDI","Burundi",1,74128376111.1111
"BEL","Belgium",1,5507785901666.67
"BEN","Benin",1,10477393333.3333
"BFA","Burkina Faso",1,54329595833.3333
"BGD","Bangladesh",1,3224584524166.67
"BGR","Bulgaria",1,212801808333.333
"BHR","Bahrain",1,87035323333.3333
"BHS","Bahamas",1,15145126666.6667
"BIH","Bosnia and Herzegovina",1,227924632916.667
"BLR","Belarus",1,117970468333.333
"BLZ","Belize",1,6085939166.66667
"BMU","Bermuda",1,0
"BOL","Bolivia (Plurinational State of)",1,115574113333.333
"BRA","Brazil",1,4384039483333.33
"BRB","Barbados",1,117200270000
"BRN","Brunei Darussalam",1,76549950833.3333
"BTN","Bhutan",1,834592500
"BWA","Botswana",1,738525437777.778
"CAF","Central African Republic",1,2744325000
"CAN","Canada",1,4095806575416.67
"CHE","Switzerland",1,646762014583.333
"CHL","Chile",1,3983320888333.33
"CHN","China (mainland)",1,7529467003333.33
"CIV","Cote dIvoire",1,86810916666.6667
"CMR","Cameroon",1,142546926388.889
"COD","Democratic Republic of the Congo",1,214597426388.889
"COG","Congo",1,36675935000
"COK","Cook Islands",1,75910000
"COL","Colombia",1,16335519613333.3
"COM","Comoros",1,1171500000
"CPV","Cape Verde",1,71258650000
"CRI","Costa Rica",1,2992642173333.33
"CUB","Cuba",1,2083541213333.33
"CYP","Cyprus",1,678929688333.333
"CZE","Czech Republic",1,502219578750
"DEU","Germany",1,9111597723333.33
"DJI","Djibouti",1,7282623333.33333
"DMA","Dominica",1,537670000
"DNK","Denmark",1,606840066666.667
"DOM","Dominican Republic",1,4314256962500
"DZA","Algeria",1,9478364190000
"ECU","Ecuador",1,243235570000
"EGY","Egypt",1,21516801257500
"ERI","Eritrea",1,655146666.666667
"ESP","Spain",1,20952438940833.3
