"iso3","Country","Year","Value"
"AFG","Afghanistan",1,1027842926666.67
"ALB","Albania",1,1573266653333.33
"ANT","Netherlands Antilles",1,0
"ARB","Aruba",1,0
"ARE","United Arab Emirates",1,1469884286666.67
"ARG","Argentina",1,66300997213458.7
"ARM","Armenia",1,115851803333.333
"ATG","Antigua and Barbuda",1,1035600000
"AUS","Australia",1,1381382037500
"AUT","Austria",1,9893486573640
"AZE","Azerbaijan",1,1241829556666.67
"BDI","Burundi",1,812676553333.333
"BEL","Belgium",1,6979935698346.67
"BEN","Benin",1,4895924163333.33
"BFA","Burkina Faso",1,5356884593333.33
"BGD","Bangladesh",1,12555773093333.3
"BGR","Bulgaria",1,5684431447840
"BHR","Bahrain",1,88369513333.3333
"BHS","Bahamas",1,17339273333.3333
"BIH","Bosnia and Herzegovina",1,3899877410000
"BLR","Belarus",1,2132070993333.33
"BLZ","Belize",1,227419803333.333
"BMU","Bermuda",1,0
"BOL","Bolivia (Plurinational State of)",1,3532390446666.67
"BRA","Brazil",1,175803246245861
"BRB","Barbados",1,114789626666.667
"BRN","Brunei Darussalam",1,77693123333.3333
"BTN","Bhutan",1,309409976666.667
"BWA","Botswana",1,741799873333.333
"CAF","Central African Republic",1,314612796666.667
"CAN","Canada",1,48515878447332
"CHE","Switzerland",1,1171234826666.67
"CHL","Chile",1,8461837048333.33
"CHN","China (mainland)",1,944219343302456
"CIV","Cote dIvoire",1,3671952863333.33
"CMR","Cameroon",1,7830042883333.33
"COD","Democratic Republic of the Congo",1,7696168833333.33
"COG","Congo",1,80196026666.6667
"COK","Cook Islands",1,75910000
"COL","Colombia",1,21145166093333.3
"COM","Comoros",1,24379140000
"CPV","Cape Verde",1,88243176666.6667
"CRI","Costa Rica",1,3018184973333.33
"CUB","Cuba",1,3437952706666.67
"CYP","Cyprus",1,793871523333.333
"CZE","Czech Republic",1,1830716758520
"DEU","Germany",1,23638183362000
"DJI","Djibouti",1,7734743333.33333
"DMA","Dominica",1,854016666.666667
"DNK","Denmark",1,523213842000
"DOM","Dominican Republic",1,4456370296666.67
"DZA","Algeria",1,9719049320000
"ECU","Ecuador",1,5464862586666.67
"EGY","Egypt",1,54840823876666.7
"ERI","Eritrea",1,71884813333.3333
"ESP","Spain",1,39890543323053.3
"EST","Estonia",1,49932340000
"ETH","Ethiopia",1,32550370345973.3
"FIN","Finland",1,439119590000
"FJI","Fiji",1,19998346666.6667
"FRA","France",1,32315423775573.3
"FRO","Faroe Islands",1,97766666.6666667
"GAB","Gabon",1,182201580000
"GBR","United Kingdom",1,3900367326666.67
"GEO","Georgia",1,992993113333.333
"GHA","Ghana",1,6599602863333.33
"GIN","Guinea",1,2910447841666.67
"GMB","Gambia",1,108019548333.333
"GNB","Guinea-Bissau",1,22877170000
"GNQ","Equatorial Guinea",1,271643333.333333
"GRC","Greece",1,8612903176226.67
"GRD","Grenada",1,14610493333.3333
"GRL","Greenland",1,0
"GTM","Guatemala",1,10305642646666.7
"GUY","Guyana",1,135286810000
"HKG","Hong Kong SAR, China",1,355792029166.667
"HND","Honduras",1,4281622020000
"HRV","Croatia",1,6037571849173.33
"HTI","Haiti",1,987019838333.333
"HUN","Hungary",1,16193443040800
"IDN","Indonesia",1,90300606620000
"IND","India",1,92710265096626.7
"IRL","Ireland",1,4676328046666.67
"IRN","Iran (Islamic Republic of)",1,26967941130000
"IRQ","Iraq",1,1836662436666.67
"ISL","Iceland",1,67943750000
"ISR","Israel",1,5442579146666.67
"ITA","Italy",1,40138507210000
"JAM","Jamaica",1,1040503570000
"JOR","Jordan",1,2075598103333.33
"JPN","Japan",1,53954441044166.7
"KAZ","Kazakhstan",1,2640543176666.67
"KEN","Kenya",1,14638871956666.7
"KGZ","Kyrgyzstan",1,2313434773333.33
"KHM","Cambodia",1,2120238466666.67
"KIR","Kiribati",1,28783333.3333333
"KNA","Saint Kitts and Nevis",1,408230000
"KOR","Republic of Korea",1,31486063959166.7
"KWT","Kuwait",1,731020833333.333
"LAO","Lao People's Democratic Republic",1,5063160708333.33
"LBN","Lebanon",1,2893619656666.67
"LBR","Liberia",1,19590283333.3333
"LBY","Libya",1,2918088723333.33
"LCA","Saint Lucia",1,9741636666.66667
"LKA","Sri Lanka",1,1103510576666.67
"LSO","Lesotho",1,1032042426666.67
"LTU","Lithuania",1,397638584493.333
"LUX","Luxembourg",1,8828030440
"LVA","Latvia",1,100925943333.333
"MAC","Macao SAR, China",1,6282816666.66667
"MAR","Morocco",1,6163725160000
"MDA","Republic of Moldova",1,4132907246666.67
"MDG","Madagascar",1,1125283823333.33
"MDV","Maldives",1,3002313333.33333
"MEX","Mexico",1,152764162924007
"MKD","The former Yugoslav Republic of Macedonia",1,712645453333.333
"MLI","Mali",1,10294132483333.3
"MLT","Malta",1,140017323333.333
"MMR","Myanmar",1,6546117823333.33
"MNE","Montenegro",1,120503800000
"MNG","Mongolia",1,17065636666.6667
"MOZ","Mozambique",1,5045704763333.33
"MRT","Mauritania",1,51521626666.6667
"MUS","Mauritius",1,221661036666.667
"MWI","Malawi",1,10215999083333.3
"MYS","Malaysia",1,10176692430000
"NAM","Namibia",1,817379953333.333
"NCL","New Caledonia",1,39675166666.6667
"NER","Niger",1,346788683333.333
"NGA","Nigeria",1,39881216756666.7
"NIC","Nicaragua",1,2467129373333.33
"NLD","Netherlands",1,17563182632746.7
"NOR","Norway",1,282931056666.667
"NPL","Nepal",1,9080436674166.67
"NZL","New Zealand",1,1054867120000
"OMN","Oman",1,698081700000
"PAK","Pakistan",1,20437897026666.7
"PAN","Panama",1,1964227963333.33
"PER","Peru",1,15605082853333.3
"PHL","Philippines",1,29048202103333.3
"PNG","Papua New Guinea",1,194693236666.667
"POL","Poland",1,12385609394373.3
"PRK","Democratic People's Republic of Korea",1,7973971545833.33
"PRT","Portugal",1,8917613955880
"PRY","Paraguay",1,9484599526666.66
"PSE","Occupied Palestinian Territory",1,9007463333.33333
"PYF","French Polynesia",1,10331070000
"QAT","Qatar",1,112632250000
"ROU","Romania",1,36201133395213.3
"RUS","Russian Federation",1,32559155633333.3
"RWA","Rwanda",1,1468295613333.33
"SAU","Saudi Arabia",1,10669551263333.3
"SDN","Sudan",1,190839646666.667
"SEN","Senegal",1,1724819910000
"SGP","Singapore",1,269709530000
"SLB","Solomon Islands",1,504293333.333333
"SLE","Sierra Leone",1,69842950000
"SLV","El Salvador",1,5120001233333.33
"SOM","Somalia",1,424334927333.333
"SRB","Serbia",1,13044384406666.7
"SSD","South Sudan",1,981118968666.667
"STP","Sao Tome and Principe",1,5303933333.33333
"SUR","Suriname",1,32922613333.3333
"SVK","Slovakia",1,3185698906706.67
"SVN","Slovenia",1,664847894666.667
"SWE","Sweden",1,146912010000
"SWZ","Swaziland",1,656132903333.333
"SYC","Seychelles",1,6367096666.66667
"SYR","Syrian Arab Republic",1,1315528756666.67
"TCD","Chad",1,1411907453333.33
"TGO","Togo",1,2939982636666.67
"THA","Thailand",1,15396614189166.7
"TJK","Tajikistan",1,746922850000
"TKM","Turkmenistan",1,186163640000
"TLS","Timor-Leste",1,376767986666.667
"TON","Tonga",1,72263333.3333333
"TTO","Trinidad and Tobago",1,363794446666.667
"TUN","Tunisia",1,3816582453333.33
"TUR","Turkey",1,28528756630000
"TUV","Tuvalu",1,2420000
"TWN","Taiwan",1,15505279866666.7
"TZA","United Republic of Tanzania",1,22303553603333.3
"UGA","Uganda",1,8128551033333.33
"UKR","Ukraine",1,20422929617125.3
"URY","Uruguay",1,2445611025000
"USA","United States of America",1,1174720759000893
"UZB","Uzbekistan",1,1775732223333.33
"VCT","Saint Vincent and the Grenadines",1,26116373333.3333
"VEN","Venezuela (Bolivarian Republic of)",1,10659814763333.3
"VNM","Viet Nam",1,39772388816666.7
"VUT","Vanuatu",1,3294783333.33333
"YEM","Yemen",1,1242404957909.33
"ZAF","South Africa",1,45063312991461.3
"ZMB","Zambia",1,10819351166666.7
"ZWE","Zimbabwe",1,4230892653333.33
