"","AFG.1","ALB.1","ANT.1","ARB.1","ARE.1","ARG.1","ARM.1","ATG.1","AUS.1","AUT.1","AZE.1","BDI.1","BEL.1","BEN.1","BFA.1","BGD.1","BGR.1","BHR.1","BHS.1","BIH.1","BLR.1","BLZ.1","BMU.1","BOL.1","BRA.1","BRB.1","BRN.1","BTN.1","BWA.1","CAF.1","CAN.1","CHE.1","CHL.1","CHN.1","CIV.1","CMR.1","COD.1","COG.1","COK.1","COL.1","COM.1","CPV.1","CRI.1","CUB.1","CYP.1","CZE.1","DEU.1","DJI.1","DMA.1","DNK.1","DOM.1","DZA.1","ECU.1","EGY.1","ERI.1","ESP.1","EST.1","ETH.1","FIN.1","FJI.1","FRA.1","FRO.1","GAB.1","GBR.1","GEO.1","GHA.1","GIN.1","GMB.1","GNB.1","GNQ.1","GRC.1","GRD.1","GRL.1","GTM.1","GUY.1","HKG.1","HND.1","HRV.1","HTI.1","HUN.1","IDN.1","IND.1","IRL.1","IRN.1","IRQ.1","ISL.1","ISR.1","ITA.1","JAM.1","JOR.1","JPN.1","KAZ.1","KEN.1","KGZ.1","KHM.1","KIR.1","KNA.1","KOR.1","KWT.1","LAO.1","LBN.1","LBR.1","LBY.1","LCA.1","LKA.1","LSO.1","LTU.1","LUX.1","LVA.1","MAC.1","MAR.1","MDA.1","MDG.1","MDV.1","MEX.1","MKD.1","MLI.1","MLT.1","MMR.1","MNE.1","MNG.1","MOZ.1","MRT.1","MUS.1","MWI.1","MYS.1","NAM.1","NCL.1","NER.1","NGA.1","NIC.1","NLD.1","NOR.1","NPL.1","NZL.1","OMN.1","PAK.1","PAN.1","PER.1","PHL.1","PNG.1","POL.1","PRK.1","PRT.1","PRY.1","PSE.1","PYF.1","QAT.1","ROU.1","RUS.1","RWA.1","SAU.1","SDN.1","SEN.1","SGP.1","SLB.1","SLE.1","SLV.1","SOM.1","SRB.1","SSD.1","STP.1","SUR.1","SVK.1","SVN.1","SWE.1","SWZ.1","SYC.1","SYR.1","TCD.1","TGO.1","THA.1","TJK.1","TKM.1","TLS.1","TON.1","TTO.1","TUN.1","TUR.1","TUV.1","TWN.1","TZA.1","UGA.1","UKR.1","URY.1","USA.1","UZB.1","VCT.1","VEN.1","VNM.1","VUT.1","YEM.1","ZAF.1","ZMB.1","ZWE.1","AFG.2","ALB.2","ANT.2","ARB.2","ARE.2","ARG.2","ARM.2","ATG.2","AUS.2","AUT.2","AZE.2","BDI.2","BEL.2","BEN.2","BFA.2","BGD.2","BGR.2","BHR.2","BHS.2","BIH.2","BLR.2","BLZ.2","BMU.2","BOL.2","BRA.2","BRB.2","BRN.2","BTN.2","BWA.2","CAF.2","CAN.2","CHE.2","CHL.2","CHN.2","CIV.2","CMR.2","COD.2","COG.2","COK.2","COL.2","COM.2","CPV.2","CRI.2","CUB.2","CYP.2","CZE.2","DEU.2","DJI.2","DMA.2","DNK.2","DOM.2","DZA.2","ECU.2","EGY.2","ERI.2","ESP.2","EST.2","ETH.2","FIN.2","FJI.2","FRA.2","FRO.2","GAB.2","GBR.2","GEO.2","GHA.2","GIN.2","GMB.2","GNB.2","GNQ.2","GRC.2","GRD.2","GRL.2","GTM.2","GUY.2","HKG.2","HND.2","HRV.2","HTI.2","HUN.2","IDN.2","IND.2","IRL.2","IRN.2","IRQ.2","ISL.2","ISR.2","ITA.2","JAM.2","JOR.2","JPN.2","KAZ.2","KEN.2","KGZ.2","KHM.2","KIR.2","KNA.2","KOR.2","KWT.2","LAO.2","LBN.2","LBR.2","LBY.2","LCA.2","LKA.2","LSO.2","LTU.2","LUX.2","LVA.2","MAC.2","MAR.2","MDA.2","MDG.2","MDV.2","MEX.2","MKD.2","MLI.2","MLT.2","MMR.2","MNE.2","MNG.2","MOZ.2","MRT.2","MUS.2","MWI.2","MYS.2","NAM.2","NCL.2","NER.2","NGA.2","NIC.2","NLD.2","NOR.2","NPL.2","NZL.2","OMN.2","PAK.2","PAN.2","PER.2","PHL.2","PNG.2","POL.2","PRK.2","PRT.2","PRY.2","PSE.2","PYF.2","QAT.2","ROU.2","RUS.2","RWA.2","SAU.2","SDN.2","SEN.2","SGP.2","SLB.2","SLE.2","SLV.2","SOM.2","SRB.2","SSD.2","STP.2","SUR.2","SVK.2","SVN.2","SWE.2","SWZ.2","SYC.2","SYR.2","TCD.2","TGO.2","THA.2","TJK.2","TKM.2","TLS.2","TON.2","TTO.2","TUN.2","TUR.2","TUV.2","TWN.2","TZA.2","UGA.2","UKR.2","URY.2","USA.2","UZB.2","VCT.2","VEN.2","VNM.2","VUT.2","YEM.2","ZAF.2","ZMB.2","ZWE.2"
"AFG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.8e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.8e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ALB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2400000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20400000,0,0,0,45600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2400000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20400000,0,0,0,45600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ARB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1702420000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1702420000,0,0,0,0,0,0
"ARE",178800000,0,0,0,0,6e+06,4.5e+07,0,292200000,1200000,98400000,1060415000,0,103742995000,73795000,97200000,28800000,1610880000,0,0,0,0,0,0,0,0,14400000,0,0,0,1068470000,38400000,4800000,1.2e+07,47400000,7264150000,177600000,305970000,0,0,976710000,0,0,0,4800000,0,1.32e+08,434400000,0,24600000,0,1574400000,0,382800000,104400000,0,0,39585000,0,0,6600000,0,284400000,457790000,206850000,10775345000,66608400000,3878400000,0,8400000,165600000,0,0,0,0,19200000,0,0,0,0,2400000,967325000,86400000,699710185000,9907580000,0,0,1200000,0,108890000,0,31200000,9076600000,0,0,0,0,79200000,1545595000,0,182400000,22800000,20912400000,0,3.3e+08,0,0,0,0,0,32400000,0,17995000,513335000,0,0,232200000,4.8e+07,0,0,0,315600000,447600000,1.8e+07,4800000,0,1.8e+08,0,33600000,232320000,0,199070000,0,0,26400000,182872500000,1046230000,0,0,1.2e+07,0,0,0,0,0,0,0,1458040000,0,82800000,7200000,1791575000,483600000,44400000,0,0,2400000,0,5895270000,0,0,0,0,0,0,251255000,0,108600000,313200000,61200000,2289945000,6e+06,65500000,163200000,0,0,1.8e+07,0,2172950000,0,0,571115000,610180000,52800000,0,10936045000,0,0,0,1942800000,0,13804690000,39702595000,860905000,21315600000,178800000,0,0,0,0,6e+06,4.5e+07,0,292200000,1200000,98400000,1060415000,0,103742995000,73795000,97200000,28800000,1610880000,0,0,0,0,0,0,0,0,14400000,0,0,0,1068470000,38400000,4800000,1.2e+07,47400000,7264150000,177600000,305970000,0,0,976710000,0,0,0,4800000,0,1.32e+08,434400000,0,24600000,0,1574400000,0,382800000,104400000,0,0,39585000,0,0,6600000,0,284400000,457790000,206850000,10775345000,66608400000,3878400000,0,8400000,165600000,0,0,0,0,19200000,0,0,0,0,2400000,967325000,86400000,699710185000,9907580000,0,0,1200000,0,108890000,0,31200000,9076600000,0,0,0,0,79200000,1545595000,0,182400000,22800000,20912400000,0,3.3e+08,0,0,0,0,0,32400000,0,17995000,513335000,0,0,232200000,4.8e+07,0,0,0,315600000,447600000,1.8e+07,4800000,0,1.8e+08,0,33600000,232320000,0,199070000,0,0,26400000,182872500000,1046230000,0,0,1.2e+07,0,0,0,0,0,0,0,1458040000,0,82800000,7200000,1791575000,483600000,44400000,0,0,2400000,0,5895270000,0,0,0,0,0,0,251255000,0,108600000,313200000,61200000,2289945000,6e+06,65500000,163200000,0,0,1.8e+07,0,2172950000,0,0,571115000,610180000,52800000,0,10936045000,0,0,0,1942800000,0,13804690000,39702595000,860905000,21315600000
"ARG",0,0,0,0,0,0,0,0,1200000,0,0,0,2759910000,0,0,0,0,0,0,0,0,0,0,65314700000,332810605000,0,0,0,0,0,7619730000,1190000,244783615000,0,0,0,0,0,0,68683200000,0,0,45412510000,105566400000,0,0,765465000,0,0,1238855000,0,8038800000,0,0,0,274295000,0,0,0,0,0,0,0,549290000,0,0,0,1.0224e+10,0,0,1200000,0,0,0,0,0,3370200000,0,0,0,0,0,0,0,2.718e+11,0,266215000,1318240000,0,0,0,0,0,0,0,0,0,0,0,0,6e+08,0,6e+07,0,0,0,0,0,85680000,0,0,0,0,0,27668400000,0,1011600000,0,0,0,0,0,0,0,0,0,0,0,0,0,9035400000,302120000,2400000,0,258375000,0,0,6069600000,1.7289e+10,0,0,0,0,0,635970000,0,0,12200000,0,0,0,6e+07,0,8.9484e+10,0,0,1.5e+08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35360000,0,0,0,0,0,0,25094400000,0,0,0,0,23900000,0,18344185000,0,0,0,0,0,0,17325000,0,0,0,0,0,0,0,0,0,0,1200000,0,0,0,2759910000,0,0,0,0,0,0,0,0,0,0,65314700000,332810605000,0,0,0,0,0,7619730000,1190000,244783615000,0,0,0,0,0,0,68683200000,0,0,45412510000,105566400000,0,0,765465000,0,0,1238855000,0,8038800000,0,0,0,274295000,0,0,0,0,0,0,0,549290000,0,0,0,1.0224e+10,0,0,1200000,0,0,0,0,0,3370200000,0,0,0,0,0,0,0,2.718e+11,0,266215000,1318240000,0,0,0,0,0,0,0,0,0,0,0,0,6e+08,0,6e+07,0,0,0,0,0,85680000,0,0,0,0,0,27668400000,0,1011600000,0,0,0,0,0,0,0,0,0,0,0,0,0,9035400000,302120000,2400000,0,258375000,0,0,6069600000,1.7289e+10,0,0,0,0,0,635970000,0,0,12200000,0,0,0,6e+07,0,8.9484e+10,0,0,1.5e+08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35360000,0,0,0,0,0,0,25094400000,0,0,0,0,23900000,0,18344185000,0,0,0,0,0,0,17325000,0,0
"ARM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ATG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1220000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77554800000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1220000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77554800000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AUS",0,0,0,0,1.0032e+10,0,0,0,0,0,0,0,0,0,0,1200000,0,866250000,0,1200000,0,0,0,0,0,0,881400000,0,0,0,4525730000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102340000,0,0,0,3909590000,0,0,0,5.688e+09,0,57600000,0,0,0,0,20740000,0,0,0,0,23948330000,0,0,0,0,0,0,6e+06,0,0,14400000,126108980000,1200000,0,57506400000,8656046666.66667,0,0,0,4800000,19285200000,0,49480880000,7935600000,0,17645880000,0,0,0,187200000,0,0,0,0,28800000,0,0,0,27600000,0,0,0,0,0,0,701570000,0,0,2.16e+08,0,3694800000,0,62220000,2400000,0,0,4840000,0,0,62254350000,691200000,26400000,0,0,7320000,0,0,0,0,0,0,4988400000,4714770000,0,1087200000,0,45422400000,0,0,9809980000,11121600000,0,0,0,0,0,0,0,0,0,1000800000,0,0,0,0,0,13673336666.6667,0,0,0,0,0,0,0,0,20510520000,0,0,0,0,3599500000,0,0,0,0,0,0,6325020000,2400000,0,0,0,0,0,1.0032e+10,0,0,0,0,0,0,0,0,0,0,1200000,0,866250000,0,1200000,0,0,0,0,0,0,881400000,0,0,0,4525730000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102340000,0,0,0,3909590000,0,0,0,5.688e+09,0,57600000,0,0,0,0,20740000,0,0,0,0,23948330000,0,0,0,0,0,0,6e+06,0,0,14400000,126108980000,1200000,0,57506400000,8656046666.66667,0,0,0,4800000,19285200000,0,49480880000,7935600000,0,17645880000,0,0,0,187200000,0,0,0,0,28800000,0,0,0,27600000,0,0,0,0,0,0,701570000,0,0,2.16e+08,0,3694800000,0,62220000,2400000,0,0,4840000,0,0,62254350000,691200000,26400000,0,0,7320000,0,0,0,0,0,0,4988400000,4714770000,0,1087200000,0,45422400000,0,0,9809980000,11121600000,0,0,0,0,0,0,0,0,0,1000800000,0,0,0,0,0,13673336666.6667,0,0,0,0,0,0,0,0,20510520000,0,0,0,0,3599500000,0,0,0,0,0,0,6325020000,2400000,0
"AUT",0,0,0,0,0,0,0,0,0,0,0,0,55470000,835380000,0,0,452390000,0,0,4770000,0,0,0,0,0,0,0,0,0,0,0,111595000,0,0,0,0,0,0,0,0,0,0,0,0,2.4e+07,757490000,4399560000,0,0,100780000,0,0,0,0,0,31820000,4780000,0,0,0,42380000,0,0,44610000,0,0,0,0,0,0,8380000,0,0,0,0,0,0,721650000,0,2211130000,0,0,0,0,0,0,28740000,864510000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9600000,0,412200000,0,0,0,0,0,0,0,0,3660000,0,2400000,0,0,0,0,0,0,0,0,0,0,0,102940000,48800000,0,0,0,1200000,0,0,0,0,1198140000,0,0,0,0,0,0,170325000,6100000,0,0,0,0,0,0,0,0,0,41870000,0,0,0,805785000,4.73e+08,4880000,0,0,0,0,0,0,0,0,0,0,0,3660000,47820000,0,0,0,0,0,0,1220000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55470000,835380000,0,0,452390000,0,0,4770000,0,0,0,0,0,0,0,0,0,0,0,111595000,0,0,0,0,0,0,0,0,0,0,0,0,2.4e+07,757490000,4399560000,0,0,100780000,0,0,0,0,0,31820000,4780000,0,0,0,42380000,0,0,44610000,0,0,0,0,0,0,8380000,0,0,0,0,0,0,721650000,0,2211130000,0,0,0,0,0,0,28740000,864510000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9600000,0,412200000,0,0,0,0,0,0,0,0,3660000,0,2400000,0,0,0,0,0,0,0,0,0,0,0,102940000,48800000,0,0,0,1200000,0,0,0,0,1198140000,0,0,0,0,0,0,170325000,6100000,0,0,0,0,0,0,0,0,0,41870000,0,0,0,805785000,4.73e+08,4880000,0,0,0,0,0,0,0,0,0,0,0,3660000,47820000,0,0,0,0,0,0,1220000,0,0,0,0,0,0,0,0,0
