"","AFG","ALB","DZA","AGO","ARG","ARM","AUS","AUT","AZE","BGD","BLR","BEL","BEN","BTN","BOL","BIH","BWA","BRA","BGR","BFA","BDI","KHM","CMR","CAN","CPV","CAF","TCD","CHL","CHN","COL","COM","COG","CRI","CIV","HRV","CUB","CYP","CZE","PRK","COD","DNK","DJI","DOM","ECU","EGY","SLV","ERI","EST","ETH","FJI","FIN","FRA","GAB","GMB","GEO","DEU","GHA","GRC","GTM","GIN","GNB","GUY","HTI","HND","HUN","IND","IDN","IRN","IRQ","IRL","ISR","ITA","JAM","JPN","JOR","KAZ","KEN","KWT","KGZ","LAO","LVA","LBN","LSO","LBR","LBY","LTU","LUX","MDG","MWI","MYS","MLI","MRT","MUS","MEX","MNG","MNE","MAR","MOZ","MMR","NAM","NPL","NLD","NZL","NIC","NER","NGA","NOR","PSE","OMN","PAK","PAN","PNG","PRY","PER","PHL","POL","PRT","QAT","KOR","MDA","ROU","RUS","RWA","SAU","SEN","SRB","SRB","SLE","SVK","SVN","SLB","SOM","ZAF","ESP","LKA","SDN","SUR","SWZ","SWE","CHE","SYR","TJK","THA","MKD","TLS","TGO","TTO","TUN","TUR","TKM","UGA","UKR","ARE","GBR","TZA","USA","URY","UZB","VEN","VNM","YEM","ZMB","ZWE"
"AFG",-0.505973804056514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.09816216552946e-05,0,0,0,0,0,0,0,-0.000138012437229384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0340623535467803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.54682813226359e-06,0,0,0,0,0,0,0
"ALB",0,-0.00950297539025937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.13667345729645e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.92214235941265e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.17523645764325e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.59684445604273e-05,0,0,0,-4.46471055283846e-05,-4.46471055283846e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.99083419487349e-05,0,0,-2.47765852318445e-05,0,0,0,0,0,0,0,0,0,0,0
"DZA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.36420081839461e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.83144224245361e-06,0,0,0,0,0,0,0
"AGO",-1.41356182838622e-06,0,0,-0.0100005668061866,-3.88609784509791e-05,-4.14258886124169e-07,-1.18403084783067e-06,-5.46465576725164e-06,-3.9771735832617e-07,-3.38197549925813e-07,0,-0.000129440812583644,-8.24473672859697e-06,0,-1.24759395019799e-07,0,0,-3.45473250282386e-05,-5.85339347981876e-08,-1.02455322294981e-08,-1.00290741912878e-05,-6.01866365328657e-07,-1.5727982958696e-05,-1.19165697164188e-07,0,0,0,0,-1.1107476666546e-06,-4.46772412754383e-07,-6.35981839800611e-05,-0.000106118902819186,0,-1.93419539738843e-06,0,0,-3.0978589378588e-06,-5.15263451401906e-08,-3.26098554017347e-08,-1.57540048306807e-06,-3.32121766659461e-06,0,0,0,-1.84872604036191e-07,-9.77555841347837e-08,-1.07912782619682e-05,-4.12685290793296e-07,-1.35305885826675e-07,0,-5.32760193733175e-09,-7.83289856069011e-05,-3.38883551704744e-06,0,0,-3.40009660739195e-05,-8.71303324259825e-06,-5.70956984774776e-06,-2.52876533498717e-07,-1.45097961220978e-06,-4.44163871588101e-06,-9.33855803074888e-08,0,0,-2.38394125889309e-06,-3.81666134342648e-07,-1.38875572488668e-07,-3.63762207060746e-07,-5.31095981364432e-06,-1.43470323375689e-05,0,-5.73061333960503e-05,0,-1.80143263565997e-06,0,-2.37742900658628e-07,-6.59217353778184e-06,0,0,0,0,-1.53142503907777e-05,0,-5.96390187739528e-07,-3.91536049234412e-07,-1.63182084232008e-06,0,-4.43942146818155e-06,0,-7.92486192877075e-06,-2.76334360448202e-11,0,0,-7.38964087601901e-08,-2.65456053238366e-07,0,-1.25405367398613e-06,-1.53438838385028e-06,-2.24826544959672e-08,0,-1.68211741749851e-08,-6.45313022202856e-05,-2.02972470972297e-05,0,-3.44844531981076e-10,-9.0337940855547e-09,-6.3683929738029e-07,0,-3.0325087830014e-05,-5.10108048413613e-06,0,0,-2.38081111215458e-06,0,-8.44120756897703e-08,-3.74385131843429e-08,-2.090436397296e-05,-0.00011670340810736,-1.80908862455019e-07,-1.86889052149773e-11,-5.10375383322129e-06,-6.71852347996351e-07,-1.95771535806054e-06,0,-1.41403823513954e-06,0,0,-1.36497694625631e-07,-5.76933094826539e-06,0,-1.01673565868649e-05,-5.00539630915871e-06,-6.84627392248179e-05,-1.89654090571048e-06,-2.61180814970455e-07,-4.59005965883786e-06,0,0,-9.4353728094113e-08,-1.22722235084802e-06,0,0,-8.45757035426765e-05,0,0,-2.96181742073922e-07,0,-3.88521306805429e-06,-1.32952407771376e-05,-1.30563752011929e-07,-2.72216148966283e-07,-1.16530519707209e-07,-0.00153253743374205,-5.2769177868454e-06,-7.3799078330416e-06,-3.97756713590824e-06,-6.88837652458622e-06,0,0,-8.66372669505849e-07,-1.25327184524534e-05,-1.50767131948884e-05,-1.15517490423033e-05
"ARG",0,0,0,0,-0.00895366839374225,0,0,0,0,0,0,0,0,0,0,0,0,-0.00199121086295328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.74453497787039e-05,0,0,0,0,0,0,0
"ARM",0,0,0,0,0,-0.00933753016837483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00107632467710659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.68781821210113e-06,0,0,0,0,0,0,0,0,0,0,0
"AUS",0,0,0,0,0,0,-0.00708919026281467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AUT",0,0,0,0,0,0,0,-0.00812289147521081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.25874309827354e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7.23731751769452e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AZE",0,0,0,0,0,0,0,0,-0.00600413740460392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00012507001477907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BHR",-1.81558789042972e-08,0,0,-9.3646510056339e-08,-4.72900580315605e-06,-3.11422947757875e-07,-2.3867752067132e-06,-1.40432149663463e-05,-2.989877012977e-07,-3.5963441333597e-08,0,-2.38898594482141e-07,-1.02041640984099e-06,0,-9.37890286942673e-08,0,0,-8.29063485838848e-07,-1.0907569937888e-07,-1.12223749685741e-09,0,-8.24119828366475e-08,-1.11462153137151e-06,-7.7661940411263e-08,0,0,0,0,-1.66171187856753e-08,0,-3.77690187563103e-05,0,0,-8.77989220363264e-08,0,0,-5.2941027120026e-06,0,-3.79069406135488e-09,0,-1.1511929675384e-07,0,0,0,-2.02720836584994e-07,-1.13634822258148e-08,-8.17945056781967e-06,-3.10239982918899e-07,-1.14929692166711e-07,0,-6.1930078426634e-10,-7.99779456921036e-07,-3.93931175441426e-07,0,0,-2.28233130040116e-06,-3.06448923524579e-08,-7.26474719408495e-07,-2.93953334653121e-08,-1.686674084074e-07,-5.16313037747431e-07,-1.08554963009418e-08,0,0,-6.24538756179807e-08,-1.31759995757301e-06,-5.21822936626547e-08,-4.21074060203293e-07,-7.29033797721372e-08,-1.44603066072143e-06,0,-9.74530594586808e-07,0,-1.8704031607778e-07,0,-1.6224843690317e-07,-3.89645145870933e-08,-4.925318062296e-06,0,0,0,-1.89637453859454e-06,0,-6.93266718010132e-08,-2.94340845037432e-07,0,0,-4.23377075334895e-08,0,-7.76614465256054e-07,0,0,0,-8.59000061152693e-09,-3.08576248549649e-08,0,-3.23721561127273e-07,-1.01803347658722e-06,-2.61330392239505e-09,0,-1.95535749130431e-09,-1.59488490580524e-06,-1.45114867336118e-06,0,0,-1.03802925380723e-09,-4.29489530558735e-07,0,-3.10621110618646e-05,-2.81814095719603e-05,0,0,0,0,-1.82478070025237e-07,-6.96048802565592e-08,0,-0.000123764038422099,-2.38560506014038e-08,0,-2.50359298236608e-08,-5.83289762109897e-08,0,0,-1.08401644431923e-08,-6.87917928920634e-07,-6.87917928920634e-07,-1.02613403951767e-07,-7.91954160622629e-08,0,-1.18189233772119e-06,-5.19056505368145e-06,-1.42487876469291e-07,-9.88398811433516e-08,-2.50947962913284e-07,-6.33280619824999e-08,0,0,-1.32980655442772e-07,-6.43006471372208e-07,0,0,-2.50484363581649e-06,0,0,-1.63462561913245e-07,0,-1.90171132811694e-08,-2.9289722407048e-06,-9.81525077284535e-08,-4.3497182737985e-08,-1.58914690377454e-07,-2.10371282643888e-05,-1.76903889115811e-06,-2.45202152135894e-08,-3.05459442331054e-07,0,0,0,-5.20374800385519e-08,-1.01925518401139e-06,0,0
