"","AFG","ALB","DZA","AGO","ARG","ARM","AUS","AUT","AZE","BHR","BGD","BLR","BEL","BEN","BTN","BOL","BIH","BWA","BRA","BGR","BFA","BDI","KHM","CMR","CAN","CPV","CAF","TCD","CHL","CHN","COL","COM","COG","CRI","CIV","HRV","CUB","CYP","CZE","PRK","COD","DNK","DJI","DOM","ECU","EGY","SLV","GNQ","ERI","EST","ETH","FJI","FIN","FRA","GAB","GMB","GEO","DEU","GHA","GRC","GTM","GIN","GNB","GUY","HTI","HND","HUN","IND","IDN","IRN","IRQ","IRL","ISR","ITA","JAM","JPN","JOR","KAZ","KEN","KWT","KGZ","LAO","LVA","LBN","LSO","LBR","LBY","LTU","LUX","MDG","MWI","MYS","MLI","MRT","MUS","MEX","MNG","MNE","MAR","MOZ","MMR","NAM","NPL","NLD","NZL","NIC","NER","NGA","NOR","PSE","OMN","PAK","PAN","PNG","PRY","PER","PHL","POL","PRT","QAT","KOR","MDA","ROU","RUS","RWA","SAU","SEN","SRB","SRB","SLE","SGP","SVK","SVN","SLB","SOM","ZAF","ESP","LKA","SDN","SUR","SWZ","SWE","CHE","SYR","TJK","THA","MKD","TLS","TGO","TTO","TUN","TUR","TKM","UGA","UKR","ARE","GBR","TZA","USA","URY","UZB","VEN","VNM","YEM","ZMB","ZWE"
"AFG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ALB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13465.0125372762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DZA",0,0,0,0,0,0,0,0,0,0,0,0,-249175.6313329,0,0,0,0,0,0,0,0,0,0,-352282.789125824,2206845.64103535,35915936.6417434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-928799.779053621,0,0,0,0,0,-86996.6643877798,0,0,0,0,0,0,0,0,0,0,0,0,0,-86877.3273995935,0,0,209539.525960828,0,0,0,0,0,0,0,0,0,-753907.347948628,0,0,0,0,0,-616494.880970193,522811.114764426,0,0,0,0,-281157.944166816,0,0,0,0,0,-44035.348640728,0,-3241073.2621505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-88070.6972814561,0,0,0,0,0,0,0,0,-86877.3273995935,-208004.370408642,0,0,0,0,0,0,0,0,0,0,0,0,0,-29857829.7116672,0,0,0,0,-54876.5200325375,-235451.877691481,0,0,0,0,0,0,0,-792636.275533105,0
"AGO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ARG",0,-244765711.640177,-142656908667.656,2197860144.60335,0,-1101292.37989883,-5874977.22184092,-3198310.84064018,0,-109090631.091697,-20445304070.4355,-3041443.70272622,-8820415916.02536,-44818624.324876,0,-34780295538.979,-705628602.069968,-95125.6760727221,-820024300102.763,-62035861.6300596,6336495.70448455,0,0,-751356726.185978,49283177.2721279,19170915934.2354,0,0,-211405545643.632,-8157439836.77496,1600740575284.38,0,-1955880939.20147,2427182473.78278,-1121083289.69542,-1555142007.40841,488923071647.334,-1439923931.07168,-5900627.64126975,0,50240372240.1588,-31248397.9001491,42018029.8468685,35187661093.395,401990863538.028,1617117679146.31,21024137354.4661,-1947528.57332399,16288340533.1427,-4700987.17079708,0,-47562.8380363611,0,-149270746.865627,-26530452.0198964,-229823221.816666,-2689231606.5132,-213726770.6826,2583834.60641161,-699330070.686101,1714312243.64692,21318946.7691068,0,-10198039.619948,56516120072.4634,8357894215.77876,-1055405.19740305,-6732087791.60718,-77277995004.8102,-1651938.56984825,53760161277.9758,-58460270.4996296,398278869883.087,-1778236465.94231,630513415.376714,386355501492.26,14390744892.6737,0,-31105234531.0391,-19461341265.0267,0,0,-330579125.391015,19131293005.2741,0,423488979.402811,-3691980301.25569,-25072318.2673246,0,490111.692080017,-2031727444.87885,-212844431829.704,-166824398.722386,1613545171.65571,-12072803235.2002,22515589806.0793,920004.958050062,0,-76798782526.1419,19374097359.015,0,1362218253.53352,-197985.146948105,-18203422868.0728,-570754.056436333,3129272935.61141,-323342871.387326,416859071844.241,-1129252239.35231,0,-10765999334.4261,-15354031.7183016,8655628033.33006,0,-3131597966.60321,986552183996.052,-10196770504.2209,-82000395.1199672,-51208374122.5726,-7109621.21071679,302933169143.06,0,-309830900.694438,-185424948.602264,1308431030.5458,-141658474985.253,-16474551858.8388,-4359282.33709954,-409925282.13471,5026625865.38539,13503710.4396971,0,-10141067.3315684,0,0,-94969464760.6074,-105666892912.002,-30373466475.9156,-4603310865.44946,1276694368.7854,0,-15334439.4381349,-78702060.5332126,-20945645792.091,0,-41487813.3222913,-3722404.33510046,0,-48414328.844134,3551280104.94301,-2324418029.64853,-14365467904.8258,0,7664758572.22578,-76345959.9465821,-9730491903.32796,-18070363315.1828,-21958138224.4793,149184778154.713,-20635129290.4873,0,160390164315.431,-20485831862.0296,267234112622.881,0,0
"ARM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,727245.95893095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,262564.079576932,0,0,151565438.293569,0,0,0,0,0,0,0
"AUS",0,0,1679786.32542698,0,3811707.07400413,0,0,0,0,1039508213.36938,0,0,146149051.062565,0,0,0,0,0,0,0,0,0,0,0,54356650.2080088,0,0,0,3905735179.439,0,126266414411.968,0,0,0,0,0,0,55186082.904131,0,2162092401.04579,0,0,0,0,113274215264.3,2270217174455.42,0,0,0,0,36129183999.0891,0,21411.0710404616,0,0,994411.988519558,0,0,0,0,1358997659.80724,0,0,0,0,0,0,0,0,0,1145458716593.72,696457.967115486,216679995.221362,14663965417.9131,127763938.436284,6467760507366.22,4663462609.12119,0,0,25716628781.5009,0,0,0,98941690519.4678,0,0,49868772.9774997,0,0,0,0,0,157148.659686631,5403217.42786416,4152441594.00451,0,110400448.515775,0,0,4289106508.83394,0,6475854.73973639,0,39472601.6571564,0,0,0,76741616488.8132,0,0,10402821201.9168,0,1029092255.14818,51434227049.8792,0,19812216014.4903,0,0,6092905.7763081,4470652108.5176,2653751095315.25,0,0,0,0,0,0,0,0,0,69388762937.0695,0,0,211021693.691404,0,0,0,0,158702434163.979,0,0,33807841.3907286,0,0,0,53926316524.6412,0,9392835.37190122,0,963977390.135964,0,0,0,0,0,89389403584.8458,0,0,28439414742.8632,0,0,0,0,457685414329.123,0,320362.677750214
"AUT",219927.901630519,0,8414757977.60528,0,665965.866622881,0,0,0,0,758769638.269747,0,0,517548804.244529,0,0,0,0,0,0,0,0,0,0,0,57701410.5531037,0,0,0,8638975.16591108,0,10692439.9123388,0,0,0,0,0,55373931.1686806,1876513.8466986,0,0,0,0,0,51269504.152115,0,863902640.861859,12730461.1513942,0,0,0,0,0,21580783.1577716,0,0,221292.400935949,0,0,0,0,20121181.1202276,0,0,0,11536608.8860745,0,0,0,0,0,0,112298873.667161,25781073965.6355,29374898407.8773,0,1908679142.20731,58005783.3442638,0,0,2963482.2373027,0,0,0,103369439.837315,0,475512.096069736,1693297791.27532,0,0,0,0,0,0,0,0,121134783.676622,3751377.74620391,282278.783028731,0,0,0,0,0,687677332.5504,0,0,0,0,0,0,782972761.874199,0,6826942.85007424,0,0,17589102.9965966,0,0,7563375.34357557,0,152467408.220532,0,0,0,0,0,0,0,0,0,30185570.9622981,0,0,0,0,0,0,0,0,0,0,446300416.065031,0,0,0,372154.665769315,0,0,0,32136208.4210205,617534164.29053,0,0,0,0,1926491934.74158,0,0,23330158048.1201,0,0,2280543.59774496,0,4153837574.01404,0,0
"AZE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BHR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-438036.389977953,0,-2690794.96700742,0,0,0,0,0,0,0,0,0,-3888094.43294716,0,0,0,-67617.5221037396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-68312.8179608474,-10935787.0645567,0,0,0,0,0,0,0,-57124464.6761963,0,0,0,0,0,-564657239.987758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-192423.128454601,0,0,0,0,0,0,0,0,0,0,0,-11943792.2333988,0,0,3287239.63066212,0,0,0,0,0,0,0
