"iso3","Country","Year","Value"
"AFG","Afghanistan",1,6132558875000
"AGO","Angola",1,2906929550000
"ALB","Albania",1,733850545000
"ANT","Netherlands Antilles",1,0
"ARB","Aruba",1,0
"ARE","United Arab Emirates",1,4222727302500
"ARG","Argentina",1,16730205000
"ARM","Armenia",1,647745650000
"ATG","Antigua and Barbuda",1,12235610000
"AUS","Australia",1,2517104377500
"AUT","Austria",1,4494853855000
"AZE","Azerbaijan",1,2792685377500
"BDI","Burundi",1,132985925000
"BEL","Belgium",1,13021149832500
"BEN","Benin",1,866154890000
"BFA","Burkina Faso",1,833841040000
"BGD","Bangladesh",1,13957214975000
"BGR","Bulgaria",1,334619492500
"BHR","Bahrain",1,498468607500
"BHS","Bahamas",1,51554145000
"BIH","Bosnia and Herzegovina",1,1416207230000
"BLR","Belarus",1,579629130000
"BLZ","Belize",1,72166945000
"BMU","Bermuda",1,0
"BOL","Bolivia (Plurinational State of)",1,1571557135000
"BRA","Brazil",1,21617250840000
"BRB","Barbados",1,101818035000
"BRN","Brunei Darussalam",1,61376570000
"BTN","Bhutan",1,24423925000
"BWA","Botswana",1,123428680000
"CAF","Central African Republic",1,4026925000
"CAN","Canada",1,3006859802500
"CHE","Switzerland",1,2221265860000
"CHL","Chile",1,4275591475000
"CHN","China (mainland)",1,23948474115000
"CIV","Cote dIvoire",1,2237689910000
"CMR","Cameroon",1,2195481355000
"COD","Democratic Republic of the Congo",1,1128971820000
"COG","Congo",1,564347915000
"COK","Cook Islands",1,3646970000
"COL","Colombia",1,6658108380000
"COM","Comoros",1,66650660000
"CPV","Cape Verde",1,67729535000
"CRI","Costa Rica",1,1029113610000
"CUB","Cuba",1,2408706110000
"CYP","Cyprus",1,406156370000
"CZE","Czech Republic",1,1311895447500
"DEU","Germany",1,17487369885000
"DJI","Djibouti",1,581191940000
"DMA","Dominica",1,6209995000
"DNK","Denmark",1,1406053585000
"DOM","Dominican Republic",1,2136848450000
"DZA","Algeria",1,23119781600000
"ECU","Ecuador",1,4065692305000
"EGY","Egypt",1,29040790890000
"ERI","Eritrea",1,588801350000
"ESP","Spain",1,15084076845000
"EST","Estonia",1,216855937500
"ETH","Ethiopia",1,2559598960000
"FIN","Finland",1,709159897500
"FJI","Fiji",1,561031345000
"FRA","France",1,6739140657500
"FRO","Faroe Islands",1,56507355000
"GAB","Gabon",1,381174115000
"GBR","United Kingdom",1,10606454085000
"GEO","Georgia",1,1160836077500
"GHA","Ghana",1,2837362185000
"GIN","Guinea",1,1140290705000
"GMB","Gambia",1,279884530000
"GNB","Guinea-Bissau",1,114045910000
"GNQ","Equatorial Guinea",1,109274500000
"GRC","Greece",1,3545897550000
"GRD","Grenada",1,34389880000
"GRL","Greenland",1,0
"GTM","Guatemala",1,2701999870000
"GUY","Guyana",1,163879245000
"HKG","Hong Kong SAR, China",1,999654562500
"HND","Honduras",1,1306420685000
"HRV","Croatia",1,865626055000
"HTI","Haiti",1,972843315000
"HUN","Hungary",1,1160365030000
"IDN","Indonesia",1,33005895445000
"IND","India",1,117631925000
"IRL","Ireland",1,3100120955000
"IRN","Iran (Islamic Republic of)",1,2166141452500
"IRQ","Iraq",1,6769974137500
"ISL","Iceland",1,167141375000
"ISR","Israel",1,5248434647500
"ITA","Italy",1,25923476197500
"JAM","Jamaica",1,678148080000
"JOR","Jordan",1,3395838957500
"JPN","Japan",1,19318877540000
