"iso3","Country","Year","Value"
"AFG","Afghanistan",1,7748671508333.33
"ALB","Albania",1,838247690000
"ANT","Netherlands Antilles",1,0
"ARB","Aruba",1,0
"ARE","United Arab Emirates",1,5804749211666.67
"ARG","Argentina",1,29267873333.3333
"ARM","Armenia",1,602735336666.667
"ATG","Antigua and Barbuda",1,18845663333.3333
"AUS","Australia",1,695719772500
"AUT","Austria",1,4387453488333.33
"AZE","Azerbaijan",1,3357821285000
"BDI","Burundi",1,114928960000
"BEL","Belgium",1,14886423656666.7
"BEN","Benin",1,789902180000
"BFA","Burkina Faso",1,859017860000
"BGD","Bangladesh",1,12098195115833.3
"BGR","Bulgaria",1,288039714166.667
"BHR","Bahrain",1,334049165833.333
"BHS","Bahamas",1,46649520000
"BIH","Bosnia and Herzegovina",1,1682141873333.33
"BLR","Belarus",1,247667174166.667
"BLZ","Belize",1,67091020000
"BMU","Bermuda",1,0
"BOL","Bolivia (Plurinational State of)",1,1122185430000
"BRA","Brazil",1,21160089913333.3
"BRB","Barbados",1,93443066666.6667
"BRN","Brunei Darussalam",1,53231600000
"BTN","Bhutan",1,9713490000
"BWA","Botswana",1,180954843333.333
"CAF","Central African Republic",1,40857499166.6667
"CAN","Canada",1,2796409711666.67
"CHE","Switzerland",1,2312991581666.67
"CHL","Chile",1,3813745886666.67
"CHN","China (mainland)",1,12824910552500
"CIV","Cote dIvoire",1,2120908403333.33
"CMR","Cameroon",1,2141604411666.67
"COD","Democratic Republic of the Congo",1,1244360440833.33
"COG","Congo",1,732976903333.333
"COK","Cook Islands",1,4443830000
"COL","Colombia",1,6495117753333.33
"COM","Comoros",1,47472036666.6667
"CPV","Cape Verde",1,87290926666.6667
"CRI","Costa Rica",1,1019232933333.33
"CUB","Cuba",1,2784227805000
"CYP","Cyprus",1,437596838333.333
"CZE","Czech Republic",1,1148081932500
"DEU","Germany",1,19799404806666.7
"DJI","Djibouti",1,1358633646666.67
"DMA","Dominica",1,9742136666.66667
"DNK","Denmark",1,1523870746666.67
"DOM","Dominican Republic",1,1799782773333.33
"DZA","Algeria",1,26829965871666.7
"ECU","Ecuador",1,3451180508333.33
"EGY","Egypt",1,25726016498333.3
"ERI","Eritrea",1,175691706666.667
"ESP","Spain",1,18466138076666.7
"EST","Estonia",1,253450895000
"ETH","Ethiopia",1,3016462766666.67
"FIN","Finland",1,489269907500
"FJI","Fiji",1,609494763333.333
"FRA","France",1,8446554315000
"FRO","Faroe Islands",1,53102283333.3333
"GAB","Gabon",1,399284700000
"GBR","United Kingdom",1,8660454601666.67
"GEO","Georgia",1,1395754240833.33
"GHA","Ghana",1,2415660183333.33
"GIN","Guinea",1,1136168141666.67
"GMB","Gambia",1,269060798333.333
"GNB","Guinea-Bissau",1,60555730000
"GNQ","Equatorial Guinea",1,104456750000
"GRC","Greece",1,3400276619166.67
"GRD","Grenada",1,63096556666.6667
"GRL","Greenland",1,0
"GTM","Guatemala",1,2358264343333.33
"GUY","Guyana",1,238121863333.333
"HKG","Hong Kong SAR, China",1,1215637682500
"HND","Honduras",1,1165550330000
"HRV","Croatia",1,638735143333.333
"HTI","Haiti",1,1009340008333.33
"HUN","Hungary",1,1111685086666.67
"IDN","Indonesia",1,27176505920000
"IND","India",1,4229251966666.67
"IRL","Ireland",1,2846065763333.33
"IRN","Iran (Islamic Republic of)",1,5228644749166.67
"IRQ","Iraq",1,7844854475833.33
"ISL","Iceland",1,180058188333.333
"ISR","Israel",1,3486500224166.67
"ITA","Italy",1,23046198050833.3
"JAM","Jamaica",1,655389260000
"JOR","Jordan",1,3305793583333.33
"JPN","Japan",1,20086830050000
"KAZ","Kazakhstan",1,282716529166.667
"KEN","Kenya",1,4880525830000
"KGZ","Kyrgyzstan",1,1148421740000
"KHM","Cambodia",1,139202236666.667
"KIR","Kiribati",1,15846020000
"KNA","Saint Kitts and Nevis",1,11002623333.3333
"KOR","Republic of Korea",1,11225491169166.7
"KWT","Kuwait",1,1656694145000
"LAO","Lao People's Democratic Republic",1,52146376666.6667
"LBN","Lebanon",1,2646958808333.33
"LBR","Liberia",1,232626590000
"LBY","Libya",1,3424393733333.33
