"iso3","Country","Year","Value"
"AFG","Afghanistan",1,18382290702000
"AGO","Angola",1,3097641490350
"ALB","Albania",1,1641003148650
"ANT","Netherlands Antilles",1,0
"ARB","Aruba",1,0
"ARE","United Arab Emirates",1,3808601645950
"ARG","Argentina",1,56256260070000
"ARM","Armenia",1,1641992964400
"ATG","Antigua and Barbuda",1,12208396250
"AUS","Australia",1,22410234937650
"AUT","Austria",1,6658459036300
"AZE","Azerbaijan",1,11282194789650
"BDI","Burundi",1,120001385000
"BEL","Belgium",1,12892875008450
"BEN","Benin",1,884306584750
"BFA","Burkina Faso",1,879910069450
"BGD","Bangladesh",1,18523600291250
"BGR","Bulgaria",1,4853396834200
"BHR","Bahrain",1,380184609400
"BHS","Bahamas",1,51435357500
"BIH","Bosnia and Herzegovina",1,1846586155250
"BLR","Belarus",1,9432473230600
"BLZ","Belize",1,72081535000
"BMU","Bermuda",1,0
"BOL","Bolivia (Plurinational State of)",1,1381165932500
"BRA","Brazil",1,26673029330000
"BRB","Barbados",1,79576595000
"BRN","Brunei Darussalam",1,57782318650
"BTN","Bhutan",1,11181893750
"BWA","Botswana",1,121155498750
"CAF","Central African Republic",1,3198058750
"CAN","Canada",1,31156919535800
"CHE","Switzerland",1,3842516373300
"CHL","Chile",1,7540982771650
"CHN","China (mainland)",1,470188476020300
"CIV","Cote dIvoire",1,2132149208050
"CMR","Cameroon",1,2836133645500
"COD","Democratic Republic of the Congo",1,1410900827950
"COG","Congo",1,800179727500
"COK","Cook Islands",1,3646970000
"COL","Colombia",1,6477948896250
"COM","Comoros",1,64798919300
"CPV","Cape Verde",1,74981132500
"CRI","Costa Rica",1,755741130000
"CUB","Cuba",1,2408008216250
"CYP","Cyprus",1,544315911550
"CZE","Czech Republic",1,9503111456400
"DEU","Germany",1,60865002391500
"DJI","Djibouti",1,678825949650
"DMA","Dominica",1,6146277500
"DNK","Denmark",1,13069709479600
"DOM","Dominican Republic",1,2128464346250
"DZA","Algeria",1,34339668145000
"ECU","Ecuador",1,3862029815500
"EGY","Egypt",1,65051606164900
"ERI","Eritrea",1,672301350000
"ESP","Spain",1,33366629234200
"EST","Estonia",1,668085335400
"ETH","Ethiopia",1,20231200083900
"FIN","Finland",1,2955982964300
"FJI","Fiji",1,497366491250
"FRA","France",1,54901267552850
"FRO","Faroe Islands",1,56507355000
"GAB","Gabon",1,394820812500
"GBR","United Kingdom",1,48987267078300
"GEO","Georgia",1,2344651824300
"GHA","Ghana",1,2821790575100
"GIN","Guinea",1,1301223230550
"GMB","Gambia",1,349715246250
"GNB","Guinea-Bissau",1,113459863750
"GNQ","Equatorial Guinea",1,107026311250
"GRC","Greece",1,5736488716700
"GRD","Grenada",1,27836970000
"GRL","Greenland",1,0
"GTM","Guatemala",1,2307220095000
"GUY","Guyana",1,158377018000
"HKG","Hong Kong SAR, China",1,564182061750
"HND","Honduras",1,1135744822500
"HRV","Croatia",1,1900759633750
"HTI","Haiti",1,990114165000
"HUN","Hungary",1,8734758640250
"IDN","Indonesia",1,24047935442700
"IND","India",1,351909354780600
"IRL","Ireland",1,3860288458750
"IRN","Iran (Islamic Republic of)",1,53210839776050
"IRQ","Iraq",1,24443364265850
"ISL","Iceland",1,166946276250
"ISR","Israel",1,5796701267850
"ITA","Italy",1,36907408872300
"JAM","Jamaica",1,644446655000
"JOR","Jordan",1,3290152760500
"JPN","Japan",1,21807273947900
"KAZ","Kazakhstan",1,38793321141600
"KEN","Kenya",1,6651124451450
"KGZ","Kyrgyzstan",1,2539304974600
"KHM","Cambodia",1,58281746950
"KIR","Kiribati",1,12367290000
"KNA","Saint Kitts and Nevis",1,4684585000
"KOR","Republic of Korea",1,11878180327650
"KWT","Kuwait",1,1640020421450
"LAO","Lao People's Democratic Republic",1,70974049250
"LBN","Lebanon",1,4007305886300
"LBR","Liberia",1,156808601700
"LBY","Libya",1,3401392490050
"LCA","Saint Lucia",1,38434170000
"LKA","Sri Lanka",1,3291615903100
"LSO","Lesotho",1,210362465000
"LTU","Lithuania",1,3733897121850
"LUX","Luxembourg",1,334511403750
"LVA","Latvia",1,2127068515400
"MAC","Macao SAR, China",1,73701317500
"MAR","Morocco",1,25834582239600
"MDA","Republic of Moldova",1,1832228563700
"MDG","Madagascar",1,534808635650
"MDV","Maldives",1,95708214150
"MEX","Mexico",1,21539845317650
"MKD","The former Yugoslav Republic of Macedonia",1,962876526350
"MLI","Mali",1,1352356214300
"MLT","Malta",1,169852762800
"MMR","Myanmar",1,1928237064250
"MNE","Montenegro",1,132983538800
"MNG","Mongolia",1,1742494076600
"MOZ","Mozambique",1,2622214615600
"MRT","Mauritania",1,1967635131550
"MUS","Mauritius",1,461429453400
"MWI","Malawi",1,347594348750
"MYS","Malaysia",1,4147838829700
"NAM","Namibia",1,405303682500
"NCL","New Caledonia",1,116355304000
"NER","Niger",1,483776011250
"NGA","Nigeria",1,17207914516250
"NIC","Nicaragua",1,657514877500
"NLD","Netherlands",1,17942873022250
"NOR","Norway",1,2829355707850
"NPL","Nepal",1,7204468708700
"NZL","New Zealand",1,2856035368350
"OMN","Oman",1,2365150795150
"PAK","Pakistan",1,86541622017950
"PAN","Panama",1,653986173650
"PER","Peru",1,6625786933750
"PHL","Philippines",1,21755150496900
"PNG","Papua New Guinea",1,965736515150
"POL","Poland",1,28349298506050
"PRK","Democratic People's Republic of Korea",1,574007746250
"PRT","Portugal",1,4318857581500
"PRY","Paraguay",1,3308370896250
"PSE","Occupied Palestinian Territory",1,433159346450
"PYF","French Polynesia",1,75197290000
"QAT","Qatar",1,708255040850
"ROU","Romania",1,15195170802150
"RUS","Russian Federation",1,151251893061850
"RWA","Rwanda",1,261531494600
"SAU","Saudi Arabia",1,12666183135750
"SDN","Sudan",1,10100880338600
"SEN","Senegal",1,2171211698700
"SGP","Singapore",1,1345617154650
"SLB","Solomon Islands",1,61432566250
"SLE","Sierra Leone",1,204213043050
"SLV","El Salvador",1,653350052500
"SOM","Somalia",1,1667168830650
"SRB","Serbia",1,9019190752600
"SSD","South Sudan",1,170988986750
"STP","Sao Tome and Principe",1,38848843750
"SUR","Suriname",1,106378405000
"SVK","Slovakia",1,3417088138550
"SVN","Slovenia",1,706330767650
"SWE","Sweden",1,9167591821850
"SWZ","Swaziland",1,79904652500
"SYC","Seychelles",1,21336542300
"SYR","Syrian Arab Republic",1,11828141890000
"TCD","Chad",1,115358419600
"TGO","Togo",1,694272946350
"THA","Thailand",1,8239553556850
"TJK","Tajikistan",1,3822887275700
"TKM","Turkmenistan",1,4930078322950
"TLS","Timor-Leste",1,76778955000
"TON","Tonga",1,17583521250
"TTO","Trinidad and Tobago",1,408494265000
"TUN","Tunisia",1,9323753342600
"TUR","Turkey",1,81814686175200
"TUV","Tuvalu",1,1.054e+09
"TWN","Taiwan",1,4433672980100
"TZA","United Republic of Tanzania",1,3458706710950
"UGA","Uganda",1,1125381657900
"UKR","Ukraine",1,20838466550350
"URY","Uruguay",1,1911121293750
"USA","United States of America",1,92682761686300
"UZB","Uzbekistan",1,23022927315000
"VCT","Saint Vincent and the Grenadines",1,59187463750
"VEN","Venezuela (Bolivarian Republic of)",1,2790073770650
"VNM","Viet Nam",1,8993348133400
"VUT","Vanuatu",1,24968927500
"YEM","Yemen",1,11962889193550
"ZAF","South Africa",1,12216129968250
"ZMB","Zambia",1,655634933750
"ZWE","Zimbabwe",1,795567287350
