"iso3","Country","Year","Value"
"AFG","Afghanistan",1,5872860510833.33
"ALB","Albania",1,745322706111.111
"ANT","Netherlands Antilles",1,0
"ARB","Aruba",1,0
"ARE","United Arab Emirates",1,6246081124583.33
"ARG","Argentina",1,29267873333.3333
"ARM","Armenia",1,792826966666.667
"ATG","Antigua and Barbuda",1,18845663333.3333
"AUS","Australia",1,681415420277.778
"AUT","Austria",1,4392516696111.11
"AZE","Azerbaijan",1,4311970111250
"BDI","Burundi",1,131571560833.333
"BEL","Belgium",1,14885907969861.1
"BEN","Benin",1,792570397500
"BFA","Burkina Faso",1,879361231666.667
"BGD","Bangladesh",1,14449407467500
"BGR","Bulgaria",1,283220883472.222
"BHR","Bahrain",1,332069480833.333
"BHS","Bahamas",1,46635067500
"BIH","Bosnia and Herzegovina",1,979494480833.333
"BLR","Belarus",1,337429409583.333
"BLZ","Belize",1,68393121666.6667
"BMU","Bermuda",1,0
"BOL","Bolivia (Plurinational State of)",1,995307878750
"BRA","Brazil",1,19185638854166.7
"BRB","Barbados",1,93435532916.6667
"BRN","Brunei Darussalam",1,52821889166.6667
"BTN","Bhutan",1,7497644444.44444
"BWA","Botswana",1,180835910833.333
"CAF","Central African Republic",1,40626703611.1111
"CAN","Canada",1,2782680303750
"CHE","Switzerland",1,2398446108750
"CHL","Chile",1,3616106027083.33
"CHN","China (mainland)",1,12761340241944.4
"CIV","Cote dIvoire",1,2162398925000
"CMR","Cameroon",1,2247670607500
"COD","Democratic Republic of the Congo",1,1340439069166.67
"COG","Congo",1,781299203333.333
"COK","Cook Islands",1,4443830000
"COL","Colombia",1,6457093514166.67
"COM","Comoros",1,47036981666.6667
"CPV","Cape Verde",1,93993724166.6667
"CRI","Costa Rica",1,1019007987083.33
"CUB","Cuba",1,2783408056250
"CYP","Cyprus",1,476519196111.111
"CZE","Czech Republic",1,1148280047361.11
"DEU","Germany",1,19816102087777.8
"DJI","Djibouti",1,1556198932222.22
"DMA","Dominica",1,9725839166.66667
"DNK","Denmark",1,1524575371666.67
"DOM","Dominican Republic",1,1804395633750
"DZA","Algeria",1,26670253251666.7
"ECU","Ecuador",1,3408643256250
"EGY","Egypt",1,32657995550833.3
"ERI","Eritrea",1,175688939166.667
"ESP","Spain",1,19103622613750
"EST","Estonia",1,257919759583.333
"ETH","Ethiopia",1,3191816730000
"FIN","Finland",1,486170870833.333
"FJI","Fiji",1,609364115833.333
"FRA","France",1,8445740145555.56
"FRO","Faroe Islands",1,53102283333.3333
"GAB","Gabon",1,396796493333.333
"GBR","United Kingdom",1,8677826347777.78
"GEO","Georgia",1,1853141301250
"GHA","Ghana",1,2544649438611.11
"GIN","Guinea",1,1129714010000
"GMB","Gambia",1,277768175833.333
"GNB","Guinea-Bissau",1,60143065000
"GNQ","Equatorial Guinea",1,104086148333.333
"GRC","Greece",1,3563822421666.67
"GRD","Grenada",1,63096556666.6667
"GRL","Greenland",1,0
"GTM","Guatemala",1,2358174860833.33
"GUY","Guyana",1,238042835833.333
"HKG","Hong Kong SAR, China",1,1218586453611.11
"HND","Honduras",1,1165441321250
"HRV","Croatia",1,613275117777.778
"HTI","Haiti",1,1029787188611.11
"HUN","Hungary",1,1110052770138.89
"IDN","Indonesia",1,28832134398333.3
"IND","India",1,5317985203888.89
"IRL","Ireland",1,2845783692500
"IRN","Iran (Islamic Republic of)",1,5797882927222.22
"IRQ","Iraq",1,7848452706666.67
"ISL","Iceland",1,180612350000
"ISR","Israel",1,4383317172083.33
"ITA","Italy",1,23335090044305.6
"JAM","Jamaica",1,655342794583.333
"JOR","Jordan",1,3510359187638.89
"JPN","Japan",1,20173056908611.1
"KAZ","Kazakhstan",1,382309668055.556
"KEN","Kenya",1,5384919157500
"KGZ","Kyrgyzstan",1,893311896666.667
"KHM","Cambodia",1,140217268888.889
"KIR","Kiribati",1,15842945000
"KNA","Saint Kitts and Nevis",1,11002623333.3333
"KOR","Republic of Korea",1,12116826087916.7
"KWT","Kuwait",1,1657268838750
"LAO","Lao People's Democratic Republic",1,52146376666.6667
"LBN","Lebanon",1,3500698810972.22
"LBR","Liberia",1,232311521250
"LBY","Libya",1,3888002301250
"LCA","Saint Lucia",1,45901116250
"LKA","Sri Lanka",1,3263669815833.33
"LSO","Lesotho",1,162959046666.667
"LTU","Lithuania",1,713125456666.667
"LUX","Luxembourg",1,482658003333.333
"LVA","Latvia",1,2715913950833.33
"MAC","Macao SAR, China",1,99711326666.6667
"MAR","Morocco",1,12850113831666.7
"MDA","Republic of Moldova",1,74339610000
"MDG","Madagascar",1,612466379166.667
"MDV","Maldives",1,101764769166.667
"MEX","Mexico",1,15931522662222.2
"MKD","The former Yugoslav Republic of Macedonia",1,146131161527.778
"MLI","Mali",1,1117595037777.78
"MLT","Malta",1,187867096666.667
"MMR","Myanmar",1,1500961405000
"MNE","Montenegro",1,50897044583.3333
"MNG","Mongolia",1,316807844583.333
"MOZ","Mozambique",1,2209013186666.67
"MRT","Mauritania",1,1405404051666.67
"MUS","Mauritius",1,571826586666.667
"MWI","Malawi",1,644267370833.333
"MYS","Malaysia",1,5274517497222.22
"NAM","Namibia",1,432401325833.333
"NCL","New Caledonia",1,120810960000
"NER","Niger",1,285939360000
"NGA","Nigeria",1,15726250261250
"NIC","Nicaragua",1,688418001250
"NLD","Netherlands",1,21637433196111.1
"NOR","Norway",1,1557646825000
"NPL","Nepal",1,364223915000
"NZL","New Zealand",1,1836529826250
"OMN","Oman",1,2514343528333.33
"PAK","Pakistan",1,86325942500
"PAN","Panama",1,659777262083.333
"PER","Peru",1,6434331685416.67
"PHL","Philippines",1,15553313677916.7
"PNG","Papua New Guinea",1,809185280000
"POL","Poland",1,3344749250000
"PRK","Democratic People's Republic of Korea",1,190431932500
"PRT","Portugal",1,5509438545972.22
"PRY","Paraguay",1,74417302500
"PSE","Occupied Palestinian Territory",1,157815493333.333
"PYF","French Polynesia",1,79664656666.6667
"QAT","Qatar",1,575930655555.556
"ROU","Romania",1,4900212317777.78
"RUS","Russian Federation",1,1481409185694.44
"RWA","Rwanda",1,387068501666.667
"SAU","Saudi Arabia",1,12138965376666.7
"SDN","Sudan",1,7196442522500
"SEN","Senegal",1,2147951649166.67
"SGP","Singapore",1,1339831069444.44
"SLB","Solomon Islands",1,64182823333.3333
"SLE","Sierra Leone",1,197865240416.667
"SLV","El Salvador",1,1078406005833.33
"SOM","Somalia",1,1307894981666.67
"SRB","Serbia",1,188866375416.667
"SSD","South Sudan",1,101725823611.111
"STP","Sao Tome and Principe",1,35234820833.3333
"SUR","Suriname",1,87817761250
"SVK","Slovakia",1,780838720000
"SVN","Slovenia",1,663088377638.889
"SWE","Sweden",1,1365639146944.44
"SWZ","Swaziland",1,25490348333.3333
"SYC","Seychelles",1,22592730000
"SYR","Syrian Arab Republic",1,2032947229444.44
"TCD","Chad",1,172051063333.333
"TGO","Togo",1,580792235000
"THA","Thailand",1,9951943763333.33
"TJK","Tajikistan",1,2761247689166.67
"TKM","Turkmenistan",1,190517501666.667
"TLS","Timor-Leste",1,76623771666.6667
"TON","Tonga",1,19973805833.3333
"TTO","Trinidad and Tobago",1,467558274583.333
"TUN","Tunisia",1,4825457310000
"TUR","Turkey",1,15618092863055.6
"TUV","Tuvalu",1,2093656666.66667
"TWN","Taiwan",1,4823442888333.33
"TZA","United Republic of Tanzania",1,3163950825000
"UGA","Uganda",1,1163725252500
"UKR","Ukraine",1,182361129722.222
"URY","Uruguay",1,99300418333.3333
"USA","United States of America",1,15188400735000
"UZB","Uzbekistan",1,5934746699444.44
"VCT","Saint Vincent and the Grenadines",1,89425903333.3333
"VEN","Venezuela (Bolivarian Republic of)",1,4307410345833.33
"VNM","Viet Nam",1,12762147774583.3
"VUT","Vanuatu",1,51961592500
"YEM","Yemen",1,10531302314583.3
"ZAF","South Africa",1,6209151868472.22
"ZMB","Zambia",1,136956495833.333
"ZWE","Zimbabwe",1,521352535833.333
