"iso3","Country","Year","Value"
"AFG","Afghanistan",1,20910136210833.3
"ALB","Albania",1,1651846439444.44
"ANT","Netherlands Antilles",1,0
"ARB","Aruba",1,0
"ARE","United Arab Emirates",1,5562952074583.33
"ARG","Argentina",1,30701630448750.7
"ARM","Armenia",1,1780265566666.67
"ATG","Antigua and Barbuda",1,18834593333.3333
"AUS","Australia",1,-5444141628940.88
"AUT","Austria",1,5967090163244.45
"AZE","Azerbaijan",1,10110722504583.3
"BDI","Burundi",1,117208867500
"BEL","Belgium",1,13218243212427.8
"BEN","Benin",1,784850360833.333
"BFA","Burkina Faso",1,878620831666.667
"BGD","Bangladesh",1,18847921667500
"BGR","Bulgaria",1,3615436810855.56
"BHR","Bahrain",1,316293004166.667
"BHS","Bahamas",1,46588554166.6667
"BIH","Bosnia and Herzegovina",1,1426679634166.67
"BLR","Belarus",1,8777581752916.67
"BLZ","Belize",1,68378395000
"BMU","Bermuda",1,0
"BOL","Bolivia (Plurinational State of)",1,1908602326250
"BRA","Brazil",1,34145480434166.7
"BRB","Barbados",1,70289232916.6667
"BRN","Brunei Darussalam",1,52145182500
"BTN","Bhutan",1,18780164444.4444
"BWA","Botswana",1,179062890833.333
"CAF","Central African Republic",1,40626703611.1111
"CAN","Canada",1,8596297689670
"CHE","Switzerland",1,3816191992083.33
"CHL","Chile",1,8661398660416.67
"CHN","China (mainland)",1,470429888993011
"CIV","Cote dIvoire",1,1800069675000
"CMR","Cameroon",1,2233397387500
"COD","Democratic Republic of the Congo",1,1371461169166.67
"COG","Congo",1,781299203333.333
"COK","Cook Islands",1,4443830000
"COL","Colombia",1,6374483814166.67
"COM","Comoros",1,47036981666.6667
"CPV","Cape Verde",1,93553784166.6667
"CRI","Costa Rica",1,720307950416.667
"CUB","Cuba",1,2782584186250
"CYP","Cyprus",1,492408165277.778
"CZE","Czech Republic",1,7089297880361.11
"DEU","Germany",1,56836543912777.8
"DJI","Djibouti",1,1550922992222.22
"DMA","Dominica",1,9537299166.66667
"DNK","Denmark",1,11927032613333.3
"DOM","Dominican Republic",1,1804395633750
"DZA","Algeria",1,35041615978333.3
"ECU","Ecuador",1,3408763919583.33
"EGY","Egypt",1,62381522167500
"ERI","Eritrea",1,259188939166.667
"ESP","Spain",1,34586377320116.7
"EST","Estonia",1,542229871616.667
"ETH","Ethiopia",1,18038508156788.9
"FIN","Finland",1,2182994607500
"FJI","Fiji",1,504372632500
"FRA","France",1,56738846950522.2
"FRO","Faroe Islands",1,53099793333.3333
"GAB","Gabon",1,394530686666.667
"GBR","United Kingdom",1,46205769711111.1
