"iso3","Country","Year","Value"
"AFG","Afghanistan",1,5872343514166.67
"ALB","Albania",1,497377806111.111
"ANT","Netherlands Antilles",1,0
"ARB","Aruba",1,0
"ARE","United Arab Emirates",1,5229722887916.67
"ARG","Argentina",1,29267873333.3333
"ARM","Armenia",1,414817626666.667
"ATG","Antigua and Barbuda",1,18845663333.3333
"AUS","Australia",1,681402318611.111
"AUT","Austria",1,4390238259444.44
"AZE","Azerbaijan",1,2289728141250
"BDI","Burundi",1,96418060833.3333
"BEL","Belgium",1,14885907969861.1
"BEN","Benin",1,783750497500
"BFA","Burkina Faso",1,830402398333.333
"BGD","Bangladesh",1,11846998545833.3
"BGR","Bulgaria",1,283142051805.556
"BHR","Bahrain",1,332068865833.333
"BHS","Bahamas",1,46635067500
"BIH","Bosnia and Herzegovina",1,979494480833.333
"BLR","Belarus",1,188633931250
"BLZ","Belize",1,68393121666.6667
"BMU","Bermuda",1,0
"BOL","Bolivia (Plurinational State of)",1,995307878750
"BRA","Brazil",1,19185638854166.7
"BRB","Barbados",1,93435532916.6667
"BRN","Brunei Darussalam",1,52821889166.6667
"BTN","Bhutan",1,7497644444.44444
"BWA","Botswana",1,180835910833.333
"CAF","Central African Republic",1,40621235277.7778
"CAN","Canada",1,2782391980416.67
"CHE","Switzerland",1,2248452832083.33
"CHL","Chile",1,3616106027083.33
"CHN","China (mainland)",1,12626997713611.1
"CIV","Cote dIvoire",1,2068148578333.33
"CMR","Cameroon",1,2018844730833.33
"COD","Democratic Republic of the Congo",1,1142203270833.33
"COG","Congo",1,664236656666.667
"COK","Cook Islands",1,4443830000
"COL","Colombia",1,6457093514166.67
"COM","Comoros",1,47036981666.6667
"CPV","Cape Verde",1,80229584166.6667
"CRI","Costa Rica",1,1019007987083.33
"CUB","Cuba",1,2783402752916.67
"CYP","Cyprus",1,412623739444.444
"CZE","Czech Republic",1,1148279432361.11
"DEU","Germany",1,19802804867777.8
"DJI","Djibouti",1,1411311958888.89
"DMA","Dominica",1,9725839166.66667
"DNK","Denmark",1,1524575371666.67
"DOM","Dominican Republic",1,1790478967083.33
"DZA","Algeria",1,26629589308333.3
"ECU","Ecuador",1,3394464399583.33
"EGY","Egypt",1,22530534700833.3
"ERI","Eritrea",1,175688939166.667
"ESP","Spain",1,19002917840416.7
"EST","Estonia",1,257047802916.667
"ETH","Ethiopia",1,3085024683333.33
"FIN","Finland",1,485502812500
"FJI","Fiji",1,609364115833.333
"FRA","France",1,8445738915555.56
"FRO","Faroe Islands",1,53102283333.3333
"GAB","Gabon",1,396796493333.333
"GBR","United Kingdom",1,8672571317777.78
"GEO","Georgia",1,953798689583.333
"GHA","Ghana",1,2277011898611.11
"GIN","Guinea",1,1129702940000
"GMB","Gambia",1,250819385833.333
"GNB","Guinea-Bissau",1,60143065000
"GNQ","Equatorial Guinea",1,104086148333.333
"GRC","Greece",1,3319374426666.67
"GRD","Grenada",1,63096556666.6667
"GRL","Greenland",1,0
"GTM","Guatemala",1,2358174860833.33
"GUY","Guyana",1,238042835833.333
"HKG","Hong Kong SAR, China",1,1218016038611.11
"HND","Honduras",1,1165441321250
"HRV","Croatia",1,613275117777.778
"HTI","Haiti",1,971028238611.111
"HUN","Hungary",1,1110052770138.89
"IDN","Indonesia",1,27945968571666.7
"IND","India",1,5076237117222.22
"IRL","Ireland",1,2845783692500
"IRN","Iran (Islamic Republic of)",1,4438116878888.89
"IRQ","Iraq",1,7847645371666.67
"ISL","Iceland",1,179504026666.667
"ISR","Israel",1,3552813387083.33
"ITA","Italy",1,23128142445972.2
"JAM","Jamaica",1,655342794583.333
"JOR","Jordan",1,3186298580972.22
"JPN","Japan",1,20134956821944.4
"KAZ","Kazakhstan",1,206155259722.222
"KEN","Kenya",1,4516886557500
"KGZ","Kyrgyzstan",1,858992350000
"KHM","Cambodia",1,140215608888.889
"KIR","Kiribati",1,15842945000
"KNA","Saint Kitts and Nevis",1,11002623333.3333
"KOR","Republic of Korea",1,11900938372916.7
"KWT","Kuwait",1,1651782888750
"LAO","Lao People's Democratic Republic",1,52146376666.6667
"LBN","Lebanon",1,2380080380972.22
"LBR","Liberia",1,232311521250
"LBY","Libya",1,3342912074583.33
"LCA","Saint Lucia",1,45901116250
"LKA","Sri Lanka",1,2845489569166.67
"LSO","Lesotho",1,162959046666.667
"LTU","Lithuania",1,693404428333.333
"LUX","Luxembourg",1,482658003333.333
"LVA","Latvia",1,2100404612500
"MAC","Macao SAR, China",1,99710711666.6667
"MAR","Morocco",1,12268934348333.3
"MDA","Republic of Moldova",1,68451546666.6667
"MDG","Madagascar",1,612466379166.667
"MDV","Maldives",1,101764769166.667
"MEX","Mexico",1,15375199957222.2
"MKD","The former Yugoslav Republic of Macedonia",1,146131161527.778
"MLI","Mali",1,1063681871111.11
"MLT","Malta",1,186242186666.667
"MMR","Myanmar",1,1500961405000
"MNE","Montenegro",1,50894992916.6667
"MNG","Mongolia",1,170814394583.333
"MOZ","Mozambique",1,1808222093333.33
"MRT","Mauritania",1,1266482875000
"MUS","Mauritius",1,571768693333.333
"MWI","Malawi",1,524175444166.667
"MYS","Malaysia",1,5155524430555.56
"NAM","Namibia",1,414967639166.667
"NCL","New Caledonia",1,120810960000
"NER","Niger",1,284714693333.333
"NGA","Nigeria",1,13686189394583.3
"NIC","Nicaragua",1,528430514583.333
"NLD","Netherlands",1,21632011702777.8
"NOR","Norway",1,1516842666666.67
"NPL","Nepal",1,364199930000
"NZL","New Zealand",1,1836524691250
"OMN","Oman",1,2085699481666.67
"PAK","Pakistan",1,86325942500
"PAN","Panama",1,659777262083.333
"PER","Peru",1,6227629105416.67
"PHL","Philippines",1,15457483511250
"PNG","Papua New Guinea",1,809185280000
"POL","Poland",1,3340796103333.33
"PRK","Democratic People's Republic of Korea",1,177227034166.667
"PRT","Portugal",1,5509438545972.22
"PRY","Paraguay",1,74417302500
"PSE","Occupied Palestinian Territory",1,152213366666.667
"PYF","French Polynesia",1,79664656666.6667
"QAT","Qatar",1,461092548888.889
"ROU","Romania",1,4813778684444.44
"RUS","Russian Federation",1,1481409185694.44
"RWA","Rwanda",1,286332988333.333
"SAU","Saudi Arabia",1,12122220530000
"SDN","Sudan",1,5720831079166.67
"SEN","Senegal",1,1839386305833.33
"SGP","Singapore",1,1339814266111.11
"SLB","Solomon Islands",1,64182823333.3333
"SLE","Sierra Leone",1,189997138750
"SLV","El Salvador",1,1078406005833.33
"SOM","Somalia",1,1307555248333.33
"SRB","Serbia",1,188345533750
"SSD","South Sudan",1,101725823611.111
"STP","Sao Tome and Principe",1,35234820833.3333
"SUR","Suriname",1,87817761250
"SVK","Slovakia",1,780836260000
"SVN","Slovenia",1,663088377638.889
"SWE","Sweden",1,1363499320277.78
